,cash
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,45038.131561
2025-01-07,47488.3406418
2025-01-08,32693.703452300004
2025-01-10,3749.5865859000005
2025-01-13,49299.1723343
2025-01-14,49299.1723343
2025-01-15,49299.1723343
2025-01-16,34812.6225325
2025-01-17,49646.2852374
2025-01-21,21708.18000119999
2025-01-22,6042.971228599993
2025-01-23,7480.588962099991
2025-01-24,9869.999254499991
2025-01-27,9745.00663349999
2025-01-28,49171.55857819998
2025-01-29,24758.297939899985
2025-01-30,2495.601831799987
2025-01-31,7085.847139799987
2025-02-03,9523.810928599987
2025-02-04,48779.884588799985
2025-02-05,48779.884588799985
2025-02-06,29157.660245199982
2025-02-07,26861.022155999985
2025-02-10,29089.660490699986
2025-02-11,34224.49434069999
2025-02-12,34224.49434069999
2025-02-13,31596.395104199986
2025-02-14,23971.885699699982
2025-02-18,31101.781221099984
2025-02-19,23681.025436899985
2025-02-20,8848.184842899987
2025-02-21,3902.2721324999875
2025-02-24,6196.051146499987
2025-02-25,47540.83178299999
2025-02-26,47540.83178299999
2025-02-27,47540.83178299999
2025-02-28,47540.83178299999
2025-03-03,47540.83178299999
2025-03-04,47540.83178299999
2025-03-05,47540.83178299999
2025-03-06,47540.83178299999
2025-03-07,47540.83178299999
2025-03-10,47540.83178299999
2025-03-11,47540.83178299999
2025-03-12,47540.83178299999
2025-03-13,47540.83178299999
2025-03-14,47540.83178299999
2025-03-17,47540.83178299999
2025-03-18,47540.83178299999
2025-03-19,47540.83178299999
2025-03-20,47540.83178299999
2025-03-21,47540.83178299999
2025-03-24,47540.83178299999
2025-03-25,47540.83178299999
2025-03-26,47540.83178299999
2025-03-27,47540.83178299999
2025-03-28,47540.83178299999
2025-03-31,47540.83178299999
2025-04-01,47540.83178299999
2025-04-02,47540.83178299999
2025-04-03,47540.83178299999
2025-04-04,47540.83178299999
2025-04-07,47540.83178299999
2025-04-08,47540.83178299999
2025-04-09,47540.83178299999
2025-04-10,47540.83178299999
2025-04-11,47540.83178299999
2025-04-14,47540.83178299999
2025-04-15,47540.83178299999
2025-04-16,47540.83178299999
2025-04-17,47540.83178299999
2025-04-21,47540.83178299999
2025-04-22,47540.83178299999
2025-04-23,47540.83178299999
2025-04-24,47540.83178299999
2025-04-25,47540.83178299999
2025-04-28,47540.83178299999
2025-04-29,47540.83178299999
2025-04-30,47540.83178299999
2025-05-01,47540.83178299999
2025-05-02,42609.705526999984
2025-05-05,42609.705526999984
2025-05-06,42609.705526999984
2025-05-07,46.694310399986534
2025-05-08,7716.752694699986
2025-05-09,8058.914020099986
2025-05-12,5798.716150699987
2025-05-13,5798.716150699987
2025-05-14,5798.716150699987
2025-05-15,5798.716150699987
2025-05-16,5798.716150699987
2025-05-19,5798.716150699987
2025-05-20,7364.173755499987
2025-05-21,7364.173755499987
2025-05-22,7364.173755499987
2025-05-23,7364.173755499987
2025-05-27,3543.574632499988
2025-05-28,2793.0364463999886
2025-05-29,5285.787793999989
2025-05-30,12636.50507419999
2025-06-02,7636.243691699989
2025-06-03,7984.126389899989
2025-06-04,13116.28504089999
2025-06-05,13116.28504089999
2025-06-06,14546.89927089999
2025-06-09,4839.903299399991
2025-06-10,7231.741660899991
2025-06-11,7231.741660899991
2025-06-12,9991.383901899992
2025-06-13,12970.715229899992
2025-06-16,11342.949393899991
2025-06-17,13683.251940199993
2025-06-18,10928.136135599994
2025-06-20,13259.249974599994
2025-06-23,15695.747188199994
2025-06-24,18046.523088999995
2025-06-25,17718.827028999993
2025-06-26,10382.073681999995
2025-06-27,12774.835031999995
2025-06-30,12774.835031999995
2025-07-01,12774.835031999995
2025-07-02,12774.835031999995
2025-07-03,10267.078613599995
2025-07-07,14760.594942699996
2025-07-08,22203.2286694
2025-07-09,17458.7213544
2025-07-10,21958.0669423
2025-07-11,17481.2905795
2025-07-14,17481.2905795
2025-07-15,18912.1657735
