,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,49984.429561000004
2025-01-07,49996.7366418
2025-01-08,49791.22345230001
2025-01-10,50274.7555859
2025-01-13,49299.1723343
2025-01-14,49299.1723343
2025-01-15,49299.1723343
2025-01-16,49348.5795325
2025-01-17,49646.2852374
2025-01-21,49334.5120012
2025-01-22,50014.305228599995
2025-01-23,49865.353962099995
2025-01-24,49871.07025449999
2025-01-27,49111.589633499985
2025-01-28,49171.55857819998
2025-01-29,49024.34793989999
2025-01-30,48695.542831799976
2025-01-31,48769.70613979999
2025-02-03,48885.56992859999
2025-02-04,48779.884588799985
2025-02-05,48779.884588799985
2025-02-06,48731.02224519999
2025-02-07,48484.429155999984
2025-02-10,48675.660490699986
2025-02-11,48483.14434069999
2025-02-12,48358.80434069999
2025-02-13,48607.18510419999
2025-02-14,48223.71269969998
2025-02-18,49226.770221099985
2025-02-19,48965.418436899985
2025-02-20,48595.97284289999
2025-02-21,47446.82513249999
2025-02-24,47485.248146499995
2025-02-25,47540.83178299999
2025-02-26,47540.83178299999
2025-02-27,47540.83178299999
2025-02-28,47540.83178299999
2025-03-03,47540.83178299999
2025-03-04,47540.83178299999
2025-03-05,47540.83178299999
2025-03-06,47540.83178299999
2025-03-07,47540.83178299999
2025-03-10,47540.83178299999
2025-03-11,47540.83178299999
2025-03-12,47540.83178299999
2025-03-13,47540.83178299999
2025-03-14,47540.83178299999
2025-03-17,47540.83178299999
2025-03-18,47540.83178299999
2025-03-19,47540.83178299999
2025-03-20,47540.83178299999
2025-03-21,47540.83178299999
2025-03-24,47540.83178299999
2025-03-25,47540.83178299999
2025-03-26,47540.83178299999
2025-03-27,47540.83178299999
2025-03-28,47540.83178299999
2025-03-31,47540.83178299999
2025-04-01,47540.83178299999
2025-04-02,47540.83178299999
2025-04-03,47540.83178299999
2025-04-04,47540.83178299999
2025-04-07,47540.83178299999
2025-04-08,47540.83178299999
2025-04-09,47540.83178299999
2025-04-10,47540.83178299999
2025-04-11,47540.83178299999
2025-04-14,47540.83178299999
2025-04-15,47540.83178299999
2025-04-16,47540.83178299999
2025-04-17,47540.83178299999
2025-04-21,47540.83178299999
2025-04-22,47540.83178299999
2025-04-23,47540.83178299999
2025-04-24,47540.83178299999
2025-04-25,47540.83178299999
2025-04-28,47540.83178299999
2025-04-29,47540.83178299999
2025-04-30,47540.83178299999
2025-05-01,47540.83178299999
2025-05-02,47439.705526999984
2025-05-05,47471.90552699998
2025-05-06,47488.465526999986
2025-05-07,48165.93731039999
2025-05-08,49697.99869469998
2025-05-09,50878.67902009998
2025-05-12,53716.14515069999
2025-05-13,54790.652150699985
2025-05-14,54894.52415069999
2025-05-15,54452.26515069998
2025-05-16,54398.62715069998
2025-05-19,54467.35115069998
2025-05-20,54275.02475549999
2025-05-21,53294.94975549999
2025-05-22,53391.586755499986
2025-05-23,52346.01275549999
2025-05-27,53123.261632499976
2025-05-28,53032.318446399986
2025-05-29,52846.280793999984
2025-05-30,52772.29307419999
2025-06-02,53219.254691699985
2025-06-03,53573.318389899985
2025-06-04,54283.88504089999
2025-06-05,54558.951040899985
2025-06-06,54874.51827089999
2025-06-09,54631.73029939999
2025-06-10,54909.864660899984
2025-06-11,54796.829660899995
2025-06-12,54965.76290189999
2025-06-13,54085.8532299
2025-06-16,55095.19839389999
2025-06-17,54684.8579402
2025-06-18,54599.3451356
2025-06-20,54599.207974599994
2025-06-23,54555.79318819999
2025-06-24,55352.825089
2025-06-25,55205.83202899999
2025-06-26,55359.49568199999
2025-06-27,55385.866032
2025-06-30,55582.214031999996
2025-07-01,55183.911031999996
2025-07-02,55767.22703199999
2025-07-03,56245.4226136
2025-07-07,55778.01694269999
2025-07-08,56333.9426694
2025-07-09,56216.0513544
2025-07-10,56070.6439423
2025-07-11,56271.913579500004
2025-07-14,55882.474579500005
2025-07-15,55799.207773500006
2025-07-16,55916.5255875
