date,side,symbol,shares,price_open,notional_usd,cost_usd,cash_after
2025-01-06,BUY,CSCO,87.0,56.99,4958.13,3.74,45038.13
2025-01-07,SELL,CSCO,43.0,57.048,2453.06,2.85,47488.34
2025-01-08,BUY,ARM,35.0,142.34,4981.9,3.59,42502.85
2025-01-08,BUY,CEG,19.0,253.645,4819.26,3.49,37680.1
2025-01-08,BUY,NVDA,35.0,142.366,4982.81,3.59,32693.7
2025-01-10,BUY,ASML,6.0,740.336,4442.02,3.34,28248.35
2025-01-10,BUY,KLAC,73.0,67.638,4937.57,3.69,23307.08
2025-01-10,BUY,AMAT,28.0,172.553,4831.48,3.52,18472.08
2025-01-10,BUY,ADI,23.0,212.754,4893.34,3.53,13575.21
2025-01-10,BUY,LRCX,66.0,75.184,4962.14,3.68,8609.39
2025-01-10,BUY,META,8.0,607.041,4856.33,3.47,3749.59
2025-01-13,SELL,CSCO,44.0,56.999,2507.96,2.87,6254.67
2025-01-13,SELL,ARM,35.0,137.0,4795.0,3.53,11046.13
2025-01-13,SELL,CEG,19.0,295.323,5611.14,3.73,16653.54
2025-01-13,SELL,NVDA,35.0,129.795,4542.82,3.46,21192.91
2025-01-13,SELL,ASML,6.0,710.959,4265.75,3.29,25455.37
2025-01-13,SELL,KLAC,73.0,66.677,4867.42,3.67,30319.13
2025-01-13,SELL,AMAT,28.0,167.003,4676.08,3.48,34991.73
2025-01-13,SELL,ADI,23.0,204.735,4708.91,3.47,39697.17
2025-01-13,SELL,LRCX,66.0,72.365,4776.09,3.62,44469.64
2025-01-13,SELL,META,8.0,604.125,4833.0,3.46,49299.17
2025-01-16,BUY,PCAR,47.0,106.046,4984.16,3.63,44311.38
2025-01-16,BUY,AMGN,19.0,256.711,4877.51,3.51,39430.36
2025-01-16,BUY,LIN,11.0,419.485,4614.34,3.41,34812.62
2025-01-17,SELL,PCAR,47.0,108.003,5076.14,3.65,39885.11
2025-01-17,SELL,AMGN,19.0,264.396,5023.52,3.55,44905.08
2025-01-17,SELL,LIN,11.0,431.332,4744.65,3.45,49646.29
2025-01-21,BUY,PDD,46.0,108.065,4970.99,3.62,44671.68
2025-01-21,BUY,SNPS,9.0,532.0,4788.0,3.45,39880.22
2025-01-21,BUY,ABNB,36.0,135.47,4876.92,3.56,34999.74
2025-01-21,BUY,MELI,2.0,1852.66,3705.32,3.11,31291.31
2025-01-21,BUY,META,8.0,614.798,4918.38,3.49,26369.44
2025-01-21,BUY,IDXX,11.0,423.44,4657.84,3.42,21708.18
2025-01-22,SELL,ABNB,18.0,133.0,2394.0,2.76,24099.42
2025-01-22,SELL,MELI,1.0,1847.96,1847.96,2.55,25944.83
2025-01-22,BUY,ARM,31.0,160.37,4971.47,3.57,20969.79
2025-01-22,BUY,SBUX,53.0,94.286,4997.16,3.65,15968.98
2025-01-22,BUY,CSGP,67.0,74.16,4968.72,3.68,10996.58
2025-01-22,BUY,CCEP,66.0,74.999,4949.93,3.67,6042.97
2025-01-23,SELL,PDD,23.0,102.22,2351.06,2.76,8391.27
