,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,49927.293313999995
2025-01-07,49997.1511604
2025-01-08,50544.82231039999
2025-01-10,49623.117310400004
2025-01-13,49034.1958761
2025-01-14,49034.1958761
2025-01-15,49034.1958761
2025-01-16,49066.36289619999
2025-01-17,50168.5655363
2025-01-21,49140.7621318
2025-01-22,49581.2921318
2025-01-23,49899.050541799996
2025-01-24,50503.230541799996
2025-01-27,48818.7105418
2025-01-28,48830.569671799996
2025-01-29,48128.0070498
2025-01-30,46779.5035298
2025-01-31,47540.8531048
2025-02-03,47224.8731048
2025-02-04,47100.551508799996
2025-02-05,47100.551508799996
2025-02-06,46718.64289579999
2025-02-07,46202.90289579998
2025-02-10,46313.992895799995
2025-02-11,45701.58289579999
2025-02-12,44956.5128958
2025-02-13,45219.02237579999
2025-02-14,43733.105343799994
2025-02-18,47091.47852779999
2025-02-19,45717.4085278
2025-02-20,46083.8785278
2025-02-21,45039.56852779999
2025-02-24,44821.19852779999
2025-02-25,44772.554984799994
2025-02-26,44772.554984799994
2025-02-27,44772.554984799994
2025-02-28,44772.554984799994
2025-03-03,44772.554984799994
2025-03-04,44772.554984799994
2025-03-05,44772.554984799994
2025-03-06,44772.554984799994
2025-03-07,44772.554984799994
2025-03-10,44772.554984799994
2025-03-11,44772.554984799994
2025-03-12,44772.554984799994
2025-03-13,44772.554984799994
2025-03-14,44772.554984799994
2025-03-17,44772.554984799994
2025-03-18,44772.554984799994
2025-03-19,44772.554984799994
2025-03-20,44772.554984799994
2025-03-21,44772.554984799994
2025-03-24,44772.554984799994
2025-03-25,44772.554984799994
2025-03-26,44772.554984799994
2025-03-27,44772.554984799994
2025-03-28,44772.554984799994
2025-03-31,44772.554984799994
2025-04-01,44772.554984799994
2025-04-02,44772.554984799994
2025-04-03,44772.554984799994
2025-04-04,44772.554984799994
2025-04-07,44772.554984799994
2025-04-08,44772.554984799994
2025-04-09,44772.554984799994
2025-04-10,44772.554984799994
2025-04-11,44772.554984799994
2025-04-14,44772.554984799994
2025-04-15,44772.554984799994
2025-04-16,44772.554984799994
2025-04-17,44772.554984799994
2025-04-21,44772.554984799994
2025-04-22,44772.554984799994
2025-04-23,44772.554984799994
2025-04-24,44772.554984799994
2025-04-25,44772.554984799994
2025-04-28,44772.554984799994
2025-04-29,44772.554984799994
2025-04-30,44772.554984799994
2025-05-01,44772.554984799994
2025-05-02,44268.10159679999
2025-05-05,44431.20159679999
2025-05-06,44515.081596799995
2025-05-07,44686.86587179999
2025-05-08,47775.715871799985
2025-05-09,46750.445871799995
2025-05-12,49299.665871799996
2025-05-13,51649.03587179999
2025-05-14,52482.3758718
2025-05-15,51382.5758718
2025-05-16,51228.51587179999
2025-05-19,51485.4358718
2025-05-20,50953.4508718
2025-05-21,50041.8258718
2025-05-22,50055.9658718
2025-05-23,49957.335871799994
2025-05-27,52419.25587179999
2025-05-28,52724.105871799984
2025-05-29,52495.25587179999
2025-05-30,53270.34587179999
2025-06-02,53816.87587179999
2025-06-03,53810.23587179999
2025-06-04,55223.20587179999
2025-06-05,55546.15587179999
2025-06-06,55885.435871799986
2025-06-09,53425.915871799996
2025-06-10,53132.98587179999
2025-06-11,52823.045871799986
2025-06-12,53276.808043799996
2025-06-13,52229.66335579999
2025-06-16,52201.06787879999
2025-06-17,52255.02649579999
2025-06-18,52482.953273999985
2025-06-20,52198.653274
2025-06-23,51696.96927399999
2025-06-24,51798.0969124
2025-06-25,51537.4688022
2025-06-26,51404.808802199994
2025-06-27,51630.1506872
2025-06-30,51965.3106872
2025-07-01,51591.0606872
2025-07-02,51874.5306872
2025-07-03,54231.30354719999
2025-07-07,53663.73940399999
2025-07-08,52918.38028
2025-07-09,51840.23242100001
2025-07-10,50089.265421000004
2025-07-11,50368.205223400015
2025-07-14,49890.64322340001
2025-07-15,49634.19433640002
2025-07-16,49270.931688400015
