date,side,symbol,shares,price_open,notional_usd,cost_usd,cash_after
2025-01-06,BUY,CSCO,438.0,56.99,24961.62,13.14,25025.24
2025-01-07,SELL,CSCO,219.0,57.048,12493.51,6.57,37512.18
2025-01-08,BUY,ARM,175.0,142.34,24909.5,9.99,12592.69
2025-01-13,SELL,CSCO,219.0,56.999,12482.78,6.57,25068.9
2025-01-13,SELL,ARM,175.0,137.0,23975.0,9.71,49034.2
2025-01-16,BUY,PCAR,235.0,106.046,24920.81,10.51,24102.88
2025-01-16,BUY,AMGN,93.0,256.711,23874.12,9.43,219.32
2025-01-17,SELL,PCAR,235.0,108.003,25380.71,10.65,25589.38
2025-01-17,SELL,AMGN,93.0,264.396,24588.83,9.65,50168.57
2025-01-21,BUY,PDD,231.0,108.065,24963.01,10.47,25195.08
2025-01-21,BUY,SNPS,46.0,532.0,24472.0,9.47,713.61
2025-01-23,SELL,PDD,115.0,102.22,11755.3,5.86,12463.05
2025-01-28,SELL,PDD,116.0,111.325,12913.7,6.21,25370.54
2025-01-28,SELL,SNPS,46.0,510.2,23469.2,9.17,48830.57
2025-01-29,BUY,ZS,122.0,203.87,24872.14,9.82,23948.61
2025-01-29,BUY,CHTR,65.0,365.64,23766.6,9.31,172.7
2025-01-30,SELL,CHTR,32.0,336.2,10758.4,5.31,10925.78
2025-01-31,SELL,CHTR,33.0,360.75,11904.75,5.66,22824.87
2025-02-04,SELL,ZS,122.0,199.06,24285.32,9.64,47100.55
2025-02-06,BUY,IDXX,53.0,468.67,24839.51,9.6,22251.44
2025-02-06,BUY,WDAY,80.0,276.99,22159.2,8.88,83.36
2025-02-13,SELL,WDAY,40.0,259.21,10368.4,5.22,10446.54
2025-02-14,SELL,WDAY,40.0,259.95,10398.0,5.23,20839.31
2025-02-14,BUY,INTC,854.0,24.36,20803.44,17.26,18.62
2025-02-18,SELL,IDXX,26.0,444.72,11562.72,5.54,11575.8
2025-02-25,SELL,IDXX,27.0,464.61,12544.47,5.83,24114.43
2025-02-25,SELL,INTC,854.0,24.21,20675.34,17.22,44772.55
2025-05-02,BUY,DDOG,233.0,107.12,24958.96,10.49,19803.1
