,cash
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,45038.131561
2025-01-07,47488.3406418
2025-01-08,37680.1032953
2025-01-10,37680.1032953
2025-01-13,50584.0580674
2025-01-14,50584.0580674
2025-01-15,50584.0580674
2025-01-16,36097.5082656
2025-01-17,50931.1709705
2025-01-21,36284.6271975
2025-01-22,38675.8649975
2025-01-23,38411.43810949999
2025-01-24,40864.76618949999
2025-01-27,38447.47906849999
2025-01-28,50472.724581999995
2025-01-29,35959.955890799996
2025-01-30,37974.54273079999
2025-01-31,42564.78803879999
2025-02-03,45002.75182759999
2025-02-04,49776.69659559999
2025-02-05,49776.69659559999
2025-02-06,35106.63878399999
2025-02-07,37612.10328679999
2025-02-10,35182.93162049999
2025-02-11,35182.93162049999
2025-02-12,35182.93162049999
2025-02-13,37513.10475349999
2025-02-14,34851.99324849999
2025-02-18,37072.92116849999
2025-02-19,37072.92116849999
2025-02-20,37072.92116849999
2025-02-21,37072.92116849999
2025-02-24,37072.92116849999
2025-02-25,49080.95116349999
2025-02-26,49080.95116349999
2025-02-27,49080.95116349999
2025-02-28,49080.95116349999
2025-03-03,49080.95116349999
2025-03-04,49080.95116349999
2025-03-05,49080.95116349999
2025-03-06,49080.95116349999
2025-03-07,49080.95116349999
2025-03-10,49080.95116349999
2025-03-11,49080.95116349999
2025-03-12,49080.95116349999
2025-03-13,49080.95116349999
2025-03-14,49080.95116349999
2025-03-17,49080.95116349999
2025-03-18,49080.95116349999
2025-03-19,49080.95116349999
2025-03-20,49080.95116349999
2025-03-21,49080.95116349999
2025-03-24,49080.95116349999
2025-03-25,49080.95116349999
2025-03-26,49080.95116349999
2025-03-27,49080.95116349999
2025-03-28,49080.95116349999
2025-03-31,49080.95116349999
2025-04-01,49080.95116349999
2025-04-02,49080.95116349999
2025-04-03,49080.95116349999
2025-04-04,49080.95116349999
2025-04-07,49080.95116349999
2025-04-08,49080.95116349999
2025-04-09,49080.95116349999
2025-04-10,49080.95116349999
2025-04-11,49080.95116349999
2025-04-14,49080.95116349999
2025-04-15,49080.95116349999
2025-04-16,49080.95116349999
2025-04-17,49080.95116349999
2025-04-21,49080.95116349999
2025-04-22,49080.95116349999
2025-04-23,49080.95116349999
2025-04-24,49080.95116349999
2025-04-25,49080.95116349999
2025-04-28,49080.95116349999
2025-04-29,49080.95116349999
2025-04-30,49080.95116349999
2025-05-01,49080.95116349999
2025-05-02,44149.824907499984
2025-05-05,44149.824907499984
2025-05-06,44149.824907499984
2025-05-07,34360.986441899986
2025-05-08,36910.70265169998
2025-05-09,36910.70265169998
2025-05-12,36910.70265169998
2025-05-13,36910.70265169998
2025-05-14,36910.70265169998
2025-05-15,36910.70265169998
2025-05-16,36910.70265169998
2025-05-19,36910.70265169998
2025-05-20,36910.70265169998
2025-05-21,36910.70265169998
2025-05-22,36910.70265169998
2025-05-23,36910.70265169998
2025-05-27,36910.70265169998
2025-05-28,36910.70265169998
2025-05-29,36910.70265169998
2025-05-30,36910.70265169998
2025-06-02,36910.70265169998
2025-06-03,36910.70265169998
2025-06-04,36910.70265169998
2025-06-05,36910.70265169998
2025-06-06,36910.70265169998
2025-06-09,36910.70265169998
2025-06-10,36910.70265169998
2025-06-11,36910.70265169998
2025-06-12,39670.344892699984
2025-06-13,42649.676220699985
2025-06-16,41021.910384699986
2025-06-17,43266.381239699986
2025-06-18,40511.26543509999
2025-06-20,40511.26543509999
2025-06-23,40511.26543509999
2025-06-24,42862.04133589999
2025-06-25,40368.76175749999
2025-06-26,40368.76175749999
2025-06-27,42761.52310749999
2025-06-30,42761.52310749999
2025-07-01,42761.52310749999
2025-07-02,42761.52310749999
2025-07-03,40253.76668909999
2025-07-07,42423.32102669999
2025-07-08,45100.31208669999
2025-07-09,40355.804771699986
2025-07-10,42453.16377169998
2025-07-11,37976.38740889999
2025-07-14,37976.38740889999
2025-07-15,40463.64838339999
