,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,49984.429561000004
2025-01-07,49996.7366418
2025-01-08,49881.1232953
2025-01-10,50853.831295300006
2025-01-13,50584.0580674
2025-01-14,50584.0580674
2025-01-15,50584.0580674
2025-01-16,50633.4652656
2025-01-17,50931.1709705
2025-01-21,50633.7971975
2025-01-22,50704.8449975
2025-01-23,50728.628109499994
2025-01-24,50736.74618949999
2025-01-27,50476.96906849999
2025-01-28,50472.724581999995
2025-01-29,50279.070890799994
2025-01-30,49710.28773079999
2025-01-31,49888.17203879999
2025-02-03,49802.75182759999
2025-02-04,49776.69659559999
2025-02-05,49776.69659559999
2025-02-06,49708.04078399999
2025-02-07,49582.10028679999
2025-02-10,49599.871620499995
2025-02-11,49441.581620499994
2025-02-12,49317.24162049999
2025-02-13,49498.874753499986
2025-02-14,49136.04324849999
2025-02-18,50140.17116849999
2025-02-19,49730.22116849999
2025-02-20,49655.92116849999
2025-02-21,49210.87116849999
2025-02-24,49126.32116849999
2025-02-25,49080.95116349999
2025-02-26,49080.95116349999
2025-02-27,49080.95116349999
2025-02-28,49080.95116349999
2025-03-03,49080.95116349999
2025-03-04,49080.95116349999
2025-03-05,49080.95116349999
2025-03-06,49080.95116349999
2025-03-07,49080.95116349999
2025-03-10,49080.95116349999
2025-03-11,49080.95116349999
2025-03-12,49080.95116349999
2025-03-13,49080.95116349999
2025-03-14,49080.95116349999
2025-03-17,49080.95116349999
2025-03-18,49080.95116349999
2025-03-19,49080.95116349999
2025-03-20,49080.95116349999
2025-03-21,49080.95116349999
2025-03-24,49080.95116349999
2025-03-25,49080.95116349999
2025-03-26,49080.95116349999
2025-03-27,49080.95116349999
2025-03-28,49080.95116349999
2025-03-31,49080.95116349999
2025-04-01,49080.95116349999
2025-04-02,49080.95116349999
2025-04-03,49080.95116349999
2025-04-04,49080.95116349999
2025-04-07,49080.95116349999
2025-04-08,49080.95116349999
2025-04-09,49080.95116349999
2025-04-10,49080.95116349999
2025-04-11,49080.95116349999
2025-04-14,49080.95116349999
2025-04-15,49080.95116349999
2025-04-16,49080.95116349999
2025-04-17,49080.95116349999
2025-04-21,49080.95116349999
2025-04-22,49080.95116349999
2025-04-23,49080.95116349999
2025-04-24,49080.95116349999
2025-04-25,49080.95116349999
2025-04-28,49080.95116349999
2025-04-29,49080.95116349999
2025-04-30,49080.95116349999
2025-05-01,49080.95116349999
2025-05-02,48979.824907499984
2025-05-05,49012.02490749998
2025-05-06,49028.584907499986
2025-05-07,49109.86644189998
2025-05-08,49930.57865169998
2025-05-09,50016.33865169998
2025-05-12,50874.644651699986
2025-05-13,51478.714651699986
2025-05-14,51577.55865169998
2025-05-15,51336.80865169998
2025-05-16,51314.25265169998
2025-05-19,51357.860651699986
2025-05-20,51240.82865169998
2025-05-21,50965.05665169998
2025-05-22,50906.960651699985
2025-05-23,50798.68065169998
2025-05-27,51499.93665169999
2025-05-28,51525.58465169998
2025-05-29,51495.48665169998
2025-05-30,51672.61465169999
2025-06-02,51911.76665169998
2025-06-03,52101.59265169998
2025-06-04,52481.22465169999
2025-06-05,52521.676651699985
2025-06-06,52646.76065169998
2025-06-09,52199.784651699985
2025-06-10,52222.98465169998
2025-06-11,52161.76465169998
2025-06-12,52152.662892699984
2025-06-13,51791.676220699985
2025-06-16,51920.46038469999
2025-06-17,51906.413239699985
2025-06-18,51964.937435099986
2025-06-20,51959.02743509999
2025-06-23,51838.27943509999
2025-06-24,51953.997335899985
2025-06-25,51961.42175749999
2025-06-26,51892.31575749999
2025-06-27,51919.72910749999
2025-06-30,51979.26110749999
2025-07-01,51974.66510749999
2025-07-02,52108.21910749999
2025-07-03,52562.926689099986
2025-07-07,52362.79302669999
2025-07-08,52376.900086699985
2025-07-09,52174.336771699986
2025-07-10,51851.60577169998
2025-07-11,51874.27940889999
2025-07-14,51752.50540889999
2025-07-15,51650.86638339999
