date,side,symbol,shares,price_open,notional_usd,cost_usd,cash_after
2025-01-06,BUY,CSCO,87.0,56.99,4958.13,3.74,45038.13
2025-01-07,SELL,CSCO,43.0,57.048,2453.06,2.85,47488.34
2025-01-08,BUY,ARM,35.0,142.34,4981.9,3.59,42502.85
2025-01-08,BUY,CEG,19.0,253.645,4819.26,3.49,37680.1
2025-01-13,SELL,CSCO,44.0,56.999,2507.96,2.87,40185.18
2025-01-13,SELL,ARM,35.0,137.0,4795.0,3.53,44976.65
2025-01-13,SELL,CEG,19.0,295.323,5611.14,3.73,50584.06
2025-01-16,BUY,PCAR,47.0,106.046,4984.16,3.63,45596.27
2025-01-16,BUY,AMGN,19.0,256.711,4877.51,3.51,40715.25
2025-01-16,BUY,LIN,11.0,419.485,4614.34,3.41,36097.51
2025-01-17,SELL,PCAR,47.0,108.003,5076.14,3.65,41170.0
2025-01-17,SELL,AMGN,19.0,264.396,5023.52,3.55,46189.97
2025-01-17,SELL,LIN,11.0,431.332,4744.65,3.45,50931.17
2025-01-21,BUY,PDD,46.0,108.065,4970.99,3.62,45956.56
2025-01-21,BUY,SNPS,9.0,532.0,4788.0,3.45,41165.11
2025-01-21,BUY,ABNB,36.0,135.47,4876.92,3.56,36284.63
2025-01-22,SELL,ABNB,18.0,133.0,2394.0,2.76,38675.86
2025-01-23,SELL,PDD,23.0,102.22,2351.06,2.76,41024.16
2025-01-23,SELL,ABNB,18.0,132.4,2383.2,2.76,43404.6
2025-01-23,BUY,INTC,230.0,21.69,4988.7,4.46,38411.44
2025-01-24,SELL,INTC,115.0,21.36,2456.4,3.07,40864.77
2025-01-27,SELL,INTC,115.0,20.81,2393.15,3.05,43254.86
2025-01-27,BUY,VRTX,11.0,436.72,4803.92,3.46,38447.48
2025-01-28,SELL,PDD,23.0,111.325,2560.47,2.83,41005.13
2025-01-28,SELL,SNPS,9.0,510.2,4591.8,3.39,45593.53
2025-01-28,SELL,VRTX,11.0,443.88,4882.68,3.49,50472.72
2025-01-29,BUY,ZS,24.0,203.87,4892.88,3.53,45576.31
2025-01-29,BUY,CHTR,13.0,365.64,4753.32,3.45,40819.54
2025-01-29,BUY,MSFT,11.0,441.464,4856.1,3.48,35959.96
2025-01-30,SELL,CHTR,6.0,336.2,2017.2,2.61,37974.54
2025-01-31,SELL,CHTR,7.0,360.75,2525.25,2.77,40497.02
2025-01-31,SELL,MSFT,5.0,414.078,2070.39,2.63,42564.79
2025-02-03,SELL,MSFT,6.0,406.784,2440.7,2.74,45002.75
2025-02-04,SELL,ZS,24.0,199.06,4777.44,3.5,49776.7
2025-02-06,BUY,IDXX,10.0,468.67,4686.7,3.43,45086.57
2025-02-06,BUY,WDAY,18.0,276.99,4985.82,3.54,40097.21
2025-02-06,BUY,XEL,78.0,63.934,4986.85,3.72,35106.64
2025-02-07,SELL,XEL,39.0,64.316,2508.32,2.86,37612.1
2025-02-10,SELL,XEL,39.0,63.839,2489.72,2.85,40098.97
2025-02-10,BUY,PANW,25.0,196.5,4912.5,3.54,35182.93
