,cash
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,33008.040894
2025-01-07,41503.2058484
2025-01-08,7555.813045900002
2025-01-10,7555.813045900002
2025-01-13,52117.9552983
2025-01-14,52117.9552983
2025-01-15,52117.9552983
2025-01-16,1406.2943925000036
2025-01-17,53367.827223700006
2025-01-21,2953.8456372000073
2025-01-22,11195.195837200008
2025-01-23,10501.792848200006
2025-01-24,18846.003420200006
2025-01-27,10393.576756200004
2025-01-28,51853.034261700006
2025-01-29,1315.126377100005
2025-01-30,9043.347597100004
2025-01-31,25199.124177500005
2025-02-03,32923.654508700005
2025-02-04,49438.438914700004
2025-02-05,49438.438914700004
2025-02-06,47.803792900007466
2025-02-07,7889.645827300008
2025-02-10,142.92726990000665
2025-02-11,142.92726990000665
2025-02-12,142.92726990000665
2025-02-13,7914.814379900006
2025-02-14,24.10781290000523
2025-02-18,8024.622324900006
2025-02-19,8024.622324900006
2025-02-20,8024.622324900006
2025-02-21,8024.622324900006
2025-02-24,8024.622324900006
2025-02-25,47150.39965590001
2025-02-26,47150.39965590001
2025-02-27,47150.39965590001
2025-02-28,47150.39965590001
2025-03-03,47150.39965590001
2025-03-04,47150.39965590001
2025-03-05,47150.39965590001
2025-03-06,47150.39965590001
2025-03-07,47150.39965590001
2025-03-10,47150.39965590001
2025-03-11,47150.39965590001
2025-03-12,47150.39965590001
2025-03-13,47150.39965590001
2025-03-14,47150.39965590001
2025-03-17,47150.39965590001
2025-03-18,47150.39965590001
2025-03-19,47150.39965590001
2025-03-20,47150.39965590001
2025-03-21,47150.39965590001
2025-03-24,47150.39965590001
2025-03-25,47150.39965590001
2025-03-26,47150.39965590001
2025-03-27,47150.39965590001
2025-03-28,47150.39965590001
2025-03-31,47150.39965590001
2025-04-01,47150.39965590001
2025-04-02,47150.39965590001
2025-04-03,47150.39965590001
2025-04-04,47150.39965590001
2025-04-07,47150.39965590001
2025-04-08,47150.39965590001
2025-04-09,47150.39965590001
2025-04-10,47150.39965590001
2025-04-11,47150.39965590001
2025-04-14,47150.39965590001
2025-04-15,47150.39965590001
2025-04-16,47150.39965590001
2025-04-17,47150.39965590001
2025-04-21,47150.39965590001
2025-04-22,47150.39965590001
2025-04-23,47150.39965590001
2025-04-24,47150.39965590001
2025-04-25,47150.39965590001
2025-04-28,47150.39965590001
2025-04-29,47150.39965590001
2025-04-30,47150.39965590001
2025-05-01,47150.39965590001
2025-05-02,30217.89816790001
2025-05-05,30217.89816790001
2025-05-06,30217.89816790001
2025-05-07,19.384099900013098
2025-05-08,6869.197811400013
2025-05-09,6869.197811400013
2025-05-12,6869.197811400013
2025-05-13,6869.197811400013
2025-05-14,6869.197811400013
2025-05-15,6869.197811400013
2025-05-16,6869.197811400013
2025-05-19,6869.197811400013
2025-05-20,6869.197811400013
2025-05-21,6869.197811400013
2025-05-22,6869.197811400013
2025-05-23,6869.197811400013
2025-05-27,6869.197811400013
2025-05-28,6869.197811400013
2025-05-29,6869.197811400013
2025-05-30,6869.197811400013
2025-06-02,6869.197811400013
2025-06-03,6869.197811400013
2025-06-04,6869.197811400013
2025-06-05,6869.197811400013
2025-06-06,6869.197811400013
2025-06-09,6869.197811400013
2025-06-10,6869.197811400013
2025-06-11,6869.197811400013
2025-06-12,16352.814204400012
2025-06-13,26785.44885240001
2025-06-16,20185.17859840001
2025-06-17,28270.447676400006
2025-06-18,19688.143507800007
2025-06-20,19688.143507800007
2025-06-23,19688.143507800007
2025-06-24,27736.846224600005
2025-06-25,19077.621481700007
2025-06-26,19077.621481700007
2025-06-27,27217.786071700008
2025-06-30,27217.786071700008
2025-07-01,27217.786071700008
2025-07-02,27217.786071700008
2025-07-03,18723.067826100007
2025-07-07,26864.36909210001
2025-07-08,35435.11848410001
2025-07-09,18676.233971100006
2025-07-10,26471.825971100006
2025-07-11,11077.476863800002
2025-07-14,11077.476863800002
