date,action,symbol,weight_from,weight_to,reason,excess_20,peak_dd,n_candidates
2025-01-02,EXIT,ASML,0.5,0.0,weaken_flat,-0.01331134833530423,-0.0285974564467949,
2025-01-03,ENTER,CSCO,0.0,1.0,emerging_rs,0.0013258648578933219,0.0,1.0
2025-01-06,TRIM,CSCO,1.0,0.5,weaken_to_half,-0.02100657816960172,-0.001529065611881153,
2025-01-10,EXIT,CSCO,0.5,0.0,gate_off,0.03134494858149717,-0.007770206924205936,
2025-01-15,ENTER,PCAR,0.0,1.0,emerging_rs,0.02243591883069429,0.0,3.0
2025-01-16,EXIT,PCAR,1.0,0.0,gate_off,0.047688813792302165,-0.0013682873496803083,
2025-01-17,ENTER,PDD,0.0,1.0,emerging_rs,0.05542661613057687,0.0,6.0
2025-01-22,TRIM,PDD,1.0,0.5,weaken_to_half,-0.014797055689942606,-0.023586225925617876,
2025-01-27,EXIT,PDD,0.5,0.0,gate_off,0.14163258600653472,-0.004131481045469676,
2025-01-28,ENTER,ZS,0.0,1.0,emerging_rs,0.10557933944662434,0.0,5.0
2025-02-03,EXIT,ZS,1.0,0.0,gate_off,0.08551383825180281,-0.02286492497190229,
2025-02-05,ENTER,IDXX,0.0,1.0,emerging_rs,0.08738009564825178,0.0,4.0
2025-02-14,TRIM,IDXX,1.0,0.5,weaken_to_half,-0.011742631399908277,-0.051264517424948086,
2025-02-24,EXIT,IDXX,0.5,0.0,gate_off,0.08350505326503388,-0.0104364192898454,
2025-06-24,ENTER,TTWO,0.0,1.0,emerging_rs,0.01910799387420825,0.0,1.0
2025-06-26,TRIM,TTWO,1.0,0.5,weaken_to_half,-0.005635952607906836,-0.01530549752723498,
2025-07-02,EXIT,TTWO,0.5,0.0,weaken_flat,-0.002804914934380731,-0.014564939314845482,
2025-07-02,ENTER,REGN,0.0,1.0,emerging_rs,0.07700018965186417,0.0,2.0
2025-07-03,TRIM,REGN,1.0,0.5,weaken_to_half,0.0756458864024303,-0.0006936491829202529,
2025-07-07,EXIT,REGN,0.5,0.0,weaken_flat,0.060850170142658255,-0.017581110513182785,
2025-07-08,ENTER,ADSK,0.0,1.0,emerging_rs,0.01376271502189308,0.0,1.0
2025-07-09,TRIM,ADSK,1.0,0.5,weaken_to_half,-0.015473089747602753,-0.024260946173799702,
2025-07-10,EXIT,ADSK,0.5,0.0,weaken_flat,-0.07934247793188798,-0.09145475842504058,
2025-07-10,ENTER,CSGP,0.0,1.0,emerging_rs,0.020501038793171222,0.0,2.0
2025-07-14,TRIM,CSGP,1.0,0.5,weaken_to_half,-0.003727155385155001,-0.004764714091442412,
2025-07-15,EXIT,CSGP,0.5,0.0,weaken_flat,-0.02155972674837625,-0.02277753218309908,
2025-07-15,ENTER,AMZN,0.0,1.0,emerging_rs,0.009524125302763586,0.0,1.0
2025-07-16,TRIM,AMZN,1.0,0.5,weaken_to_half,-0.011410236676871133,-0.013960696164789232,
2025-07-17,EXIT,AMZN,0.5,0.0,weaken_flat,-0.02086081133276929,-0.010912309052792946,
2025-07-17,ENTER,CDNS,0.0,1.0,emerging_rs,0.010074676316119024,0.0,1.0
2025-07-21,TRIM,CDNS,1.0,0.5,weaken_to_half,-0.001259927066804556,-0.014149405455994635,
2025-08-26,EXIT,CDNS,0.5,0.0,weaken_flat,-0.07012588957878285,-0.07277039616427528,
2025-08-26,ENTER,CMCSA,0.0,1.0,emerging_rs,0.016459667356105934,0.0,1.0
2025-08-27,TRIM,CMCSA,1.0,0.5,weaken_to_half,0.030677742016699705,0.0,
2025-08-28,EXIT,CMCSA,0.5,0.0,weaken_flat,-0.011130751800405347,-0.007098553392064666,
2025-08-28,ENTER,PCAR,0.0,1.0,emerging_rs,0.0014316509327485516,0.0,1.0
2025-09-03,TRIM,PCAR,1.0,0.5,weaken_to_half,-0.034431744551301824,-0.044298853939423455,
2025-09-04,EXIT,PCAR,0.5,0.0,weaken_flat,-0.0019981624038436507,-0.02453316172239761,
2025-09-08,ENTER,LRCX,0.0,1.0,emerging_rs,0.025110106960630763,0.0,1.0
2025-10-10,EXIT,LRCX,1.0,0.0,peak_dd_stop,0.11941649029454293,-0.11920886965201238,
2025-10-10,ENTER,TTD,0.0,1.0,emerging_rs,0.1536840003626867,0.0,2.0
2025-10-13,TRIM,TTD,1.0,0.5,weaken_to_half,0.10729498081529187,-0.020721907406894724,
2025-10-14,EXIT,TTD,0.5,0.0,weaken_flat,0.11726090667675804,-0.031130654108376454,
2025-10-14,ENTER,PEP,0.0,1.0,emerging_rs,0.0694876279186547,0.0,5.0
