date,side,symbol,weight_from,weight_to,delta_weight,price_open,notional_usd,cost_usd,equity_before_fill_usd,equity_after_fill_usd,reason,equity_after_day_usd
2025-01-06,BUY,CSCO,0.0,1.0,1.0,56.9894,50000.0,26.32,50000.0,49973.68,emerging_rs,49897.37
2025-01-07,SELL,CSCO,1.0,0.5,-0.5,57.0475,24948.68,13.13,49897.37,49884.24,,49952.21
2025-01-13,SELL,CSCO,0.5,0.0,-0.5,56.9991,24936.03,13.12,49872.06,49858.94,,49858.94
2025-01-16,BUY,PCAR,0.0,1.0,1.0,106.0515,49858.94,21.02,49858.94,49837.92,emerging_rs,49769.76
2025-01-17,SELL,PCAR,1.0,0.0,-1.0,108.0088,49769.76,20.88,49769.76,49748.88,,49748.88
2025-01-21,BUY,PDD,0.0,1.0,1.0,108.07,49748.88,20.86,49748.88,49728.02,emerging_rs,49101.85
2025-01-23,SELL,PDD,1.0,0.5,-0.5,102.22,24299.38,10.36,48598.75,48588.39,,48811.13
2025-01-28,SELL,PDD,0.5,0.0,-0.5,111.33,25205.52,10.48,50411.04,50400.55,,50400.55
2025-01-29,BUY,ZS,0.0,1.0,1.0,203.87,50400.55,18.31,50400.55,50382.24,emerging_rs,49629.3
2025-02-04,SELL,ZS,1.0,0.0,-1.0,199.06,49244.29,17.96,49244.29,49226.33,,49226.33
2025-02-06,BUY,IDXX,0.0,1.0,1.0,468.67,49226.33,17.07,49226.33,49209.26,emerging_rs,48370.33
2025-02-18,SELL,IDXX,1.0,0.5,-0.5,444.72,23354.41,9.15,46708.83,46699.67,,46937.52
2025-02-25,SELL,IDXX,0.5,0.0,-0.5,464.61,23848.64,9.3,47697.29,47687.99,,47687.99
2025-05-02,BUY,DDOG,0.0,1.0,1.0,107.12,47687.99,20.05,47687.99,47667.94,emerging_rs,47083.23
2025-06-12,SELL,DDOG,1.0,0.5,-0.5,120.11,26596.71,10.84,53193.42,53182.58,,54083.3
2025-07-11,SELL,DDOG,0.5,0.0,-0.5,137.49,28669.25,11.29,57338.5,57327.21,,56889.24
2025-07-11,BUY,CSGP,0.0,1.0,1.0,85.3,57327.21,25.87,57327.21,57301.34,emerging_rs,56889.24
2025-07-15,SELL,CSGP,1.0,0.5,-0.5,85.87,28514.79,12.84,57029.59,57016.75,,56502.36
2025-07-16,SELL,CSGP,0.5,0.0,-0.5,84.53,28251.18,12.79,56502.36,56489.57,,55679.65
2025-07-16,BUY,AMZN,0.0,1.0,1.0,225.88,56489.57,20.17,56489.57,56469.4,emerging_rs,55679.65
2025-07-17,SELL,AMZN,1.0,0.5,-0.5,223.32,27839.83,10.72,55679.65,55668.94,,55754.95
2025-07-18,SELL,AMZN,0.5,0.0,-0.5,225.14,27877.47,10.72,55754.95,55744.22,,54807.86
2025-07-18,BUY,CDNS,0.0,1.0,1.0,321.37,55744.22,19.23,55744.22,55724.99,emerging_rs,54807.86
2025-07-22,SELL,CDNS,1.0,0.5,-0.5,317.54,27469.25,10.49,54938.49,54928.0,,55212.09
2025-08-27,SELL,CDNS,0.5,0.0,-0.5,345.0,28664.13,10.84,57328.26,57317.42,,57497.68
2025-08-27,BUY,CMCSA,0.0,1.0,1.0,30.0262,57317.42,41.82,57317.42,57275.6,emerging_rs,57497.68
2025-08-28,SELL,CMCSA,1.0,0.5,-0.5,30.2586,28748.84,20.88,57497.68,57476.8,,57273.08
2025-08-29,SELL,CMCSA,0.5,0.0,-0.5,29.9994,28636.54,20.9,57273.08,57252.18,,56830.34
2025-08-29,BUY,PCAR,0.0,1.0,1.0,97.6763,57252.18,24.74,57252.18,57227.44,emerging_rs,56830.34
2025-09-04,SELL,PCAR,1.0,0.5,-0.5,94.4667,27345.69,11.94,54691.39,54679.45,,55243.31
2025-09-05,SELL,PCAR,0.5,0.0,-0.5,96.3162,27621.66,11.99,55243.31,55231.32,,55231.32
2025-09-09,BUY,LRCX,0.0,1.0,1.0,104.3326,55231.32,23.4,55231.32,55207.93,emerging_rs,55471.17
2025-10-13,SELL,LRCX,1.0,0.0,-1.0,137.6011,69236.01,27.26,69236.01,69208.75,,67745.45
2025-10-13,BUY,TTD,0.0,1.0,1.0,52.595,69208.75,37.74,69208.75,69171.01,emerging_rs,67745.45
2025-10-14,SELL,TTD,1.0,0.5,-0.5,50.3,33872.72,18.85,67745.45,67726.6,,67372.17
2025-10-15,SELL,TTD,0.5,0.0,-0.5,51.165,33686.08,18.6,67372.17,67353.57,,67158.53
2025-10-15,BUY,PEP,0.0,1.0,1.0,146.9906,67353.57,26.12,67353.57,67327.45,emerging_rs,67158.53
2025-10-30,SELL,PEP,1.0,0.5,-0.5,142.1437,32464.91,12.69,64929.81,64917.13,,65225.48
2025-11-03,SELL,PEP,0.5,0.0,-0.5,141.6775,32451.28,12.69,64902.55,64889.86,,67407.56
2025-11-03,BUY,TEAM,0.0,1.0,1.0,169.99,64889.86,24.39,64889.86,64865.47,emerging_rs,67407.56
2025-11-06,SELL,TEAM,1.0,0.5,-0.5,159.55,30905.85,11.84,61811.71,61799.86,,60771.98
2025-11-07,SELL,TEAM,0.5,0.0,-0.5,155.0,30385.99,11.69,60771.98,60760.29,,60760.29
2025-11-10,BUY,MAR,0.0,1.0,1.0,290.2963,60760.29,20.93,60760.29,60739.36,emerging_rs,60596.55
2025-11-18,SELL,MAR,1.0,0.0,-1.0,281.4519,59014.96,20.41,59014.96,58994.56,,58994.56
2025-11-26,BUY,ADI,0.0,1.0,1.0,252.8354,58994.56,20.71,58994.56,58973.85,emerging_rs,60346.56
2025-12-16,SELL,ADI,1.0,0.0,-1.0,279.3179,65836.39,22.79,65836.39,65813.6,,65813.6
2025-12-22,BUY,HON,0.0,1.0,1.0,205.7914,65813.6,23.87,65813.6,65789.73,emerging_rs,64745.7
2025-12-23,SELL,HON,1.0,0.5,-0.5,203.2174,32372.85,12.18,64745.7,64733.52,,64657.5
2026-01-02,SELL,HON,0.5,0.0,-0.5,203.1032,32295.36,12.16,64590.72,64578.56,,64578.56
2026-01-06,BUY,AMD,0.0,1.0,1.0,222.71,64578.56,23.11,64578.56,64555.45,emerging_rs,62608.15
2026-01-07,SELL,AMD,1.0,0.5,-0.5,212.13,31304.08,11.82,62608.15,62596.33,,61960.86
2026-01-08,SELL,AMD,0.5,0.0,-0.5,210.9,30980.43,11.72,61960.86,61949.14,,63134.75
2026-01-08,BUY,AMZN,0.0,1.0,1.0,243.06,61949.14,21.87,61949.14,61927.26,emerging_rs,63134.75
2026-01-21,SELL,AMZN,1.0,0.0,-1.0,231.09,59200.17,21.06,59200.17,59179.1,,59179.1
2026-01-23,BUY,CMCSA,0.0,1.0,1.0,28.2618,59179.1,44.77,59179.1,59134.34,emerging_rs,59281.54
2026-02-04,SELL,CMCSA,1.0,0.0,-1.0,29.2663,60302.14,44.67,60302.14,60257.47,,60257.47
2026-04-09,BUY,AMZN,0.0,1.0,1.0,225.23,60257.47,21.53,60257.47,60235.94,emerging_rs,63571.36
2026-05-11,SELL,AMZN,1.0,0.5,-0.5,269.84,37155.64,13.55,74311.28,74297.73,,73793.8
2026-05-12,SELL,AMZN,0.5,0.0,-0.5,266.71,36896.9,13.47,73793.8,73780.32,,77266.58
2026-05-12,BUY,MDB,0.0,1.0,1.0,307.74,73780.32,25.23,73780.32,73755.1,emerging_rs,77266.58
2026-05-28,SELL,MDB,1.0,0.0,-1.0,321.495,73583.97,25.03,73583.97,73558.94,,73558.94
2026-05-29,BUY,AMAT,0.0,1.0,1.0,452.77,73558.94,24.55,73558.94,73534.4,emerging_rs,73599.56
2026-07-06,SELL,AMAT,1.0,0.0,-1.0,627.76,97422.8,31.68,97422.8,97391.12,,97391.12
2026-07-07,BUY,ZS,0.0,1.0,1.0,152.74,97391.12,37.44,97391.12,97353.67,emerging_rs,96790.09
2026-07-08,SELL,ZS,1.0,0.0,-1.0,146.42,96790.09,37.56,96790.09,96752.53,,96752.53
2026-07-10,BUY,META,0.0,1.0,1.0,660.34,96752.53,31.46,96752.53,96721.07,emerging_rs,102440.64
2026-07-14,SELL,META,1.0,0.0,-1.0,652.0,100521.81,32.61,100521.81,100489.2,,100489.2
2026-07-16,BUY,CTAS,0.0,1.0,1.0,198.74,100489.2,36.67,100489.2,100452.53,emerging_rs,107574.75
2026-07-17,SELL,CTAS,1.0,0.0,-1.0,207.17,107574.75,38.97,107574.75,107535.78,,107535.78
2026-08-05,BUY,ORLY,0.0,1.0,1.0,92.72,107535.78,47.22,107535.78,107488.56,emerging_rs,109365.0
