datetime,equity
2025-01-02,50000.0
2025-01-03,50797.6552868196
2025-01-06,51380.85128646037
2025-01-07,50466.11132110689
2025-01-08,50474.89824067158
2025-01-10,49680.303097131495
2025-01-13,49525.73984423686
2025-01-14,49480.90442054962
2025-01-15,50613.703794784684
2025-01-16,50261.66511972401
2025-01-17,51112.04554560193
2025-01-21,51411.61866635431
2025-01-22,52067.31141313785
2025-01-23,52179.59100138449
2025-01-24,51885.02776953405
2025-01-27,50385.866477671996
2025-01-28,51129.32538495228
2025-01-29,51033.47436141588
2025-01-30,51251.30046327862
2025-01-31,51180.20133632317
2025-02-03,50778.4127773787
2025-02-04,51401.169947964176
2025-02-05,51636.88843990596
2025-02-06,51906.23972846507
2025-02-07,51252.20934221688
2025-02-10,51871.08310655215
2025-02-11,51748.80497895075
2025-02-12,51785.624406970586
2025-02-13,52528.685801073116
2025-02-14,52749.252663281644
2025-02-18,52868.94246356374
2025-02-19,52883.79459801486
2025-02-20,52659.01952619238
2025-02-21,51568.725844271175
2025-02-24,50962.676185243465
2025-02-25,50319.83173833794
2025-02-26,50441.81194840501
2025-02-27,49053.066473496816
2025-02-28,49827.95282359814
2025-03-03,48746.859699243265
2025-03-04,48600.52179850228
2025-03-05,49233.313540577285
2025-03-06,47869.84017592759
2025-03-07,48222.8782348712
2025-03-10,46335.79667195056
2025-03-11,46224.94208174958
2025-03-12,46749.893875629736
2025-03-13,45907.70374000339
2025-03-14,47010.77679618202
2025-03-17,47315.61696334042
2025-03-18,46505.57175582351
2025-03-19,47125.97614192521
2025-03-20,46968.194840058175
2025-03-21,47130.34341288233
2025-03-24,48161.0306156887
2025-03-25,48435.615719122485
2025-03-26,47542.47865663488
2025-03-27,47271.23636261243
2025-03-28,46022.68161608117
2025-03-31,46031.14574562648
2025-04-01,46404.07356383029
2025-04-02,46756.68808907104
2025-04-03,44229.08938565616
2025-04-04,41438.668989035614
2025-04-07,41589.18676891239
2025-04-08,40911.8718327108
2025-04-09,45828.46769310615
2025-04-10,43859.384750239464
2025-04-11,44670.65599142146
2025-04-14,44988.32159584767
2025-04-15,45038.600697371694
2025-04-16,43670.96430139488
2025-04-17,43665.169802271404
2025-04-21,42577.875269503544
2025-04-22,43688.3962611944
2025-04-23,44689.71958812508
2025-04-24,45942.708756548425
2025-04-25,46455.29757460532
2025-04-28,46440.623605136876
2025-04-29,46749.78931783511
2025-04-30,46758.697939113124
2025-05-01,47372.16073985898
2025-05-02,48073.11580901725
2025-05-05,47789.05120682682
2025-05-06,47346.97859917858
2025-05-07,47532.70933660557
2025-05-08,48023.674774644955
2025-05-09,47993.07671829483
2025-05-12,49945.18002009251
2025-05-13,50704.72040194779
2025-05-14,51008.19450032542
2025-05-15,51065.30879455768
2025-05-16,51287.373839270986
2025-05-19,51347.34334456023
2025-05-20,51176.54707907596
2025-05-21,50462.937432465464
2025-05-22,50557.29005905373
2025-05-23,50093.73340607866
2025-05-27,51265.59231232103
2025-05-28,51038.91682635067
2025-05-29,51148.120105683534
2025-05-30,51067.43795048384
2025-06-02,51472.91778904777
2025-06-03,51875.055215613334
2025-06-04,52019.538935488556
2025-06-05,51629.45451248314
2025-06-06,52134.154947403644
2025-06-09,52210.92900702154
2025-06-10,52555.95380553792
2025-06-11,52379.73760882303
2025-06-12,52503.28174020379
2025-06-13,51843.35607473111
2025-06-16,52562.031891488026
2025-06-17,52048.15729428236
2025-06-18,52039.55999312282
2025-06-20,51830.3767535287
2025-06-23,52361.90665876231
2025-06-24,53159.85027411441
2025-06-25,53296.0943425211
2025-06-26,53793.31747037606
2025-06-27,53977.32279137325
2025-06-30,54326.724935713566
2025-07-01,53867.81321666982
2025-07-02,54243.746937370306
2025-07-03,54776.231624355634
2025-07-07,54362.87578476107
2025-07-08,54393.70224454074
2025-07-09,54778.057986020176
2025-07-10,54699.45487144776
2025-07-11,54576.702315903996
2025-07-14,54774.69177597579
2025-07-15,54827.46710712861
2025-07-16,54883.575284050836
2025-07-17,55327.21143624617
2025-07-18,55274.50094814826
2025-07-21,55560.78046470326
2025-07-22,55273.27945189947
2025-07-23,55525.1423626436
2025-07-24,55643.32445653645
2025-07-25,55777.23345858637
2025-07-28,55951.50068074422
2025-07-29,55866.396354704906
2025-07-30,55941.33431550282
2025-07-31,55655.500530900215
2025-08-01,54553.72122188631
2025-08-04,55555.73378652734
2025-08-05,55179.74520812265
2025-08-06,55873.1522087072
2025-08-07,56064.08767155094
2025-08-08,56586.1588969969
2025-08-11,56418.75781401183
2025-08-12,57125.99153941116
2025-08-13,57155.600494687504
2025-08-14,57111.9297855564
2025-08-15,56860.72526957195
2025-08-18,56838.165976226584
2025-08-19,56066.07533153324
2025-08-20,55732.86958497457
2025-08-21,55474.49152088091
2025-08-22,56328.6242533101
2025-08-25,56166.016607365986
2025-08-26,56391.77388136644
2025-08-27,56478.79416799187
2025-08-28,56832.0539747882
2025-08-29,56172.41891766672
2025-09-02,55708.56757712427
2025-09-03,56146.36411775751
2025-09-04,56654.032209985075
2025-09-05,56739.73071882343
2025-09-08,57016.25790622783
2025-09-09,57177.76311413959
2025-09-10,57198.12491630696
2025-09-11,57530.61287823937
2025-09-12,57784.51350347612
2025-09-15,58278.01495227989
2025-09-16,58228.948341877156
2025-09-17,58112.741530172636
2025-09-18,58636.36199981615
2025-09-19,59032.663748872124
