date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-06,BUY,CSCO,0.0,1.0,56.99,50000.0,26.32,49897.43
2025-01-07,SELL,CSCO,1.0,0.5,57.048,24948.72,13.13,49952.36
2025-01-13,SELL,CSCO,0.5,0.0,56.999,24936.07,13.12,49859.01
2025-01-16,BUY,PCAR,0.0,1.0,106.046,49859.01,21.02,49769.51
2025-01-17,SELL,PCAR,1.0,0.0,108.003,49769.51,20.88,49748.63
2025-01-21,BUY,PDD,0.0,1.0,108.065,49748.63,20.86,49101.47
2025-01-23,SELL,PDD,1.0,0.5,102.22,24299.17,10.36,48810.71
2025-01-28,SELL,PDD,0.5,0.0,111.325,25205.3,10.48,50400.12
2025-01-29,BUY,ZS,0.0,1.0,203.87,50400.12,18.31,49628.87
2025-02-04,SELL,ZS,1.0,0.0,199.06,49243.87,17.96,49225.91
2025-02-06,BUY,IDXX,0.0,1.0,468.67,49225.91,17.07,48369.91
2025-02-18,SELL,IDXX,1.0,0.5,444.72,23354.21,9.15,46937.12
2025-02-25,SELL,IDXX,0.5,0.0,464.61,23848.44,9.3,47687.58
2025-05-02,BUY,DDOG,0.0,1.0,107.12,47687.58,20.05,47082.82
2025-06-12,SELL,DDOG,1.0,0.5,120.11,26596.48,10.84,54082.84
2025-07-11,SELL,DDOG,0.5,0.0,137.49,28669.0,11.29,56888.75
2025-07-11,BUY,CSGP,0.0,1.0,85.3,57326.72,25.87,56888.75
2025-07-15,SELL,CSGP,1.0,0.5,85.865,28514.55,12.84,56501.84
2025-07-16,SELL,CSGP,0.5,0.0,84.53,28250.92,12.79,55679.13
2025-07-16,BUY,AMZN,0.0,1.0,225.875,56489.05,20.17,55679.13
2025-07-17,SELL,AMZN,1.0,0.5,223.32,27839.56,10.72,55754.42
2025-07-18,SELL,AMZN,0.5,0.0,225.14,27877.21,10.72,54808.21
2025-07-18,BUY,CDNS,0.0,1.0,321.37,55743.7,19.23,54808.21
2025-07-22,SELL,CDNS,1.0,0.5,317.54,27469.42,10.49,55212.45
2025-08-27,SELL,CDNS,0.5,0.0,345.0,28664.31,10.84,57497.73
2025-08-27,BUY,CMCSA,0.0,1.0,30.013,57317.78,41.83,57497.73
2025-08-28,SELL,CMCSA,1.0,0.5,30.245,28748.86,20.89,57273.54
2025-08-29,SELL,CMCSA,0.5,0.0,29.986,28636.77,20.91,56830.75
2025-08-29,BUY,PCAR,0.0,1.0,97.674,57252.63,24.74,56830.75
2025-09-04,SELL,PCAR,1.0,0.5,94.464,27345.94,11.94,55243.74
2025-09-05,SELL,PCAR,0.5,0.0,96.314,27621.87,11.99,55231.75
2025-09-09,BUY,LRCX,0.0,1.0,104.333,55231.75,23.4,55471.47
2025-10-13,SELL,LRCX,1.0,0.0,137.607,69239.05,27.26,67748.42
2025-10-13,BUY,TTD,0.0,1.0,52.595,69211.79,37.74,67748.42
2025-10-14,SELL,TTD,1.0,0.5,50.3,33874.21,18.85,67375.13
2025-10-15,SELL,TTD,0.5,0.0,51.165,33687.57,18.6,67161.51
2025-10-15,BUY,PEP,0.0,1.0,146.987,67356.53,26.12,67161.51
2025-10-30,SELL,PEP,1.0,0.5,142.14,32466.23,12.69,65228.13
2025-11-03,SELL,PEP,0.5,0.0,141.674,32452.6,12.69,67410.31
2025-11-03,BUY,TEAM,0.0,1.0,169.99,64892.52,24.39,67410.31
2025-11-06,SELL,TEAM,1.0,0.5,159.55,30907.12,11.84,60774.46
2025-11-07,SELL,TEAM,0.5,0.0,155.0,30387.23,11.69,60762.77
2025-11-10,BUY,MAR,0.0,1.0,290.309,60762.77,20.93,60598.97
2025-11-18,SELL,MAR,1.0,0.0,281.464,59017.3,20.41,58996.89
2025-11-26,BUY,ADI,0.0,1.0,252.846,58996.89,20.71,60348.91
2025-12-16,SELL,ADI,1.0,0.0,279.33,65839.0,22.79,65816.21
2025-12-22,BUY,HON,0.0,1.0,392.436,65816.21,22.24,64749.79
