datetime,equity
2025-01-02,50000.0
2025-01-03,50603.17965927098
2025-01-06,51934.916929986684
2025-01-07,51571.39203669432
2025-01-08,51170.65142264967
2025-01-10,50667.79948213683
2025-01-13,50649.14237125043
2025-01-14,50649.14237125043
2025-01-15,50649.14237125043
2025-01-16,50558.53614779924
2025-01-17,50537.330142255654
2025-01-21,49880.047399481155
2025-01-22,49368.969580898134
2025-01-23,49584.713620682516
2025-01-24,51312.756364101915
2025-01-27,51209.97686098778
2025-01-28,51199.32847013257
2025-01-29,50415.84675384064
2025-01-30,50721.662759829596
2025-01-31,50667.26968087204
2025-02-03,50024.74309490825
2025-02-04,50006.493839397444
2025-02-05,50006.493839397444
2025-02-06,49136.958426929385
2025-02-07,49059.05836385598
2025-02-10,49605.55406525667
2025-02-11,49483.76350692871
2025-02-12,48800.33211416046
2025-02-13,49057.179828763095
2025-02-14,47449.12313900809
2025-02-18,47681.475557867496
2025-02-19,47784.31506970757
2025-02-20,47883.29041482801
2025-02-21,47878.82827087271
2025-02-24,48453.284019709296
2025-02-25,48443.869594984084
2025-02-26,48443.869594984084
2025-02-27,48443.869594984084
2025-02-28,48443.869594984084
2025-03-03,48443.869594984084
2025-03-04,48443.869594984084
2025-03-05,48443.869594984084
2025-03-06,48443.869594984084
2025-03-07,48443.869594984084
2025-03-10,48443.869594984084
2025-03-11,48443.869594984084
2025-03-12,48443.869594984084
2025-03-13,48443.869594984084
2025-03-14,48443.869594984084
2025-03-17,48443.869594984084
2025-03-18,48443.869594984084
2025-03-19,48443.869594984084
2025-03-20,48443.869594984084
2025-03-21,48443.869594984084
2025-03-24,48443.869594984084
2025-03-25,48443.869594984084
2025-03-26,48443.869594984084
2025-03-27,48443.869594984084
2025-03-28,48443.869594984084
2025-03-31,48443.869594984084
2025-04-01,48443.869594984084
2025-04-02,48443.869594984084
2025-04-03,48443.869594984084
2025-04-04,48443.869594984084
2025-04-07,48443.869594984084
2025-04-08,48443.869594984084
2025-04-09,48443.869594984084
2025-04-10,48443.869594984084
2025-04-11,48443.869594984084
2025-04-14,48443.869594984084
2025-04-15,48443.869594984084
2025-04-16,48443.869594984084
2025-04-17,48443.869594984084
2025-04-21,48443.869594984084
2025-04-22,48443.869594984084
2025-04-23,48443.869594984084
2025-04-24,48443.869594984084
2025-04-25,48443.869594984084
2025-04-28,48443.869594984084
2025-04-29,48443.869594984084
2025-04-30,48443.869594984084
2025-05-01,48443.869594984084
2025-05-02,47829.519011788725
2025-05-05,48150.849585086704
2025-05-06,48321.0761975981
2025-05-07,48303.31934747184
2025-05-08,49750.65206650423
2025-05-09,49148.60787601177
2025-05-12,51650.27879542723
2025-05-13,53420.670796137
2025-05-14,54228.290268359924
2025-05-15,53337.04532594201
2025-05-16,53579.12122188043
2025-05-19,53039.16545290515
2025-05-20,52965.70207228166
2025-05-21,51774.81787733213
2025-05-22,52673.62267690654
2025-05-23,52129.63363070463
2025-05-27,53550.71421808131
2025-05-28,52958.79484531767
2025-05-29,53277.07017002194
2025-05-30,53682.026533497505
2025-06-02,53618.8124094935
2025-06-03,54039.635105205685
2025-06-04,54512.239306002855
2025-06-05,55442.689934125716
2025-06-06,55630.98423587464
2025-06-09,55181.18530795362
2025-06-10,54619.19078143113
2025-06-11,54036.55888964724
2025-06-12,54940.55113126088
2025-06-13,54440.85516799263
2025-06-16,54774.49999259675
2025-06-17,55435.02567985857
2025-06-18,56588.11900996074
2025-06-20,56041.496465140575
2025-06-23,56487.01065909821
2025-06-24,56773.572289684205
2025-06-25,56646.06031493734
2025-06-26,56837.85258044609
2025-06-27,57045.57746643515
2025-06-30,57529.46167639374
2025-07-01,57099.764418371524
2025-07-02,57682.74620089909
2025-07-03,61846.35653060273
2025-07-07,61299.74541886777
2025-07-08,59997.56968133987
2025-07-09,59339.823746089365
2025-07-10,58247.34658040498
2025-07-11,58221.92551093277
2025-07-14,58530.879782327196
2025-07-15,58901.3215548594
2025-07-16,58649.67077900502
2025-07-17,59444.74727938543
2025-07-18,59832.66841303795
2025-07-21,59884.32629512255
2025-07-22,59806.11522252124
2025-07-23,59622.91954662065
2025-07-24,60150.67325878612
2025-07-25,60820.76541765993
2025-07-28,61009.69805252185
2025-07-29,60908.74678938475
2025-07-30,60627.02482963328
2025-07-31,58789.606507534525
2025-08-01,57862.665406227265
2025-08-04,60206.77588276104
2025-08-05,58274.68728339264
2025-08-06,57408.07485076626
2025-08-07,57062.22530465244
2025-08-08,56956.216077067606
2025-08-11,56232.17375548601
2025-08-12,56819.69635220286
2025-08-13,55905.29134894087
2025-08-14,55784.58024011076
2025-08-15,55446.75521704427
2025-08-18,54355.29734552583
2025-08-19,55531.74810697582
2025-08-20,55583.814491299585
2025-08-21,55637.61486110256
2025-08-22,55717.64339882505
2025-08-25,54535.491842410505
2025-08-26,54680.77583940822
