datetime,equity
2025-01-02,50000.0
2025-01-03,50797.580829289356
2025-01-06,51380.864540540686
2025-01-07,50466.05395255747
2025-01-08,50474.86980073128
2025-01-10,49680.254046295224
2025-01-13,49525.69977027015
2025-01-14,49480.91430627029
2025-01-15,50613.71835257237
2025-01-16,50261.65940966459
2025-01-17,51112.02792054537
2025-01-21,51411.63235690856
2025-01-22,52067.26519537068
2025-01-23,52179.60706707328
2025-01-24,51884.96219295408
2025-01-27,50385.82141376584
2025-01-28,51129.24835476571
2025-01-29,51033.432393890944
2025-01-30,51251.30410965395
2025-01-31,51180.16610121331
2025-02-03,50778.37644925133
2025-02-04,51401.125486095545
2025-02-05,51636.89023691995
2025-02-06,51906.20080263689
2025-02-07,51252.22169624191
2025-02-10,51870.99832579455
2025-02-11,51748.76581361059
2025-02-12,51785.552619004324
2025-02-13,52528.67462446723
2025-02-14,52749.19011897542
2025-02-18,52868.866515407644
2025-02-19,52883.711167113026
2025-02-20,52659.03051351794
2025-02-21,51568.69797755683
2025-02-24,50962.629978970544
2025-02-25,50319.84223439099
2025-02-26,50441.801668014814
2025-02-27,49053.028792259705
2025-02-28,49827.87137383936
2025-03-03,48746.8063858276
2025-03-04,48600.48065913277
2025-03-05,49233.29108509046
2025-03-06,47869.838474635166
2025-03-07,48222.82118151938
2025-03-10,46335.74491318812
2025-03-11,46224.92378379476
2025-03-12,46749.84095887829
2025-03-13,45907.699404060135
2025-03-14,47010.69779037139
2025-03-17,47315.52895022175
2025-03-18,46505.58263875751
2025-03-19,47125.987437886826
2025-03-20,46968.21625916844
2025-03-21,47130.28889644436
2025-03-24,48160.057597363586
2025-03-25,48434.588322276395
2025-03-26,47541.52460410005
2025-03-27,47270.319765420965
2025-03-28,46021.76760252669
2025-03-31,46030.24954975909
2025-04-01,46403.137378829786
2025-04-02,46755.70825624624
2025-04-03,44228.201343593515
2025-04-04,41437.852509508695
2025-04-07,41588.368247101025
2025-04-08,40911.06353220475
2025-04-09,45827.49854856818
2025-04-10,43858.45107404415
2025-04-11,44669.74907415952
2025-04-14,44987.39632178752
2025-04-15,45037.66762381155
2025-04-16,43670.10702005822
2025-04-17,43664.265841908775
2025-04-21,42576.9748201253
2025-04-22,43687.46685879666
2025-04-23,44688.822904046196
2025-04-24,45941.73884234534
2025-04-25,46454.34457559602
2025-04-28,46439.65401407628
2025-04-29,46748.87490909851
2025-04-30,46757.721231921954
2025-05-01,47371.20475197242
2025-05-02,48072.128712533675
2025-05-05,47788.07677172949
2025-05-06,47345.983854131984
2025-05-07,47531.69730536904
2025-05-08,48022.710547691895
2025-05-09,47992.0981344524
2025-05-12,49944.135570768754
2025-05-13,50703.697665022766
2025-05-14,51007.14050417208
2025-05-15,51064.3129858769
2025-05-16,51286.34642622355
2025-05-19,51346.31659392579
2025-05-20,51175.54841157167
2025-05-21,50461.91178361303
2025-05-22,50556.303617484555
2025-05-23,50092.76644786197
2025-05-27,51264.535423119414
2025-05-28,51037.91709138615
2025-05-29,51147.12104329022
2025-05-30,51066.42137408901
2025-06-02,51471.87752083682
2025-06-03,51873.99052550311
2025-06-04,52018.50875047555
2025-06-05,51628.37443241286
2025-06-06,52133.1414236152
2025-06-09,52209.86043375941
2025-06-10,52554.900938711355
2025-06-11,52378.643997770036
2025-06-12,52502.25391954878
2025-06-13,51842.295902548256
2025-06-16,52560.9327617737
2025-06-17,52047.14934538836
2025-06-18,52038.50495211121
2025-06-20,51829.2960493826
2025-06-23,52361.70958054043
2025-06-24,53159.65083657922
2025-06-25,53295.92815298575
2025-06-26,53793.11694206743
2025-06-27,53977.12856583166
2025-06-30,54326.53484659926
2025-07-01,53867.641152229495
2025-07-02,54243.54584743907
2025-07-03,54776.02303840317
2025-07-07,54362.69158185059
2025-07-08,54393.46532630499
2025-07-09,54777.84617078679
2025-07-10,54699.22979979313
2025-07-11,54576.476581913375
2025-07-14,54774.49414032536
2025-07-15,54827.2260481263
2025-07-16,54883.35942779825
2025-07-17,55327.03087116744
2025-07-18,55274.27983317406
2025-07-21,55560.55585850976
2025-07-22,55273.06973144606
2025-07-23,55524.90320990476
2025-07-24,55643.105296175956
2025-07-25,55777.057743112986
2025-07-28,55951.28317587121
2025-07-29,55866.19448534919
2025-07-30,55941.06709969363
2025-07-31,55655.28296726441
2025-08-01,54553.54359663431
2025-08-04,55555.54736176732
2025-08-05,55179.49888750655
2025-08-06,55872.921680034284
2025-08-07,56063.83834390952
2025-08-08,56585.95173987456
2025-08-11,56418.56906529977
2025-08-12,57125.74860377942
2025-08-13,57155.41375509168
2025-08-14,57111.66263153447
2025-08-15,56860.48268636465
2025-08-18,56837.929221329054
2025-08-19,56065.904981981694
2025-08-20,55732.626444137364
2025-08-21,55474.308505656176
2025-08-22,56328.359199240535
2025-08-25,56165.84951853742
2025-08-26,56391.59789659175
2025-08-27,56478.602820412125
2025-08-28,56831.84052576242
2025-08-29,56172.213005985526
2025-09-02,55708.35354783425
2025-09-03,56146.11683131636
2025-09-04,56653.80406156735
2025-09-05,56739.5001077237
2025-09-08,57016.08048600607
2025-09-09,57177.49907840682
2025-09-10,57197.87580177239
2025-09-11,57530.43021767454
2025-09-12,57784.29734938975
2025-09-15,58277.78458058067
2025-09-16,58228.75628593789
2025-09-17,58112.51929786747
2025-09-18,58636.18301700527
2025-09-19,59032.4430461621
2025-09-22,59382.59338480643
2025-09-23,58988.26862983456
2025-09-24,58781.9794004219
2025-09-25,58529.41685736819
2025-09-26,58769.8018517276
2025-09-29,59042.17187019487
2025-09-30,59203.992213052414
2025-10-01,59491.20795687425
2025-10-02,59736.60677366648
2025-10-03,59485.551076928336
2025-10-06,59932.92884318285
2025-10-07,59618.304603732424
2025-10-08,60300.86924814202
2025-10-09,60227.894894783945
2025-10-10,58139.59886624791
2025-10-13,59369.50072798715
2025-10-14,58977.0294395602
2025-10-15,59394.97330005485
2025-10-16,59177.449594497906
2025-10-17,59568.066710842264
2025-10-20,60316.37451915651
2025-10-21,60300.59725607645
2025-10-22,59719.18612438527
2025-10-23,60221.75227575452
2025-10-24,60863.8494515142
2025-10-27,61943.60988819746
2025-10-28,62419.03548597454
2025-10-29,62700.03328569865
2025-10-30,61738.00313185137
2025-10-31,62042.26287367192
2025-11-03,62341.971045789185
2025-11-04,61070.93604324256
2025-11-05,61468.95707656132
2025-11-06,60321.56070304429
2025-11-07,60132.01349579548
2025-11-10,61456.07606895385
2025-11-11,61292.81058744401
2025-11-12,61246.43188874597
2025-11-13,59990.86127475864
2025-11-14,60049.756846731325
2025-11-17,59535.8038361265
2025-11-18,58808.71338950586
2025-11-19,59159.45422829643
2025-11-20,57808.209827510604
2025-11-21,58241.72147848577
2025-11-24,59722.617152444625
2025-11-25,60092.185172316276
2025-11-26,60622.111325483704
2025-11-28,61112.664254175324
2025-12-01,60910.584557777074
2025-12-02,61386.34854041049
2025-12-03,61537.8443799268
2025-12-04,61481.03959752909
2025-12-05,61731.48103784642
2025-12-08,61613.84059381551
2025-12-09,61690.248216900196
2025-12-10,61943.62272684717
2025-12-11,61744.33078471424
2025-12-12,60559.17971088403
2025-12-15,60261.14572615318
2025-12-16,60381.862653796736
2025-12-17,59265.22921575564
2025-12-18,60125.04293022957
2025-12-19,60906.45826488003
2025-12-22,61200.14910421569
2025-12-23,61487.400382675434
2025-12-24,61667.32266921469
2025-12-26,61663.4630619777
2025-12-29,61365.43496494085
2025-12-30,61223.03742690043
2025-12-31,60717.17863364712
2026-01-02,60605.92247772429
2026-01-05,61088.629558376735
2026-01-06,61624.56120920048
2026-01-07,61683.93438797243
2026-01-08,61332.61239583331
2026-01-09,61942.71587836675
2026-01-12,61997.46314083188
2026-01-13,61905.54771146614
2026-01-14,61242.511910372865
2026-01-15,61468.312567050816
2026-01-16,61419.39655096789
2026-01-20,60110.12024885473
2026-01-21,60921.1542904519
2026-01-22,61365.54638091018
2026-01-23,61559.794477939904
2026-01-26,61830.48942686283
2026-01-27,62389.79650357049
2026-01-28,62597.90505852386
2026-01-29,62222.95265540673
2026-01-30,61473.34569119307
2026-02-02,61899.22045334236
2026-02-03,60952.204547155874
2026-02-04,59885.18799496397
2026-02-05,59020.221924565245
2026-02-06,60262.86563023014
2026-02-09,60726.81457993952
2026-02-10,60445.693262183915
2026-02-11,60610.39057337112
2026-02-12,59381.261808929616
2026-02-13,59507.85162330687
2026-02-17,59448.26503516285
2026-02-18,59891.69181400891
2026-02-19,59662.63652964161
2026-02-20,60195.37994247595
2026-02-23,59461.84881803283
2026-02-24,60099.66910705604
2026-02-25,60967.80279816165
2026-02-26,60231.137661313885
2026-02-27,60042.78219517793
2026-03-02,60134.72243364012
2026-03-03,59501.177039233364
2026-03-04,60405.37940504629
2026-03-05,60224.223675055575
2026-03-06,59317.46011283011
2026-03-09,60122.11092189912
2026-03-10,60123.103499733006
2026-03-11,60115.42281240752
2026-03-12,59079.193683192
2026-03-13,58731.474137161655
2026-03-16,59389.93852767105
2026-03-17,59679.69867036875
2026-03-18,58845.81035589638
2026-03-19,58663.016811231944
2026-03-20,57575.87174895553
2026-03-23,58240.66903769718
2026-03-24,57842.04084127799
2026-03-25,58223.533286437545
2026-03-26,56826.039099274836
2026-03-27,55711.593181211894
2026-03-30,55293.392455656685
2026-03-31,57151.692709665935
2026-04-01,57855.626712674115
2026-04-02,57941.60470488362
2026-04-06,58289.7810873985
2026-04-07,58300.12270935561
2026-04-08,60042.08226420327
2026-04-09,60448.3607307605
2026-04-10,60535.74292028454
2026-04-13,61163.87769677178
2026-04-14,62270.640930269496
2026-04-15,63141.76787337545
2026-04-16,63445.52906727439
2026-04-17,64273.09702387456
2026-04-20,64068.88488456258
2026-04-21,63826.21749454787
2026-04-22,64889.66961777038
2026-04-23,64523.663288534764
2026-04-24,65752.11201160486
2026-04-27,65786.83560352489
2026-04-28,65125.37708700737
2026-04-29,65523.04806214077
2026-04-30,66132.78897888509
2026-05-01,66766.59004880367
2026-05-04,66640.94383342587
2026-05-05,67502.83835407835
2026-05-06,68898.0683663506
2026-05-07,68816.06586622156
2026-05-08,70421.20359860959
2026-05-11,70625.52629315
2026-05-12,70025.80072579757
2026-05-13,70763.62960491134
2026-05-14,71266.65806431178
2026-05-15,70189.78319041395
2026-05-18,69889.86014042792
2026-05-19,69460.64661934455
2026-05-20,70607.02911009047
2026-05-21,70744.88103151212
2026-05-22,71045.14665038601
2026-05-26,72301.60572349215
2026-05-27,72220.70069069685
2026-05-28,72829.36514221744
2026-05-29,73097.53278633438
2026-06-01,73537.10761239307
2026-06-02,73875.88035695738
2026-06-03,73683.29128804452
2026-06-04,73332.8866159825
2026-06-05,69777.06361895922
2026-06-08,70869.7405614544
2026-06-09,70068.55481000773
2026-06-10,68661.89204109034
2026-06-11,70966.87160654883
2026-06-12,71384.2372897764
2026-06-15,73613.42718830307
2026-06-16,72211.4826322922
2026-06-17,71493.37880994429
2026-06-18,73278.64816654143
2026-06-22,73095.91325715058
2026-06-23,70682.51087158574
2026-06-24,70383.53680307113
2026-06-25,70973.88652156566
2026-06-26,69996.23807409847
2026-06-29,71725.48083804776
2026-06-30,72945.70156809466
2026-07-01,71829.34804671055
2026-07-02,70584.993521501
2026-07-06,71594.40124450099
2026-07-07,70262.45088394746
2026-07-08,70465.60852535129
2026-07-09,71633.61854924646
2026-07-10,71856.1810937399
2026-07-13,70485.93823574035
2026-07-14,71273.87189725677
2026-07-15,71084.23163754487
2026-07-16,69910.73500182197
2026-07-17,68867.53519544398
2026-07-20,68945.71131324758
2026-07-21,70220.9261102041
2026-07-22,69863.68145888044
2026-07-23,68533.30327788995
2026-07-24,67766.32809611651
2026-07-27,67567.55270869115
2026-07-28,66910.17760525718
2026-07-29,65547.23013703484
2026-07-30,67691.78321114898
2026-07-31,68136.52169384393
2026-08-03,69332.36635230044
2026-08-04,71669.69579648288
2026-08-05,71024.09811941884
2026-08-06,70765.16679321535
2026-08-07,71429.68438794138
