date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-03,BUY,GOOGL,0.0,1.0,190.3756,50000.0,18.39,50603.18
2025-01-13,SELL,GOOGL,1.0,0.0,189.0824,50667.8,18.66,50649.14
2025-01-16,BUY,PCAR,0.0,1.0,106.0515,50649.14,21.36,50558.54
2025-01-17,SELL,PCAR,1.0,0.0,108.0088,50558.54,21.21,50537.33
2025-01-21,BUY,PDD,0.0,1.0,108.07,50537.33,21.19,49880.05
2025-01-23,SELL,PDD,1.0,0.5,102.22,24684.48,10.52,49584.71
2025-01-28,SELL,PDD,0.5,0.0,111.33,25604.99,10.65,51199.33
2025-01-29,BUY,ZS,0.0,1.0,203.87,51199.33,18.6,50415.85
2025-02-04,SELL,ZS,1.0,0.0,199.06,50024.74,18.25,50006.49
2025-02-06,BUY,IDXX,0.0,1.0,468.67,50006.49,17.31,49136.96
2025-02-18,SELL,IDXX,1.0,0.5,444.72,23724.56,9.27,47681.48
2025-02-25,SELL,IDXX,0.5,0.0,464.61,24226.64,9.41,48443.87
2025-05-02,BUY,DDOG,0.0,1.0,107.12,48443.87,20.37,47829.52
2025-06-12,SELL,DDOG,1.0,0.5,120.11,27018.28,11.01,54940.55
2025-08-04,SELL,DDOG,0.5,0.0,137.2,28931.33,11.4,60206.78
2025-08-04,BUY,CEG,0.0,1.0,343.3251,57851.27,19.85,60206.78
2025-08-12,SELL,CEG,1.0,0.5,331.3083,28116.09,10.68,56819.7
2025-08-18,SELL,CEG,0.5,0.0,320.772,27723.38,10.57,54355.3
2025-08-18,BUY,BIIB,0.0,1.0,140.0,55436.19,21.74,54355.3
2025-09-02,SELL,BIIB,1.0,0.5,133.55,26440.81,10.52,54340.53
2025-09-19,SELL,BIIB,0.5,0.0,143.96,27584.88,10.84,55158.92
2025-09-24,BUY,FTNT,0.0,1.0,85.29,55158.92,24.89,54054.5
2025-09-25,SELL,FTNT,1.0,0.5,82.96,27027.25,12.31,53916.75
2025-09-26,SELL,FTNT,0.5,0.0,83.2,26958.38,12.27,53904.49
2025-09-29,BUY,XEL,0.0,1.0,77.6869,53904.49,25.12,54401.75
2025-10-27,SELL,XEL,1.0,0.5,78.5375,27325.35,12.69,54740.06
2025-10-28,SELL,XEL,0.5,0.0,78.8699,27370.03,12.69,54727.37
2025-10-29,BUY,NVDA,0.0,1.0,207.7151,54727.37,19.82,56351.64
2025-11-07,SELL,NVDA,1.0,0.5,184.6645,25602.14,10.09,51211.31
2025-11-10,SELL,NVDA,0.5,0.0,194.8615,25605.66,10.07,51063.03
2025-11-10,BUY,MAR,0.0,1.0,290.2963,51201.25,17.88,51063.03
2025-11-18,SELL,MAR,1.0,0.0,281.4519,49730.27,17.44,49712.84
2025-11-26,BUY,ADI,0.0,1.0,252.8354,49712.84,17.49,50852.08
2025-12-16,SELL,ADI,1.0,0.0,279.3179,55478.18,19.23,55458.95
2025-12-22,BUY,HON,0.0,1.0,205.7914,55458.95,20.11,54559.07
2025-12-23,SELL,HON,1.0,0.5,203.2174,27279.53,10.58,54484.43
2026-01-02,SELL,HON,0.5,0.0,203.1032,27214.08,10.56,54417.6
2026-01-06,BUY,AMD,0.0,1.0,222.71,54417.6,19.48,52757.22
2026-01-07,SELL,AMD,1.0,0.5,212.13,26378.61,10.28,52211.46
2026-01-08,SELL,AMD,0.5,0.0,210.9,26105.73,10.19,53200.33
2026-01-08,BUY,AMZN,0.0,1.0,243.06,52201.27,18.43,53200.33
2026-01-21,SELL,AMZN,1.0,0.0,231.09,49884.86,17.75,49867.11
2026-01-23,BUY,CMCSA,0.0,1.0,28.2618,49867.11,37.72,49953.43
2026-02-04,SELL,CMCSA,1.0,0.0,29.2663,50813.43,37.64,50775.79
2026-04-09,BUY,AMZN,0.0,1.0,225.23,50775.79,18.14,53568.24
2026-05-11,SELL,AMZN,1.0,0.5,269.84,31309.1,11.73,62181.83
2026-05-12,SELL,AMZN,0.5,0.0,266.71,31090.92,11.67,65107.82
2026-05-12,BUY,MDB,0.0,1.0,307.74,62170.17,21.26,65107.82
2026-05-27,SELL,MDB,1.0,0.5,301.402,32374.55,12.02,63365.14
2026-05-28,SELL,MDB,0.5,0.0,321.495,31682.57,11.79,63353.35
2026-05-29,BUY,AMAT,0.0,1.0,452.77,63353.35,21.42,63388.05
2026-06-08,SELL,AMAT,1.0,0.5,476.0,31837.84,11.74,66360.75
2026-07-06,SELL,AMAT,0.5,0.0,627.76,36912.19,13.24,73811.14
2026-07-07,BUY,ZS,0.0,1.0,152.74,73811.14,28.38,73355.64
2026-07-08,SELL,ZS,1.0,0.0,146.42,73355.64,28.47,73327.17
2026-07-10,BUY,META,0.0,1.0,660.34,73327.17,24.32,77637.59
2026-07-14,SELL,META,1.0,0.0,652.0,76183.34,25.2,76158.15
2026-07-16,BUY,CTAS,0.0,1.0,198.74,76158.15,27.79,81528.1
2026-07-17,SELL,CTAS,1.0,0.0,207.17,81528.1,29.53,81498.57
2026-08-05,BUY,ORLY,0.0,1.0,92.72,81498.57,35.79,82884.89
