date,action,symbol,weight_from,weight_to,reason,excess_20,peak_dd,n_candidates
2025-01-03,ENTER,CSCO,0.0,1.0,emerging_rs,0.001325967481656809,0.0,1.0
2025-01-06,EXIT,CSCO,1.0,0.0,weaken_flat,-0.02100671033552548,-0.001529065714318989,
2025-01-07,ENTER,ARM,0.0,1.0,emerging_rs,0.04465639174917424,0.0,3.0
2025-01-10,EXIT,ARM,1.0,0.0,gate_off,0.04749617751619206,-0.03243795836136998,
2025-01-15,ENTER,PCAR,0.0,1.0,emerging_rs,0.02243580259389444,0.0,3.0
2025-01-16,EXIT,PCAR,1.0,0.0,gate_off,0.047689052402523524,-0.0013681438032688842,
2025-01-17,ENTER,PDD,0.0,1.0,emerging_rs,0.055426728241920076,0.0,6.0
2025-01-22,EXIT,PDD,1.0,0.0,weaken_flat,-0.01479717971196215,-0.023586225925617876,
2025-01-22,ENTER,INTC,0.0,1.0,emerging_rs,0.11151331897869232,0.0,2.0
2025-01-23,EXIT,INTC,1.0,0.0,weaken_flat,0.07641018501048391,-0.013266281218218157,
2025-01-23,ENTER,MDB,0.0,1.0,emerging_rs,0.0324164413315835,0.0,1.0
2025-01-24,EXIT,MDB,1.0,0.0,weaken_flat,0.06503952140063785,0.0,
2025-01-24,ENTER,VRTX,0.0,1.0,emerging_rs,0.07182984488323663,0.0,1.0
2025-01-27,EXIT,VRTX,1.0,0.0,gate_off,0.11718043214690366,0.0,
2025-01-28,ENTER,ZS,0.0,1.0,emerging_rs,0.10557957165793197,0.0,5.0
2025-02-03,EXIT,ZS,1.0,0.0,gate_off,0.08551371773840377,-0.02286492497190229,
2025-02-05,ENTER,IDXX,0.0,1.0,emerging_rs,0.08737997790633067,0.0,4.0
2025-02-14,EXIT,IDXX,1.0,0.0,weaken_flat,-0.011742574405811501,-0.051264517424948086,
2025-02-18,ENTER,WBD,0.0,1.0,emerging_rs,0.0817552993474524,0.0,2.0
2025-02-24,EXIT,WBD,1.0,0.0,gate_off,0.10037906232882299,0.0,
2025-05-01,ENTER,DDOG,0.0,1.0,emerging_rs,0.033711039617376315,0.0,1.0
2025-06-11,EXIT,DDOG,1.0,0.0,weaken_flat,-0.021370303752781927,-0.02889658073730328,
2025-06-11,ENTER,AMGN,0.0,1.0,emerging_rs,0.05589222097679336,0.0,1.0
2025-06-23,EXIT,AMGN,1.0,0.0,weaken_flat,-0.03351412788353714,-0.08358838238822353,
2025-06-24,ENTER,TTWO,0.0,1.0,emerging_rs,0.019108001248408613,0.0,1.0
2025-06-26,EXIT,TTWO,1.0,0.0,weaken_flat,-0.005635958974982591,-0.01530549752723498,
2025-06-26,ENTER,INTC,0.0,1.0,emerging_rs,0.05075364767970636,0.0,1.0
2025-07-23,EXIT,INTC,1.0,0.0,weaken_flat,-0.002833028921216396,-0.013853901256672074,
2025-07-23,ENTER,XEL,0.0,1.0,emerging_rs,0.018064167022472155,0.0,1.0
2025-08-15,EXIT,XEL,1.0,0.0,weaken_flat,-0.006626607401551077,-0.031115323099557335,
2025-08-15,ENTER,BIIB,0.0,1.0,emerging_rs,0.08023895034830586,0.0,1.0
2025-08-29,EXIT,BIIB,1.0,0.0,weaken_flat,-0.027779765788745525,-0.05089366493534375,
2025-08-29,ENTER,PANW,0.0,1.0,emerging_rs,0.07221006014044518,0.0,3.0
2025-10-15,EXIT,PANW,1.0,0.0,weaken_flat,-0.004270058773378604,-0.050920596353206005,
2025-10-15,ENTER,ROST,0.0,1.0,emerging_rs,0.04854001633791083,0.0,1.0
2025-10-24,EXIT,ROST,1.0,0.0,weaken_flat,-0.0009379467307029099,-0.004445807697165405,
2025-10-24,ENTER,GEHC,0.0,1.0,emerging_rs,0.043422148018853246,0.0,1.0
2025-10-29,EXIT,GEHC,1.0,0.0,weaken_flat,-0.028678875383773672,-0.025440877670489637,
2025-10-29,ENTER,QCOM,0.0,1.0,emerging_rs,0.01924946801850802,0.0,1.0
2025-11-17,EXIT,QCOM,1.0,0.0,gate_off,0.011149484240721264,-0.0782199464117661,
2025-11-25,ENTER,ADI,0.0,1.0,emerging_rs,0.09090169413205706,0.0,3.0
2025-12-15,EXIT,ADI,1.0,0.0,gate_off,0.19537799282002588,-0.010409828927066878,
2025-12-19,ENTER,HON,0.0,1.0,emerging_rs,0.0047280785221779364,0.0,1.0
2025-12-22,EXIT,HON,1.0,0.0,weaken_flat,-0.019476163423770343,-0.015820414055823462,
2025-12-24,ENTER,TTWO,0.0,1.0,emerging_rs,0.014336521584543238,0.0,1.0
2025-12-31,EXIT,TTWO,1.0,0.0,gate_off,0.04836347206436642,-0.007289383335729482,
2026-01-05,ENTER,AMD,0.0,1.0,emerging_rs,0.0302813670177684,0.0,1.0
2026-01-06,EXIT,AMD,1.0,0.0,weaken_flat,-0.014598379061394606,-0.03044144957390582,
2026-01-06,ENTER,PDD,0.0,1.0,emerging_rs,0.04485925075707331,0.0,1.0
2026-01-07,EXIT,PDD,1.0,0.0,weaken_flat,0.027610080117304037,-0.013777942205689842,
2026-01-07,ENTER,AMZN,0.0,1.0,emerging_rs,0.06378541729197429,0.0,2.0
2026-01-20,EXIT,AMZN,1.0,0.0,gate_off,0.019135787191071563,-0.06621394033269568,
2026-01-22,ENTER,CMCSA,0.0,1.0,emerging_rs,0.07589844337423624,0.0,6.0
2026-02-03,EXIT,CMCSA,1.0,0.0,gate_off,0.07272612763699193,0.0,
2026-04-08,ENTER,AMZN,0.0,1.0,emerging_rs,0.033793459650544366,0.0,1.0
2026-05-08,EXIT,AMZN,1.0,0.0,weaken_flat,-0.020021242795409178,-0.008400296885806346,
2026-05-08,ENTER,TSLA,0.0,1.0,emerging_rs,0.06363063799325697,0.0,1.0
2026-05-15,EXIT,TSLA,1.0,0.0,weaken_flat,-0.03862833417316103,-0.051721425983168534,
2026-05-15,ENTER,NVDA,0.0,1.0,emerging_rs,0.024620837833699838,0.0,1.0
2026-05-22,EXIT,NVDA,1.0,0.0,weaken_flat,-0.046929487261354375,-0.04433697628822686,
2026-05-22,ENTER,DXCM,0.0,1.0,emerging_rs,0.09019700362972816,0.0,3.0
2026-06-18,EXIT,DXCM,1.0,0.0,weaken_flat,-0.024101531664274534,-0.07315514825555303,
2026-06-18,ENTER,ABNB,0.0,1.0,emerging_rs,0.012089427611126968,0.0,2.0
2026-07-07,EXIT,ABNB,1.0,0.0,gate_off,0.10696913068575808,-0.0008728236783468457,
2026-07-09,ENTER,META,0.0,1.0,emerging_rs,0.058260901023954315,0.0,2.0
2026-07-13,EXIT,META,1.0,0.0,gate_off,0.16282247483746815,-0.018648916026568707,
2026-07-15,ENTER,CTAS,0.0,1.0,emerging_rs,0.13512825545729346,0.0,14.0
2026-07-16,EXIT,CTAS,1.0,0.0,gate_off,0.1988769394552875,0.0,
2026-08-04,ENTER,ORLY,0.0,1.0,emerging_rs,0.039454576058156166,0.0,3.0
