window,start,end,strategy,total_return,max_drawdown,sharpe,end_equity,n_trades,n_enters,bh_return,bh_max_drawdown,vs_bh_pp,beat_bh,dd_better_than_bh
full_2025_to_now,2025-01-02,2026-08-07,G1_weaken_flat,0.3009490165596367,-0.13702988257305748,0.8002740399630796,65047.45082798183,69,35,0.42759131850866283,-0.22639584817492053,-12.664230194902615,False,True
full_2025_to_now,2025-01-02,2026-08-07,G1_base,1.1819379811596868,-0.2684761847362017,1.5709261702925084,109096.89905798435,70,28,0.42759131850866283,-0.22639584817492053,75.43466626510241,True,False
y2025,2025-01-02,2025-12-31,G1_weaken_flat,0.020901585295189484,-0.13385608315059694,0.2054156727716261,51045.07926475947,45,23,0.21434348079421928,-0.22639584817492053,-19.34418954990298,False,True
y2025,2025-01-02,2025-12-31,G1_base,0.29181393953811585,-0.24921179866498588,1.1526911466157215,64590.6969769058,48,18,0.21434348079421928,-0.22639584817492053,7.7470458743896575,True,False
y2026_ytd,2026-01-02,2026-08-07,G1_weaken_flat,0.27475531041174084,-0.11784222566791525,1.6608538406436109,63737.76552058705,23,12,0.1773596877978143,-0.11668940990977383,9.739562261392653,True,False
y2026_ytd,2026-01-02,2026-08-07,G1_base,0.6892526460874133,-0.1728348756389786,2.0963507585653294,84462.63230437067,21,10,0.1773596877978143,-0.11668940990977383,51.1892958289599,True,False
h1_2025,2025-01-02,2025-06-30,G1_weaken_flat,-0.07323547749028203,-0.1288647965780334,-0.7027664381283206,46338.2261254859,27,14,0.08653061472374168,-0.22639584817492053,-15.976609221402372,False,True
h1_2025,2025-01-02,2025-06-30,G1_base,0.13263628455532972,-0.07529634802421803,1.637820677235635,56631.81422776648,15,6,0.08653061472374168,-0.22639584817492053,4.610566983158804,True,True
h2_2025,2025-07-01,2025-12-31,G1_weaken_flat,0.0788676884814914,-0.1270955310463241,0.7136420248224606,53943.384424074575,19,9,0.1267657264847033,-0.07801947147137822,-4.789803800321191,False,False
h2_2025,2025-07-01,2025-12-31,G1_base,0.1488401791452194,-0.24922197186476103,1.0323062235852274,57442.008957260965,34,12,0.1267657264847033,-0.07801947147137822,2.207445266051611,True,False
