date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-06,BUY,CSCO,0.0,1.0,56.9894,50000.0,26.32,49897.37
2025-01-07,SELL,CSCO,1.0,0.0,57.0475,49897.37,26.25,49871.12
2025-01-08,BUY,ARM,0.0,1.0,142.34,49871.12,19.48,50148.92
2025-01-13,SELL,ARM,1.0,0.0,137.0,48518.84,19.12,48499.72
2025-01-16,BUY,PCAR,0.0,1.0,106.0515,48499.72,20.45,48412.96
2025-01-17,SELL,PCAR,1.0,0.0,108.0088,48412.96,20.31,48392.66
2025-01-21,BUY,PDD,0.0,1.0,108.07,48392.66,20.29,47763.27
2025-01-23,SELL,PDD,1.0,0.0,102.22,47273.88,20.15,46583.1
2025-01-23,BUY,INTC,0.0,1.0,21.69,47253.73,42.28,46583.1
2025-01-24,SELL,INTC,1.0,0.0,21.36,46583.1,42.11,46747.71
2025-01-24,BUY,MDB,0.0,1.0,263.0,46540.99,16.48,46747.71
2025-01-27,SELL,MDB,1.0,0.0,255.0,46747.71,16.56,47172.54
2025-01-27,BUY,VRTX,0.0,1.0,436.72,46731.14,16.33,47172.54
2025-01-28,SELL,VRTX,1.0,0.0,443.88,47172.54,16.46,47156.08
2025-01-29,BUY,ZS,0.0,1.0,203.87,47156.08,17.13,46434.47
2025-02-04,SELL,ZS,1.0,0.0,199.06,46074.25,16.81,46057.44
2025-02-06,BUY,IDXX,0.0,1.0,468.67,46057.44,16.1,45256.42
2025-02-18,SELL,IDXX,1.0,0.0,444.72,43701.88,15.4,43686.49
2025-02-19,BUY,WBD,0.0,1.0,10.65,43686.49,66.02,44726.68
2025-02-25,SELL,WBD,1.0,0.0,11.16,45556.59,66.33,45490.26
2025-05-02,BUY,DDOG,0.0,1.0,107.12,45490.26,19.13,44913.37
2025-06-12,SELL,DDOG,1.0,0.0,120.11,50741.96,20.67,51651.36
2025-06-12,BUY,AMGN,0.0,1.0,285.6247,50721.29,17.74,51651.36
2025-06-24,SELL,AMGN,1.0,0.0,265.1599,47344.7,16.73,47327.97
2025-06-25,BUY,TTWO,0.0,1.0,243.47,47327.97,16.77,47037.35
2025-06-27,SELL,TTWO,1.0,0.0,239.55,46587.26,16.55,46923.59
2025-06-27,BUY,INTC,0.0,1.0,22.71,46570.71,40.42,46923.59
2025-07-24,SELL,INTC,1.0,0.0,23.49,48563.36,41.24,48685.92
2025-07-24,BUY,XEL,0.0,1.0,70.3508,48522.12,23.45,48685.92
2025-08-18,SELL,XEL,1.0,0.0,69.8755,48110.81,23.32,47149.89
2025-08-18,BUY,BIIB,0.0,1.0,140.0,48087.5,18.86,47149.89
2025-09-02,SELL,BIIB,1.0,0.0,133.55,45871.57,18.19,45850.12
2025-09-02,BUY,PANW,0.0,1.0,187.26,45853.38,16.91,45850.12
2025-10-16,SELL,PANW,1.0,0.0,208.0,49724.02,18.0,49124.93
2025-10-16,BUY,ROST,0.0,1.0,156.3032,49706.01,19.01,49124.93
2025-10-27,SELL,ROST,1.0,0.0,158.4595,49614.97,18.92,49707.29
2025-10-27,BUY,GEHC,0.0,1.0,78.5062,49596.05,23.03,49707.29
2025-10-30,SELL,GEHC,1.0,0.0,77.268,49108.3,22.93,48679.84
2025-10-30,BUY,QCOM,0.0,1.0,175.9875,49085.37,18.32,48679.84
2025-11-18,SELL,QCOM,1.0,0.0,162.4053,45752.27,17.36,45734.91
2025-11-26,BUY,ADI,0.0,1.0,252.8354,45734.91,16.25,46782.83
2025-12-16,SELL,ADI,1.0,0.0,279.3179,51038.74,17.85,51020.89
2025-12-22,BUY,HON,0.0,1.0,205.7914,51020.89,18.5,50193.02
2025-12-23,SELL,HON,1.0,0.0,203.2174,50193.02,18.24,50174.78
2025-12-26,BUY,TTWO,0.0,1.0,250.74,50174.78,17.64,51055.88
2026-01-02,SELL,TTWO,1.0,0.0,257.71,51045.08,17.9,51027.18
2026-01-06,BUY,AMD,0.0,1.0,222.71,51027.18,18.26,49470.25
2026-01-07,SELL,AMD,1.0,0.0,212.13,49470.25,17.85,48749.07
2026-01-07,BUY,PDD,0.0,1.0,121.57,49452.4,20.08,48749.07
2026-01-08,SELL,PDD,1.0,0.0,119.6,48749.07,19.88,49661.79
2026-01-08,BUY,AMZN,0.0,1.0,243.06,48729.19,17.21,49661.79
2026-01-21,SELL,AMZN,1.0,0.0,231.09,46566.84,16.57,46550.27
2026-01-23,BUY,CMCSA,0.0,1.0,28.2618,46550.27,35.21,46630.85
2026-02-04,SELL,CMCSA,1.0,0.0,29.2663,47433.65,35.14,47398.51
2026-04-09,BUY,AMZN,0.0,1.0,225.23,47398.51,16.93,50005.22
2026-05-11,SELL,AMZN,1.0,0.0,269.84,58453.24,20.33,60729.16
2026-05-11,BUY,TSLA,0.0,1.0,422.16,58432.91,19.94,60729.16
2026-05-18,SELL,TSLA,1.0,0.0,419.27,57573.02,19.67,56804.99
2026-05-18,BUY,NVDA,0.0,1.0,229.6024,57553.35,20.5,56804.99
2026-05-26,SELL,NVDA,1.0,0.0,216.2879,55026.44,19.79,54911.66
2026-05-26,BUY,DXCM,0.0,1.0,72.02,55006.65,26.35,54911.66
2026-06-22,SELL,DXCM,1.0,0.0,71.89,55297.5,26.51,53993.07
2026-06-22,BUY,ABNB,0.0,1.0,140.98,55270.98,21.64,53993.07
2026-07-08,SELL,ABNB,1.0,0.0,147.15,57711.23,22.37,57688.86
2026-07-10,BUY,META,0.0,1.0,660.34,57688.86,19.56,61079.56
2026-07-14,SELL,META,1.0,0.0,652.0,59935.46,20.25,59915.22
2026-07-16,BUY,CTAS,0.0,1.0,198.74,59915.22,21.86,64139.87
2026-07-17,SELL,CTAS,1.0,0.0,207.17,64139.87,23.24,64116.64
2026-08-05,BUY,ORLY,0.0,1.0,92.72,64116.64,28.16,65207.28
