symbol,excess_20,excess_10,excess_60,just_turned,already_strong,entry_ok
TEAM,0.6300031622236599,0.6070727036955244,0.676940329779006,False,True,False
CTSH,0.3532075507521,0.2079602510171341,0.18933030027002484,False,True,False
MSFT,0.3104327052952105,0.26212028621589134,0.21384045524342166,False,True,False
WDAY,0.29509658419700147,0.2695369516836861,0.4891293952102822,False,True,False
PYPL,0.29072197727339444,0.00601049101496387,0.29312377302215276,False,True,False
INTU,0.21482241878869468,0.06777417689573184,-0.15955655931863766,False,False,False
BKNG,0.20880474756481582,0.15517911849724686,0.31887340160618893,False,True,False
ZS,0.20762409169688634,0.12196273587672524,0.12415604088139087,False,True,False
ADSK,0.20729507992720153,0.13992882024907605,0.04546599589928668,False,False,False
ADBE,0.20641529967657601,0.1386558613064819,0.09400419054178877,False,False,False
ABNB,0.18788617152082576,0.1909117425558271,0.27566672103612255,True,True,False
CHTR,0.17523466771262797,0.18562310991280317,0.012660752271205,False,False,False
REGN,0.1750664763763694,0.1302974672564472,0.05477988638027842,False,False,False
MDB,0.15814603743839295,0.2675640746723307,0.25578906345273955,False,True,False
DASH,0.15078673175622126,0.21598042788031813,0.3940456670656607,False,True,False
ROST,0.14688447546669559,0.010547336414250985,0.14968463731272763,False,True,False
CRWD,0.13507185309197323,0.09915668541209377,0.5267198713740844,False,True,False
AMZN,0.13486811455797265,0.13924600861963188,0.021171262075616593,False,False,False
PAYX,0.13481247792170303,0.015179279674753632,0.2911718449273051,False,True,False
ADP,0.12990064156068049,0.033283047090031825,0.26043014675993437,False,True,False
AMGN,0.12510458205438169,0.027556832291118605,0.1975768952081154,False,True,False
DXCM,0.11837900084771857,0.11159708044310501,0.3428779512232989,False,True,False
FAST,0.11818428280492732,0.04573083123542343,0.1727382911916029,False,True,False
PANW,0.11699526035845476,0.064339474233859,0.6582798856456784,False,True,False
GEHC,0.10502111822420512,0.11912817510746287,0.12073536361133597,False,True,False
CSGP,0.09653981260514621,0.0653769788030294,-0.08390223763880322,True,False,True
BKR,0.08950258126937283,0.03544046382644295,-0.0647407469925616,False,False,False
PDD,0.084482866505452,0.05676265896560606,-0.06163491014758238,False,False,False
CPRT,0.08429935996932314,0.008175698432351552,-0.13324735486654726,True,False,True
ORLY,0.08159190964369367,0.007892517492464224,-0.010259944202900995,False,False,False
