,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,50000.0
2025-01-07,50000.0
2025-01-08,50382.37231959419
2025-01-10,49219.65514267692
2025-01-13,48692.93128603477
2025-01-14,49171.653819167266
2025-01-15,49171.653819167266
2025-01-16,49008.287922705815
2025-01-17,49478.21669063023
2025-01-21,49696.037673626444
2025-01-22,53019.825283055296
2025-01-23,50348.8492830553
2025-01-24,49231.12328305529
2025-01-27,45148.66928305529
2025-01-28,45344.7439542553
2025-01-29,45344.7439542553
2025-01-30,45344.7439542553
2025-01-31,45344.7439542553
2025-02-03,45344.7439542553
2025-02-04,45344.7439542553
2025-02-05,45344.7439542553
2025-02-06,45344.7439542553
2025-02-07,45344.7439542553
2025-02-10,45344.7439542553
2025-02-11,45344.7439542553
2025-02-12,45344.7439542553
2025-02-13,47049.44882641422
2025-02-14,46048.43857601749
2025-02-18,50692.13760892917
2025-02-19,49007.637734356416
2025-02-20,49327.47735807468
2025-02-21,47584.536898174774
2025-02-24,46574.67769254734
2025-02-25,44631.53496597771
2025-02-26,44631.53496597771
2025-02-27,44631.53496597771
2025-02-28,44631.53496597771
2025-03-03,44631.53496597771
2025-03-04,44631.53496597771
2025-03-05,44631.53496597771
2025-03-06,44631.53496597771
2025-03-07,44631.53496597771
2025-03-10,44631.53496597771
2025-03-11,44631.53496597771
2025-03-12,44631.53496597771
2025-03-13,44631.53496597771
2025-03-14,44631.53496597771
2025-03-17,44631.53496597771
2025-03-18,44631.53496597771
2025-03-19,44631.53496597771
2025-03-20,44631.53496597771
2025-03-21,44631.53496597771
2025-03-24,44631.53496597771
2025-03-25,44631.53496597771
2025-03-26,44631.53496597771
2025-03-27,44631.53496597771
2025-03-28,44631.53496597771
2025-03-31,44631.53496597771
2025-04-01,44631.53496597771
2025-04-02,44631.53496597771
2025-04-03,44631.53496597771
2025-04-04,44631.53496597771
2025-04-07,44631.53496597771
2025-04-08,44631.53496597771
2025-04-09,44631.53496597771
2025-04-10,44631.53496597771
2025-04-11,44631.53496597771
2025-04-14,44631.53496597771
2025-04-15,44631.53496597771
2025-04-16,44631.53496597771
2025-04-17,44631.53496597771
2025-04-21,44631.53496597771
2025-04-22,44631.53496597771
2025-04-23,44631.53496597771
2025-04-24,44631.53496597771
2025-04-25,44631.53496597771
2025-04-28,44631.53496597771
2025-04-29,44631.53496597771
2025-04-30,44631.53496597771
2025-05-01,44631.53496597771
2025-05-02,44631.53496597771
2025-05-05,44843.621526778166
2025-05-06,44763.41458294309
2025-05-07,45234.37829942183
2025-05-08,45494.10442704634
2025-05-09,46196.928904774606
2025-05-12,49779.127635243356
2025-05-13,49914.81350255293
2025-05-14,49848.44922185224
2025-05-15,49617.676898243844
2025-05-16,49970.04011082929
2025-05-19,49325.64458012861
2025-05-20,49507.24807303534
2025-05-21,48895.32243795072
2025-05-22,48659.35141337456
2025-05-23,48629.12804329934
2025-05-27,50297.02545829509
2025-05-28,49443.874737572885
2025-05-29,49385.916043477264
2025-05-30,48343.57048569224
2025-06-02,48896.88751756308
2025-06-03,48957.42708173528
2025-06-04,49068.973912913214
2025-06-05,49068.973912913214
2025-06-06,48970.76492091321
2025-06-09,50066.92492091321
2025-06-10,51552.745165313216
2025-06-11,50998.169165313215
2025-06-12,51680.385165313215
2025-06-13,50495.35716531321
2025-06-16,52631.36116531321
2025-06-17,52182.93316531321
2025-06-18,51211.72116531321
2025-06-20,50875.40516531322
2025-06-23,51231.21316531321
2025-06-24,52697.80516531321
2025-06-25,52593.165165313214
2025-06-26,52823.58916531321
2025-06-27,52087.16116531321
2025-06-30,51999.769165313206
2025-07-01,52680.237165313214
2025-07-02,54491.44916531321
2025-07-03,54914.881165313214
2025-07-07,53766.772949313214
2025-07-08,54253.531997313214
2025-07-09,54368.57999731321
2025-07-10,54296.227793084996
2025-07-11,53634.7789375977
2025-07-14,53755.41274297231
2025-07-15,54512.2106120487
