date,action,symbol,shares,reason,excess_20,peak_dd,n_candidates
2025-01-07,ENTER,DIOD,,emerging_rs,0.04454009025440886,0.0,1.0
2025-01-08,TRIM,DIOD,195.0,weaken_to_half,-0.001700449692101147,0.0,
2025-01-08,ENTER,ASML,,emerging_rs,0.02344096972381582,0.0,2.0
2025-01-10,EXIT,DIOD,196.0,weaken_flat,-0.025645824798626426,-0.03559866821268998,
2025-01-10,ENTER,QRVO,,emerging_rs,0.010043097571041937,0.0,1.0
2025-01-13,EXIT,ASML,33.0,gate_off,0.018271279187526468,-0.015696292188503658,
2025-01-13,EXIT,QRVO,348.0,gate_off,0.04137105012888276,0.0,
2025-01-15,ENTER,SWKS,,emerging_rs,0.0029326931529913836,0.0,1.0
2025-01-16,ENTER,AMAT,,emerging_rs,0.10014102465898422,0.0,1.0
2025-01-17,TRIM,SWKS,144.0,weaken_to_half,-0.0057857707969484196,0.0,
2025-01-21,EXIT,SWKS,145.0,weaken_flat,-0.02933117579166411,0.0,
2025-01-21,ENTER,ARM,,emerging_rs,0.047386754032175515,0.0,1.0
2025-01-27,EXIT,AMAT,126.0,peak_dd_stop,0.09872465192025037,-0.10710771366127014,
2025-01-27,EXIT,ARM,155.0,peak_dd_stop,0.1694212031251937,-0.1887956427499583,
2025-02-12,ENTER,INTC,,emerging_rs,0.15832306477738856,0.0,2.0
2025-02-12,ENTER,UCTT,,emerging_rs,5.811719126191939e-05,0.0,2.0
2025-02-14,TRIM,UCTT,273.0,weaken_to_half,-0.029292143039446272,-0.020413585176159765,
2025-02-24,EXIT,INTC,1094.0,peak_dd_stop,0.2343933904688924,-0.1139101861993429,
2025-02-24,EXIT,UCTT,274.0,gate_off,0.044896379014215726,-0.07892720388645047,
2025-05-02,ENTER,SWKS,,emerging_rs,0.04389228935040501,0.0,1.0
2025-05-05,ENTER,FORM,,emerging_rs,0.029757440312063954,0.0,2.0
2025-05-06,TRIM,FORM,333.0,weaken_to_half,0.03959836128396743,0.0,
2025-05-08,EXIT,FORM,334.0,weaken_flat,-0.045689848997990445,0.0,
