date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-10,SELL,DIOD,1.0,0.5,63.33,24918.02,12.55,48929.57
2025-01-13,SELL,DIOD,0.5,0.0,61.52,24464.78,12.47,49043.67
2025-01-13,BUY,QRVO,0.0,1.0,71.69,48917.1,23.48,49043.67
2025-01-14,SELL,QRVO,1.0,0.0,72.4,49043.67,23.45,49020.21
2025-01-16,BUY,SWKS,0.0,1.0,86.486,49020.21,22.02,48551.28
2025-01-21,SELL,SWKS,1.0,0.5,88.5729,24856.24,11.08,49786.76
2025-01-22,SELL,SWKS,0.5,0.0,88.1875,24893.38,11.11,57482.93
2025-01-22,BUY,ARM,0.0,1.0,160.37,49775.65,18.94,57482.93
2025-01-28,SELL,ARM,1.0,0.0,148.0,46484.15,18.0,46466.16
2025-02-13,BUY,INTC,0.0,1.0,22.84,46466.16,40.18,49791.58
2025-02-25,SELL,INTC,1.0,0.0,24.21,49848.79,41.52,49807.28
2025-05-05,BUY,SWKS,0.0,1.0,62.2603,49807.28,25.26,49838.29
2025-05-20,SELL,SWKS,1.0,0.5,69.043,27480.91,13.38,55084.84
2025-05-21,SELL,SWKS,0.5,0.0,68.948,27542.42,13.42,55071.42
2025-05-22,BUY,HIMX,0.0,1.0,7.8084,55071.42,107.5,54898.75
2025-06-03,SELL,HIMX,1.0,0.5,7.8368,27751.94,54.01,55750.53
2025-06-04,SELL,HIMX,0.5,0.0,8.0161,27875.27,53.22,55697.31
2025-06-06,BUY,ON,0.0,1.0,50.34,55697.31,30.98,56377.27
2025-07-07,SELL,ON,1.0,0.5,55.39,31801.49,16.95,62458.64
2025-07-08,SELL,ON,0.5,0.0,55.83,31229.32,16.58,62442.06
2025-07-10,BUY,SMCI,0.0,1.0,50.8,62442.06,34.59,62840.1
2025-08-07,SELL,SMCI,1.0,0.0,47.15,58183.63,33.37,58100.09
2025-08-07,BUY,TSEM,0.0,1.0,49.36,58150.26,32.64,58100.09
2025-08-13,SELL,TSEM,1.0,0.5,46.87,27437.8,15.78,55358.95
2025-08-14,SELL,TSEM,0.5,0.0,46.59,27679.47,15.97,55783.0
2025-08-14,BUY,MU,0.0,1.0,123.003,55342.98,22.41,55783.0
2025-08-21,SELL,MU,1.0,0.5,116.813,26071.88,10.7,51816.94
2025-08-22,SELL,MU,0.5,0.0,117.462,25908.47,10.62,56640.26
2025-08-22,BUY,TSEM,0.0,1.0,50.85,51806.33,28.68,56640.26
2025-09-03,SELL,TSEM,1.0,0.0,61.5,62970.22,32.1,62938.12
2025-09-08,BUY,LRCX,0.0,1.0,104.427,62938.12,26.66,64205.98
2025-10-13,SELL,LRCX,1.0,0.0,137.607,80523.34,31.71,80491.63
2025-10-21,BUY,ARM,0.0,1.0,170.53,80491.63,30.24,79463.7
2025-11-05,SELL,ARM,1.0,0.0,158.74,75340.32,28.72,73965.88
2025-11-05,BUY,NVDA,0.0,1.0,198.512,75311.6,27.49,73965.88
2025-11-06,SELL,NVDA,1.0,0.5,196.165,36982.94,13.65,72611.37
2025-11-07,SELL,NVDA,0.5,0.0,184.66,36305.68,13.47,71493.36
2025-11-07,BUY,AMAT,0.0,1.0,231.243,72597.89,25.83,71493.36
2025-11-12,SELL,AMAT,1.0,0.5,230.213,35527.12,13.11,71362.0
2025-11-13,SELL,AMAT,0.5,0.0,226.389,35681.0,13.17,71348.83
2025-11-20,BUY,AVGO,0.0,1.0,363.95,71348.83,23.98,69917.6
2025-11-21,SELL,AVGO,1.0,0.0,343.222,69917.6,23.6,69894.0
2025-12-02,BUY,ON,0.0,1.0,50.58,69894.0,38.79,71305.96
2025-12-18,SELL,ON,1.0,0.0,54.97,73832.07,39.48,73792.6
2025-12-31,BUY,NVDA,0.0,1.0,189.343,73792.6,27.17,73369.2
2026-01-06,SELL,NVDA,1.0,0.5,190.291,37017.51,13.68,73856.32
2026-01-07,SELL,NVDA,0.5,0.0,188.344,36928.16,13.66,64475.96
2026-01-07,BUY,AMBA,0.0,1.0,79.81,73842.66,34.09,64475.96
2026-01-08,SELL,AMBA,1.0,0.0,70.03,64475.96,31.22,64444.74
2026-01-09,BUY,POWI,0.0,1.0,40.6478,64444.74,39.79,65506.99
2026-02-20,SELL,POWI,1.0,0.5,44.8188,36064.12,21.2,71984.32
2026-02-23,SELL,POWI,0.5,0.0,45.0572,35992.16,21.1,71963.22
2026-02-27,BUY,AMBA,0.0,1.0,61.05,71963.22,36.79,61097.33
2026-03-02,SELL,AMBA,1.0,0.0,57.9,61097.33,31.94,60051.05
2026-03-02,BUY,SMCI,0.0,1.0,30.9,61065.39,43.81,60051.05
2026-03-04,SELL,SMCI,1.0,0.0,30.96,57869.38,41.47,57827.91
2026-03-05,BUY,VECO,0.0,1.0,32.2,57827.91,40.52,56837.84
2026-03-09,SELL,VECO,1.0,0.0,29.64,54064.51,39.75,54024.76
2026-03-11,BUY,MRVL,0.0,1.0,93.534,54024.76,23.66,52351.61
2026-03-13,SELL,MRVL,1.0,0.0,87.699,50739.94,22.69,50717.25
2026-04-10,BUY,ADI,0.0,1.0,352.047,50717.25,17.64,50525.59
2026-04-14,SELL,ADI,1.0,0.5,351.478,25253.79,9.78,50397.99
2026-04-15,SELL,ADI,0.5,0.0,346.063,25199.0,9.77,50388.22
2026-04-16,BUY,AVGO,0.0,1.0,394.368,50388.22,17.49,50594.82
2026-05-06,SELL,AVGO,1.0,0.5,434.863,27108.78,10.31,54097.56
2026-05-07,SELL,AVGO,0.5,0.0,421.145,27048.78,10.3,54087.26
2026-05-11,BUY,SMCI,0.0,1.0,35.07,54087.26,36.12,51203.78
2026-05-12,SELL,SMCI,1.0,0.5,33.04,25601.89,17.68,50625.97
2026-05-13,SELL,SMCI,0.5,0.0,32.9,25312.98,17.52,50608.45
2026-05-21,BUY,SWKS,0.0,1.0,73.3625,50608.45,24.08,50031.8
2026-06-01,SELL,SWKS,1.0,0.5,77.8,26741.61,12.46,52659.78
2026-06-02,SELL,SWKS,0.5,0.0,77.19,26329.89,12.3,52647.48
2026-06-08,BUY,KLAC,0.0,1.0,203.0,52647.48,19.14,57401.88
2026-06-25,SELL,KLAC,1.0,0.0,255.15,65268.22,22.88,65245.34
