datetime,equity
2025-01-02,50000.0
2025-01-03,51278.1042583733
2025-01-06,52754.47932083925
2025-01-07,52051.8408756094
2025-01-08,51531.993036778185
2025-01-10,50293.5538262654
2025-01-13,50156.38068548486
2025-01-14,50486.85058053224
2025-01-15,51464.133461553785
2025-01-16,51555.41585749343
2025-01-17,52979.438468075634
2025-01-21,53603.06288993253
2025-01-22,54375.59028888002
2025-01-23,54286.67235919863
2025-01-24,53196.25850594852
2025-01-27,48944.79353660994
2025-01-28,49163.69027878913
2025-01-29,49368.93172574384
2025-01-30,50368.15201799186
2025-01-31,50230.12617552147
2025-02-03,49336.40280110973
2025-02-04,49844.51219109584
2025-02-05,50812.515922526036
2025-02-06,50747.73822687458
2025-02-07,49959.70246918783
2025-02-10,50609.5629611978
2025-02-11,50659.483595565514
2025-02-12,50728.394877427905
2025-02-13,51351.146588612835
2025-02-14,51404.15866281334
2025-02-18,52251.03072141891
2025-02-19,53118.399432713355
2025-02-20,53244.18966300647
2025-02-21,51615.813553805616
2025-02-24,50409.990455854066
2025-02-25,49369.33252329007
2025-02-26,50226.10629854481
2025-02-27,47319.75495977956
2025-02-28,48073.217825610875
2025-03-03,46407.86478296964
2025-03-04,46666.85197695932
2025-03-05,47667.42850887697
2025-03-06,45673.24635920581
2025-03-07,47008.73884413262
2025-03-10,44808.47074655201
2025-03-11,44278.66337173709
2025-03-12,45194.66952498423
2025-03-13,44968.776268925416
2025-03-14,46345.98916551484
2025-03-17,47114.89446910963
2025-03-18,46488.27357418401
2025-03-19,46866.637236432936
2025-03-20,46495.728920777314
2025-03-21,46014.78543746825
2025-03-24,47372.84060598532
2025-03-25,47116.462661717145
2025-03-26,45791.3522756459
2025-03-27,44885.21825425258
2025-03-28,43521.70542359906
2025-03-31,43421.31211917721
2025-04-01,43445.11838628589
2025-04-02,43738.99693559929
2025-04-03,39208.061343843896
2025-04-04,36221.40768591532
2025-04-07,37136.03665043585
2025-04-08,35771.82016467368
2025-04-09,42364.72253128253
2025-04-10,38830.37264984729
2025-04-11,39682.826757047
2025-04-14,39973.922632812486
2025-04-15,40137.85737732551
2025-04-16,38600.11201501354
2025-04-17,38409.67160200097
2025-04-21,37740.98282524444
2025-04-22,38470.87053235187
2025-04-23,39936.38373363685
2025-04-24,42202.570523079536
2025-04-25,42621.410164722496
2025-04-28,42545.98668459122
2025-04-29,42092.41547220955
2025-04-30,42433.27906010222
2025-05-01,42382.03578062051
2025-05-02,43857.58704728208
2025-05-05,43521.47964724552
2025-05-06,43112.275198150164
2025-05-07,43867.90150961616
2025-05-08,44262.60407601733
2025-05-09,44772.224315906606
2025-05-12,47972.68491717623
2025-05-13,49327.346600986406
2025-05-14,49565.687545305685
2025-05-15,49248.87387968777
2025-05-16,49184.32737979008
2025-05-19,48908.696869176776
2025-05-20,48840.10803717191
2025-05-21,47942.5104421207
2025-05-22,47498.987003612405
2025-05-23,46775.25151324491
2025-05-27,48317.90728875885
2025-05-28,48076.46797996911
2025-05-29,48293.15863097751
2025-05-30,47330.58025225402
2025-06-02,48046.32815507807
2025-06-03,49336.65671505597
2025-06-04,50068.42165877812
2025-06-05,49862.818217240536
2025-06-06,50199.19120005903
2025-06-09,51375.206751807906
2025-06-10,52493.36534977429
2025-06-11,52321.589077254524
2025-06-12,52396.39162245472
2025-06-13,51026.22457412728
2025-06-16,52625.30971345793
2025-06-17,52208.00049925157
2025-06-18,52421.228924258496
2025-06-20,52094.02796841138
2025-06-23,52418.14721213138
2025-06-24,54387.55723126792
2025-06-25,54874.84273201798
2025-06-26,55305.068825616385
2025-06-27,55256.5917517209
2025-06-30,55221.43684078355
2025-07-01,54973.382321926634
2025-07-02,56021.699927028036
2025-07-03,56299.14696652057
2025-07-07,55239.21197674205
2025-07-08,56289.130232519274
2025-07-09,56469.49030359683
2025-07-10,57031.314439948714
2025-07-11,56945.100427698766
2025-07-14,56403.19257945918
2025-07-15,56976.96572990045
2025-07-16,56824.40925179602
2025-07-17,57041.949799021895
2025-07-18,57089.84114814007
2025-07-21,57140.98783368767
2025-07-22,56349.8218702212
2025-07-23,56007.97028536509
2025-07-24,55892.269363030144
2025-07-25,55889.66999527837
2025-07-28,56859.92098666481
2025-07-29,56963.30682444771
2025-07-30,57371.364864894684
2025-07-31,55525.04412008839
2025-08-01,54887.33102580315
2025-08-04,55616.00312498326
2025-08-05,55233.598479717104
2025-08-06,54817.92409022241
2025-08-07,55728.43450666073
2025-08-08,56197.85599771102
2025-08-11,56092.60510013936
2025-08-12,57875.650155517316
2025-08-13,58733.1306450645
2025-08-14,58805.570200965696
2025-08-15,57451.95342749607
2025-08-18,57621.95222640469
2025-08-19,56719.69476863549
2025-08-20,56393.03123484959
2025-08-21,56073.61571185387
2025-08-22,57626.381641674954
2025-08-25,57492.12178337499
2025-08-26,58032.22046381864
2025-08-27,58146.887596451954
2025-08-28,58426.610578284584
2025-08-29,56741.83109148578
2025-09-02,56192.71295940426
2025-09-03,55927.17818066948
2025-09-04,56509.80853867857
2025-09-05,57179.0976952118
2025-09-08,57595.14596992847
2025-09-09,57643.75928364382
2025-09-10,58658.27619749445
2025-09-11,59060.51110926777
2025-09-12,59164.75606061431
2025-09-15,59665.70520945509
2025-09-16,59971.79956314214
2025-09-17,59960.55133975188
2025-09-18,62042.846661831565
2025-09-19,61645.99076168409
2025-09-22,62564.359423250986
2025-09-23,62491.214563931666
2025-09-24,62396.384330379195
2025-09-25,62211.470671134055
2025-09-26,62348.23256401006
2025-09-29,62378.31125817637
2025-09-30,62886.43964395992
2025-10-01,64107.63863470174
2025-10-02,65347.97159715515
2025-10-03,64949.72569210202
2025-10-06,66921.62457445504
2025-10-07,65443.68552376545
2025-10-08,67678.5197091691
2025-10-09,67364.80883474946
2025-10-10,63149.3160279521
2025-10-13,66121.22390325225
2025-10-14,64768.51321817471
2025-10-15,66758.93316075731
2025-10-16,67075.69570135606
2025-10-17,66889.852001307
2025-10-20,67999.42511479418
2025-10-21,67618.33444580085
2025-10-22,65936.8715929165
2025-10-23,67556.63524626399
2025-10-24,68672.67418763525
2025-10-27,70569.27858996745
2025-10-28,70655.61407674212
2025-10-29,71851.90544913038
2025-10-30,70876.32308134217
2025-10-31,71146.19845052154
2025-11-03,71576.73610332602
