date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-07-09,BUY,SNPS,0.0,1.0,552.38,50000.0,17.26,49932.19
2025-08-20,SELL,SNPS,1.0,0.5,611.09,27795.72,10.47,55050.93
2025-08-21,SELL,SNPS,0.5,0.0,597.19,27525.47,10.39,55040.55
2025-08-22,BUY,TSEM,0.0,1.0,50.85,55040.55,30.48,60176.26
2025-09-03,SELL,TSEM,1.0,0.0,61.5,66901.4,34.1,66867.29
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,66867.29,22.28,66727.65
2025-09-12,SELL,MPWR,1.0,0.5,839.0886,32446.76,11.84,64643.06
2025-09-15,SELL,MPWR,0.5,0.0,832.177,32321.53,11.8,65982.83
2025-09-15,BUY,ARM,0.0,1.0,151.25,64631.26,24.9,65982.83
2025-09-22,SELL,ARM,1.0,0.5,142.15,30634.9,11.97,61596.98
2025-09-23,SELL,ARM,0.5,0.0,145.41,30798.49,11.97,61585.0
2025-09-26,BUY,CRUS,0.0,1.0,125.91,61585.0,24.79,61824.61
2025-09-30,SELL,CRUS,1.0,0.5,124.0,30407.09,12.29,61108.36
2025-10-01,SELL,CRUS,0.5,0.0,124.52,30554.18,12.33,61096.02
2025-10-02,BUY,SMCI,0.0,1.0,52.45,61096.02,33.36,61190.81
2025-10-20,SELL,SMCI,1.0,0.0,55.04,60848.49,32.52,60815.98
2025-10-27,BUY,COHU,0.0,1.0,23.12,60815.98,52.18,62506.79
2025-11-13,SELL,COHU,1.0,0.5,22.72,30686.41,26.63,60514.8
2025-11-18,SELL,COHU,0.5,0.0,21.19,29577.41,26.88,59127.93
2025-12-01,BUY,ON,0.0,1.0,49.49,59127.93,33.15,59335.03
2025-12-18,SELL,ON,1.0,0.0,54.97,62713.18,33.53,62679.65
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,62679.65,23.07,62320.09
2026-01-06,SELL,NVDA,1.0,0.5,190.2879,31442.84,11.92,62733.62
2026-01-07,SELL,NVDA,0.5,0.0,188.3403,31366.81,11.9,66041.09
2026-01-07,BUY,UCTT,0.0,1.0,31.52,62721.72,44.49,66041.09
2026-02-27,SELL,UCTT,1.0,0.0,56.7,117339.88,61.9,99569.92
2026-02-27,BUY,AMBA,0.0,1.0,61.05,117277.98,59.96,99569.92
2026-03-02,SELL,AMBA,1.0,0.0,57.9,99569.92,52.05,97864.79
2026-03-02,BUY,SMCI,0.0,1.0,30.9,99517.86,71.4,97864.79
2026-03-04,SELL,SMCI,1.0,0.0,30.96,94309.34,67.59,94241.76
2026-03-05,BUY,VECO,0.0,1.0,32.2,94241.76,66.03,92628.24
2026-03-06,SELL,VECO,1.0,0.0,30.65,92628.24,66.77,92561.47
2026-03-12,BUY,HIMX,0.0,1.0,11.5664,92561.47,131.0,106017.89
2026-03-13,SELL,HIMX,1.0,0.0,10.2693,106017.89,164.98,105852.9
2026-04-07,BUY,ON,0.0,1.0,63.25,105852.9,53.34,106302.89
2026-05-20,SELL,ON,1.0,0.0,108.04,175861.93,73.76,175788.17
2026-05-27,BUY,SWKS,0.0,1.0,84.08,175788.17,79.71,165813.84
2026-06-01,SELL,SWKS,1.0,0.5,77.8,82093.11,38.24,161658.36
2026-06-02,SELL,SWKS,0.5,0.0,77.19,80829.18,37.76,161620.6
2026-06-10,BUY,AMAT,0.0,1.0,502.79,161620.6,52.63,160869.27
2026-07-06,SELL,AMAT,1.0,0.0,627.76,193484.89,62.02,197198.7
2026-07-06,BUY,AMBA,0.0,1.0,83.14,193422.87,88.04,197198.7
2026-07-08,SELL,AMBA,1.0,0.5,71.59,88565.37,42.53,180700.65
2026-07-14,SELL,AMBA,0.5,0.0,74.64,88686.57,41.93,177331.2
2026-07-15,BUY,AVGO,0.0,1.0,396.09,177331.2,58.97,179642.13
2026-07-16,SELL,AVGO,1.0,0.0,384.54,179642.13,59.92,179582.22
