datetime,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,50000.0
2025-01-07,50000.0
2025-01-08,49836.03745092641
2025-01-10,48047.75222759701
2025-01-13,48023.262869433216
2025-01-14,48023.262869433216
2025-01-15,48023.262869433216
2025-01-16,50178.03289383822
2025-01-17,50159.58360141051
2025-01-21,50962.881701827595
2025-01-22,51864.1122046532
2025-01-23,53118.285213744704
2025-01-24,52436.67888567883
2025-01-27,52153.32356543495
2025-01-28,52133.59572795161
2025-01-29,52133.59572795161
2025-01-30,52133.59572795161
2025-01-31,52133.59572795161
2025-02-03,52133.59572795161
2025-02-04,52133.59572795161
2025-02-05,52133.59572795161
2025-02-06,52133.59572795161
2025-02-07,52133.59572795161
2025-02-10,52133.59572795161
2025-02-11,52133.59572795161
2025-02-12,52133.59572795161
2025-02-13,52133.59572795161
2025-02-14,52133.59572795161
2025-02-18,52133.59572795161
2025-02-19,52133.59572795161
2025-02-20,52133.59572795161
2025-02-21,52133.59572795161
2025-02-24,52133.59572795161
2025-02-25,52133.59572795161
2025-02-26,52133.59572795161
2025-02-27,52133.59572795161
2025-02-28,52133.59572795161
2025-03-03,52133.59572795161
2025-03-04,52133.59572795161
2025-03-05,52133.59572795161
2025-03-06,52133.59572795161
2025-03-07,52133.59572795161
2025-03-10,52133.59572795161
2025-03-11,52133.59572795161
2025-03-12,52133.59572795161
2025-03-13,52133.59572795161
2025-03-14,52133.59572795161
2025-03-17,52133.59572795161
2025-03-18,52133.59572795161
2025-03-19,52133.59572795161
2025-03-20,52133.59572795161
2025-03-21,52133.59572795161
2025-03-24,52133.59572795161
2025-03-25,52133.59572795161
2025-03-26,52133.59572795161
2025-03-27,52133.59572795161
2025-03-28,52133.59572795161
2025-03-31,52133.59572795161
2025-04-01,52133.59572795161
2025-04-02,52133.59572795161
2025-04-03,52133.59572795161
2025-04-04,52133.59572795161
2025-04-07,52133.59572795161
2025-04-08,52133.59572795161
2025-04-09,52133.59572795161
2025-04-10,52133.59572795161
2025-04-11,52133.59572795161
2025-04-14,52133.59572795161
2025-04-15,52133.59572795161
2025-04-16,52133.59572795161
2025-04-17,52133.59572795161
2025-04-21,52133.59572795161
2025-04-22,52133.59572795161
2025-04-23,52133.59572795161
2025-04-24,52133.59572795161
2025-04-25,52133.59572795161
2025-04-28,52133.59572795161
2025-04-29,52133.59572795161
2025-04-30,52133.59572795161
2025-05-01,52133.59572795161
2025-05-02,52133.59572795161
2025-05-05,47660.27193587353
2025-05-06,47629.81570658447
2025-05-07,47629.81570658447
2025-05-08,49056.04447249222
2025-05-09,49464.26210931631
2025-05-12,53191.04139393604
2025-05-13,55858.20059974208
2025-05-14,54926.70832009774
2025-05-15,55013.176872338234
2025-05-16,56477.20862163573
2025-05-19,56892.34442773261
2025-05-20,56575.9257365441
2025-05-21,55265.17130353763
2025-05-22,54681.26774796773
2025-05-23,53857.22503397648
2025-05-27,53833.74985518139
2025-05-28,53833.74985518139
2025-05-29,53833.74985518139
2025-05-30,53191.15353595677
2025-06-02,53590.55978328344
2025-06-03,54723.87357703983
2025-06-04,55489.69421428993
2025-06-05,55430.77084967355
2025-06-06,55998.48872754014
2025-06-09,57963.68443141205
2025-06-10,58857.27451757857
2025-06-11,58470.478381285364
2025-06-12,58467.58729701083
2025-06-13,57782.372717407154
2025-06-16,58404.28797392439
2025-06-17,58393.08013479403
2025-06-18,58393.08013479403
2025-06-20,57320.07906626192
2025-06-23,55179.058623361045
2025-06-24,55152.642903699685
2025-06-25,55152.642903699685
2025-06-26,55152.642903699685
2025-06-27,54269.048493426446
2025-06-30,54547.641678343105
2025-07-01,52511.13532897064
2025-07-02,53102.329752385114
2025-07-03,54160.0900884234
2025-07-07,51422.216635577744
2025-07-08,52145.067348455006
2025-07-09,52087.480648249555
2025-07-10,52470.19641429601
2025-07-11,52459.96579544884
2025-07-14,52459.96579544884
