date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.03
2025-01-17,SELL,AMAT,1.0,0.0,190.6122,50178.03,18.45,50159.58
2025-01-21,BUY,QCOM,0.0,1.0,160.736,50159.58,19.07,50962.88
2025-01-28,SELL,QCOM,1.0,0.0,164.8222,52153.32,19.73,52133.6
2025-05-05,BUY,ON,0.0,1.0,40.52,52133.6,32.24,47660.27
2025-05-06,SELL,ON,1.0,0.0,38.05,47660.27,30.46,47629.82
2025-05-08,BUY,MU,0.0,1.0,84.0359,47629.82,21.6,49056.04
2025-07-11,SELL,MU,1.0,0.5,121.9343,35526.96,14.42,71454.75
2025-07-14,SELL,MU,0.5,0.0,120.1871,35727.37,14.55,71440.2
2025-07-15,BUY,TSEM,0.0,1.0,45.65,71440.2,41.62,72524.99
2025-08-01,SELL,TSEM,1.0,0.0,44.26,73059.62,43.21,73016.41
2025-08-13,BUY,CRUS,0.0,1.0,108.66,73016.41,30.57,74342.66
2025-09-03,SELL,CRUS,1.0,0.0,113.75,76126.23,31.47,76094.76
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,76094.76,25.08,75936.12
2025-09-12,SELL,MPWR,1.0,0.5,839.0886,36924.44,13.2,73564.13
2025-09-15,SELL,MPWR,0.5,0.0,832.177,36782.06,13.16,75089.08
2025-09-15,BUY,ARM,0.0,1.0,151.25,73550.97,28.34,75089.08
2025-09-22,SELL,ARM,1.0,0.5,142.15,34862.8,13.62,70097.93
2025-09-23,SELL,ARM,0.5,0.0,145.41,35048.97,13.62,70084.31
2025-09-26,BUY,CRUS,0.0,1.0,125.91,70084.31,28.21,70356.98
2025-09-30,SELL,CRUS,1.0,0.5,124.0,34603.55,13.98,69541.88
2025-10-01,SELL,CRUS,0.5,0.0,124.52,34770.94,14.03,69527.84
2025-10-02,BUY,SMCI,0.0,1.0,52.45,69527.84,37.96,69635.71
2025-10-20,SELL,SMCI,1.0,0.0,55.04,69246.15,37.0,69209.14
2025-10-27,BUY,COHU,0.0,1.0,23.12,69209.14,59.38,71133.31
2025-11-13,SELL,COHU,1.0,0.5,22.72,34921.42,30.3,68866.4
2025-11-18,SELL,COHU,0.5,0.0,21.19,33659.36,30.59,67288.14
2025-12-05,BUY,SNPS,0.0,1.0,464.98,67288.14,22.61,67702.89
2025-12-18,SELL,SNPS,1.0,0.0,460.32,65738.47,22.14,65716.33
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,65716.33,24.19,65339.36
2026-01-02,SELL,NVDA,1.0,0.0,189.6087,65339.36,24.05,65315.31
2026-01-05,BUY,SMTC,0.0,1.0,76.09,65315.31,30.67,64503.14
2026-01-06,SELL,SMTC,1.0,0.5,74.45,32251.57,15.26,65830.54
2026-01-07,SELL,SMTC,0.5,0.0,76.76,32915.27,15.41,69298.22
2026-01-07,BUY,UCTT,0.0,1.0,31.52,65815.13,46.68,69298.22
2026-02-27,SELL,UCTT,1.0,0.0,56.7,123127.05,64.95,123062.1
2026-04-07,BUY,ON,0.0,1.0,63.25,123062.1,62.02,123585.24
2026-05-20,SELL,ON,1.0,0.0,108.04,204452.94,85.75,204367.19
2026-05-27,BUY,SWKS,0.0,1.0,84.08,204367.19,92.67,192771.27
2026-06-01,SELL,SWKS,1.0,0.5,77.8,95439.52,44.46,187940.21
2026-06-02,SELL,SWKS,0.5,0.0,77.19,93970.1,43.9,187896.31
2026-06-10,BUY,AMAT,0.0,1.0,502.79,187896.31,61.19,187022.83
2026-07-02,SELL,AMAT,1.0,0.0,656.69,242607.08,77.55,242529.54
2026-07-08,BUY,TXN,0.0,1.0,286.5329,242529.54,83.68,249277.96
2026-07-09,SELL,TXN,1.0,0.0,308.2716,249277.96,85.21,249192.74
