date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.03
2025-01-17,SELL,AMAT,1.0,0.0,190.6122,50178.03,18.45,50159.58
2025-01-23,BUY,INTC,0.0,1.0,21.69,50159.58,44.88,49447.71
2025-01-24,SELL,INTC,1.0,0.5,21.36,24723.86,22.35,48571.58
2025-01-27,SELL,INTC,0.5,0.0,20.81,24285.79,22.34,48549.24
2025-05-05,BUY,ON,0.0,1.0,40.52,48549.24,30.02,44383.47
2025-05-06,SELL,ON,1.0,0.0,38.05,44383.47,28.36,44355.11
2025-05-09,BUY,SLAB,0.0,1.0,112.78,44355.11,18.38,46697.97
2025-06-12,SELL,SLAB,1.0,0.5,134.7,27187.98,10.76,55320.06
2025-06-16,SELL,SLAB,0.5,0.0,140.35,27338.71,10.78,54666.65
2025-06-20,BUY,MRVL,0.0,1.0,76.8333,54666.65,25.58,53662.13
2025-07-08,SELL,MRVL,1.0,0.0,72.1172,52124.28,24.96,52099.32
2025-07-15,BUY,TSEM,0.0,1.0,45.65,52099.32,30.35,52890.43
2025-08-01,SELL,TSEM,1.0,0.0,44.26,53280.32,31.51,53248.81
2025-08-13,BUY,CRUS,0.0,1.0,108.66,53248.81,22.3,54216.0
2025-09-03,SELL,CRUS,1.0,0.0,113.75,55516.72,22.95,55493.77
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,55493.77,18.83,55377.53
2025-09-12,SELL,MPWR,1.0,0.5,839.0886,26927.69,10.16,53647.19
2025-09-15,SELL,MPWR,0.5,0.0,832.177,26823.59,10.13,53637.05
2025-09-18,BUY,FORM,0.0,1.0,34.36,53637.05,36.23,60591.31
2025-10-09,SELL,FORM,1.0,0.0,38.19,64260.99,40.98,64220.0
2025-10-16,BUY,ARM,0.0,1.0,173.58,64220.0,24.04,64406.63
2025-11-05,SELL,ARM,1.0,0.0,158.74,60387.76,23.02,60364.74
2025-11-10,BUY,QCOM,0.0,1.0,171.1417,60364.74,22.66,60594.96
2025-11-18,SELL,QCOM,1.0,0.0,162.4053,58889.79,22.34,58867.44
2025-12-05,BUY,SNPS,0.0,1.0,464.98,58867.44,20.03,59230.04
2025-12-18,SELL,SNPS,1.0,0.0,460.32,57511.46,19.62,57491.85
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,57491.85,21.16,57162.05
2026-01-02,SELL,NVDA,1.0,0.0,189.6087,57162.05,21.04,57141.01
2026-01-07,BUY,UCTT,0.0,1.0,31.52,57141.01,40.53,60165.04
2026-02-27,SELL,UCTT,1.0,0.0,56.7,106899.49,56.39,106843.1
2026-04-07,BUY,ON,0.0,1.0,63.25,106843.1,53.84,107297.29
2026-05-20,SELL,ON,1.0,0.0,108.04,177507.02,74.45,177432.57
2026-05-27,BUY,SWKS,0.0,1.0,84.08,177432.57,80.45,167364.93
2026-06-01,SELL,SWKS,1.0,0.5,77.8,82861.04,38.6,163170.58
2026-06-02,SELL,SWKS,0.5,0.0,77.19,81585.29,38.11,163132.47
2026-06-10,BUY,AMAT,0.0,1.0,502.79,163132.47,53.13,162374.11
2026-07-02,SELL,AMAT,1.0,0.0,656.69,210632.62,67.33,210565.3
2026-07-08,BUY,TXN,0.0,1.0,286.5329,210565.3,72.65,216424.31
2026-07-09,SELL,TXN,1.0,0.0,308.2716,216424.31,73.98,216350.32
