date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.03
2025-01-17,SELL,AMAT,1.0,0.0,190.6122,50178.03,18.45,50159.58
2025-01-21,BUY,QCOM,0.0,1.0,160.736,50159.58,19.07,50962.88
2025-01-28,SELL,QCOM,1.0,0.0,164.8222,52153.32,19.73,52133.6
2025-05-05,BUY,ON,0.0,1.0,40.52,52133.6,32.24,47660.27
2025-05-06,SELL,ON,1.0,0.0,38.05,47660.27,30.46,47629.82
2025-05-08,BUY,MU,0.0,1.0,84.0359,47629.82,21.6,49056.04
2025-05-27,SELL,MU,1.0,0.0,94.9381,53857.23,23.48,53833.75
2025-05-30,BUY,TXN,0.0,1.0,179.0166,53833.75,20.03,53191.15
2025-06-11,SELL,TXN,1.0,0.5,196.7556,29428.64,11.27,58470.48
2025-06-17,SELL,TXN,0.5,0.0,191.6168,29202.14,11.21,58393.08
2025-06-20,BUY,MRVL,0.0,1.0,76.8333,58393.08,27.32,57320.08
2025-06-24,SELL,MRVL,1.0,0.0,72.177,55179.06,26.42,55152.64
2025-06-27,BUY,SMTC,0.0,1.0,45.87,55152.64,32.06,54269.05
2025-07-08,SELL,SMTC,1.0,0.0,43.22,51422.22,30.77,52145.07
2025-07-08,BUY,TXN,0.0,1.0,208.0688,51391.44,18.6,52145.07
2025-07-10,SELL,TXN,1.0,0.5,212.2108,26043.74,10.17,52470.2
2025-07-11,SELL,TXN,0.5,0.0,212.6656,26235.1,10.23,52459.97
2025-07-15,BUY,TSEM,0.0,1.0,45.65,52459.97,30.56,53256.55
2025-07-25,SELL,TSEM,1.0,0.0,47.0,55248.34,31.74,56479.88
2025-07-25,BUY,CDNS,0.0,1.0,325.0,55216.6,19.06,56479.88
2025-08-01,SELL,CDNS,1.0,0.0,358.0,61871.7,21.07,61850.63
2025-08-13,BUY,CRUS,0.0,1.0,108.66,61850.63,25.9,62974.06
2025-09-03,SELL,CRUS,1.0,0.0,113.75,64484.89,26.66,64458.24
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,64458.24,21.55,64323.55
2025-09-12,SELL,MPWR,1.0,0.5,839.0886,31277.75,11.49,62313.99
2025-09-15,SELL,MPWR,0.5,0.0,832.177,31157.0,11.45,63605.42
2025-09-15,BUY,ARM,0.0,1.0,151.25,62302.54,24.0,63605.42
2025-09-22,SELL,ARM,1.0,0.0,142.15,59062.19,23.08,59039.11
2025-09-26,BUY,CRUS,0.0,1.0,125.91,59039.11,23.76,59268.82
2025-09-30,SELL,CRUS,1.0,0.5,124.0,29150.08,11.78,58582.17
2025-10-01,SELL,CRUS,0.5,0.0,124.52,29291.08,11.82,58570.35
2025-10-02,BUY,SMCI,0.0,1.0,52.45,58570.35,31.98,58661.22
2025-10-13,SELL,SMCI,1.0,0.0,54.81,59102.72,31.64,59071.08
2025-10-16,BUY,ARM,0.0,1.0,173.58,59071.08,22.11,59242.74
2025-10-31,SELL,ARM,1.0,0.0,168.5,57196.27,21.54,56122.93
2025-10-31,BUY,AVGO,0.0,1.0,376.1619,57174.73,19.6,56122.93
2025-11-03,SELL,AVGO,1.0,0.5,369.9269,28061.46,10.64,55579.47
2025-11-05,SELL,AVGO,0.5,0.0,348.9345,27380.27,10.44,56259.95
2025-11-05,BUY,KLAC,0.0,1.0,119.8445,54750.09,22.32,56259.95
2025-11-14,SELL,KLAC,1.0,0.0,113.0724,53248.81,22.05,53226.76
2025-12-05,BUY,SNPS,0.0,1.0,464.98,53226.76,18.3,53554.42
2025-12-15,SELL,SNPS,1.0,0.0,458.0,51972.53,17.92,51106.96
2025-12-15,BUY,UCTT,0.0,1.0,26.27,51954.61,41.1,51106.96
2025-12-16,SELL,UCTT,1.0,0.5,25.44,25553.48,20.62,50555.75
2025-12-17,SELL,UCTT,0.5,0.0,25.19,25277.88,20.53,47771.63
2025-12-17,BUY,ACLS,0.0,1.0,86.05,50535.22,22.74,47771.63
2025-12-18,SELL,ACLS,1.0,0.0,83.78,47771.63,21.69,47749.94
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,47749.94,17.58,47476.03
2026-01-02,SELL,NVDA,1.0,0.0,189.6087,47476.03,17.47,47458.56
2026-01-05,BUY,SMTC,0.0,1.0,76.09,47458.56,22.28,46868.43
2026-01-06,SELL,SMTC,1.0,0.5,74.45,23434.21,11.09,47832.93
2026-01-07,SELL,SMTC,0.5,0.0,76.76,23916.47,11.19,50352.57
2026-01-07,BUY,UCTT,0.0,1.0,31.52,47821.74,33.92,50352.57
2026-01-23,SELL,UCTT,1.0,0.0,44.12,66509.38,39.4,61352.69
2026-01-23,BUY,RMBS,0.0,1.0,123.23,66469.98,26.9,61352.69
2026-01-26,SELL,RMBS,1.0,0.0,115.0,61352.69,25.29,59315.26
2026-01-26,BUY,AMD,0.0,1.0,256.75,61327.41,21.48,59315.26
2026-01-29,SELL,AMD,1.0,0.5,254.66,29827.8,11.29,59580.43
2026-01-30,SELL,AMD,0.5,0.0,236.93,29790.21,11.3,59569.12
2026-02-05,BUY,SMTC,0.0,1.0,79.45,59569.12,27.54,60584.86
2026-02-27,SELL,SMTC,1.0,0.0,88.62,66038.07,29.42,66008.65
2026-04-07,BUY,ON,0.0,1.0,63.25,66008.65,33.27,66289.26
2026-04-29,SELL,ON,1.0,0.0,99.56,96438.45,41.43,100691.62
2026-04-29,BUY,HIMX,0.0,1.0,10.967,96397.02,142.31,100691.62
2026-05-05,SELL,HIMX,1.0,0.0,11.5861,101818.06,143.91,101674.15
2026-05-06,BUY,AMBA,0.0,1.0,76.1,101674.15,47.74,103176.48
2026-05-20,SELL,AMBA,1.0,0.0,77.86,105080.45,48.93,105031.52
2026-05-27,BUY,SWKS,0.0,1.0,84.08,105031.52,47.62,99071.96
2026-05-28,SELL,SWKS,1.0,0.0,78.65,99071.96,45.97,98586.38
2026-05-28,BUY,LSCC,0.0,1.0,148.0,99025.99,38.34,98586.38
2026-06-01,SELL,LSCC,1.0,0.5,146.25,49222.66,19.11,97640.37
2026-06-02,SELL,LSCC,0.5,0.0,147.63,48820.19,18.91,97621.46
2026-06-10,BUY,AMAT,0.0,1.0,502.79,97621.46,31.86,97167.58
2026-06-24,SELL,AMAT,1.0,0.0,585.24,114359.85,36.88,115254.23
2026-06-24,BUY,DIOD,0.0,1.0,112.09,114322.97,47.45,115254.23
2026-06-25,SELL,DIOD,1.0,0.5,117.3,57627.12,23.63,116257.44
2026-06-26,SELL,DIOD,0.5,0.0,109.07,58128.72,24.31,116233.13
2026-07-08,BUY,TXN,0.0,1.0,286.5329,116233.13,40.1,119467.33
2026-07-09,SELL,TXN,1.0,0.0,308.2716,119467.33,40.84,119426.49
