date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,0.8,63.88,40000.0,20.08,49868.82
2025-01-13,SELL,DIOD,0.8,0.0,61.52,38749.8,19.75,48417.5
2025-01-16,BUY,AMAT,0.0,0.8,183.5013,38734.0,14.34,50155.6
2025-01-17,SELL,AMAT,0.8,0.0,190.6122,40124.48,14.75,50140.84
2025-01-23,BUY,INTC,0.0,0.8,21.69,40112.67,35.89,49571.46
2025-01-24,SELL,INTC,0.8,0.4,21.36,19828.59,17.92,48868.74
2025-01-27,SELL,INTC,0.4,0.0,20.81,19547.5,17.98,48850.76
2025-05-05,BUY,ON,0.0,0.8,40.52,39080.61,24.17,45497.03
2025-05-06,SELL,ON,0.8,0.0,38.05,36397.63,23.26,45473.78
2025-05-09,BUY,SLAB,0.0,0.8,112.78,36379.02,15.07,47395.5
2025-05-23,SELL,SLAB,0.8,0.0,119.0,39375.48,16.08,49203.26
2025-05-30,BUY,TXN,0.0,0.8,179.0166,39362.61,14.65,48733.37
2025-06-11,SELL,TXN,0.8,0.4,196.7556,21141.3,8.65,52574.8
2025-06-17,SELL,TXN,0.4,0.0,191.6168,21011.3,8.62,52519.63
2025-06-23,BUY,ARM,0.0,0.8,143.0,42015.7,16.39,53771.74
2025-07-08,SELL,ARM,0.8,0.0,148.93,42454.96,16.41,53052.29
2025-07-15,BUY,TSEM,0.0,0.8,45.65,42441.83,24.73,53696.83
2025-08-01,SELL,TSEM,0.8,0.0,44.26,43239.38,25.57,54023.65
2025-08-13,BUY,CRUS,0.0,0.8,108.66,43218.92,18.1,54808.73
2025-09-03,SELL,CRUS,0.8,0.0,113.75,44694.26,18.48,55849.35
2025-09-08,BUY,MPWR,0.0,0.8,863.2694,44679.48,15.55,55755.38
2025-09-12,SELL,MPWR,0.8,0.4,839.0886,21811.02,8.61,54358.54
2025-09-15,SELL,MPWR,0.4,0.0,832.177,21743.42,8.59,54349.95
2025-09-18,BUY,FORM,0.0,0.8,34.36,43479.96,29.37,59988.06
2025-10-08,SELL,FORM,0.8,0.0,39.01,51070.49,32.21,63805.91
2025-10-16,BUY,ARM,0.0,0.8,173.58,51044.72,19.11,63954.26
2025-10-31,SELL,ARM,0.8,0.0,168.5,49775.16,18.74,62200.21
2025-11-05,BUY,KLAC,0.0,0.8,119.8445,49760.17,20.28,63572.57
2025-11-17,SELL,KLAC,0.8,0.0,113.697,47758.46,19.75,59678.32
2025-12-05,BUY,SNPS,0.0,0.8,464.98,47742.66,16.62,59972.04
2025-12-18,SELL,SNPS,0.8,0.0,460.32,46876.1,16.36,58578.77
2025-12-31,BUY,NVDA,0.0,0.8,189.3391,46863.02,17.25,58309.93
2026-01-02,SELL,NVDA,0.8,0.0,189.6087,46647.94,17.17,58292.76
2026-01-07,BUY,UCTT,0.0,0.8,31.52,46634.21,33.08,60761.1
2026-01-26,SELL,UCTT,0.8,0.0,43.4,60146.16,35.92,75146.78
2026-01-29,BUY,MPWR,0.0,0.8,1161.8309,60117.42,20.18,76228.95
2026-02-11,SELL,MPWR,0.8,0.0,1160.9042,59401.8,19.96,74232.28
2026-02-19,BUY,SWKS,0.0,0.8,60.5498,59385.83,30.47,71532.5
2026-02-20,SELL,SWKS,0.8,0.4,57.7579,28613.0,14.97,71920.79
2026-02-23,SELL,SWKS,0.4,0.0,58.6983,28768.32,14.95,71905.84
2026-04-07,BUY,ON,0.0,0.8,63.25,57524.67,28.99,72150.41
2026-05-19,SELL,ON,0.8,0.0,105.53,88930.52,37.55,111125.6
2026-05-27,BUY,SWKS,0.0,0.8,84.08,88900.48,40.31,106080.87
2026-06-01,SELL,SWKS,0.8,0.4,77.8,42109.28,19.61,103976.49
2026-06-02,SELL,SWKS,0.4,0.0,77.19,41590.59,19.43,103957.06
2026-06-10,BUY,AMAT,0.0,0.8,502.79,83165.65,27.44,103570.07
2026-06-24,SELL,AMAT,0.8,0.0,585.24,94584.63,30.85,118199.94
2026-07-08,BUY,TXN,0.0,0.8,286.5329,94559.95,32.63,120831.27
2026-07-09,SELL,TXN,0.8,0.0,308.2716,96665.02,33.04,120798.23
