date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.03
2025-01-17,SELL,AMAT,1.0,0.0,190.6122,50178.03,18.45,50159.58
2025-01-21,BUY,QCOM,0.0,1.0,160.736,50159.58,19.07,50962.88
2025-01-28,SELL,QCOM,1.0,0.0,164.8222,52153.32,19.73,52133.6
2025-05-05,BUY,ON,0.0,1.0,40.52,52133.6,32.24,47660.27
2025-05-06,SELL,ON,1.0,0.0,38.05,47660.27,30.46,47629.82
2025-05-08,BUY,MU,0.0,1.0,84.0359,47629.82,21.6,49056.04
2025-07-11,SELL,MU,1.0,0.0,121.9343,71053.91,28.83,71025.08
2025-07-15,BUY,TSEM,0.0,1.0,45.65,71025.08,41.38,72103.57
2025-08-01,SELL,TSEM,1.0,0.0,44.26,72635.09,42.96,72592.13
2025-08-13,BUY,CRUS,0.0,1.0,108.66,72592.13,30.4,73910.67
2025-09-03,SELL,CRUS,1.0,0.0,113.75,75683.89,31.29,75652.6
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,75652.6,24.95,75494.87
2025-09-12,SELL,MPWR,1.0,0.0,839.0886,73419.75,24.28,73492.0
2025-09-12,BUY,TSM,0.0,1.0,257.9967,73395.47,25.69,73492.0
2025-10-13,SELL,TSM,1.0,0.0,295.9083,79978.85,27.48,79951.37
2025-10-16,BUY,ARM,0.0,1.0,173.58,79951.37,29.93,80183.72
2025-10-31,SELL,ARM,1.0,0.0,168.5,77413.86,29.15,75961.77
2025-10-31,BUY,AVGO,0.0,1.0,376.1619,77384.71,25.87,75961.77
2025-11-03,SELL,AVGO,1.0,0.0,369.9269,75961.77,25.44,75936.33
2025-11-05,BUY,KLAC,0.0,1.0,119.8445,75936.33,30.95,78030.44
2025-11-17,SELL,KLAC,1.0,0.0,113.697,72110.41,29.81,72080.59
2025-12-05,BUY,SNPS,0.0,1.0,464.98,72080.59,24.08,72525.03
2025-12-18,SELL,SNPS,1.0,0.0,460.32,70420.69,23.58,70397.11
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,70397.11,25.92,69993.29
2026-01-02,SELL,NVDA,1.0,0.0,189.6087,69993.29,25.76,69967.53
2026-01-05,BUY,SMTC,0.0,1.0,76.09,69967.53,32.85,69097.51
2026-01-06,SELL,SMTC,1.0,0.0,74.45,69097.51,32.7,72158.98
2026-01-06,BUY,AMBA,0.0,1.0,79.19,69064.81,31.97,72158.98
2026-01-08,SELL,AMBA,1.0,0.0,70.03,63034.94,30.52,63004.42
2026-01-09,BUY,POWI,0.0,1.0,40.6478,63004.42,38.9,64042.92
2026-01-20,SELL,POWI,1.0,0.0,41.909,66869.06,40.64,65462.46
2026-01-20,BUY,ENTG,0.0,1.0,114.7878,66828.42,27.56,65462.46
2026-02-04,SELL,ENTG,1.0,0.0,111.8578,64805.42,26.92,64778.51
2026-02-05,BUY,SMTC,0.0,1.0,79.45,64778.51,29.95,65883.07
2026-02-27,SELL,SMTC,1.0,0.0,88.62,71813.17,32.0,71781.17
2026-04-07,BUY,ON,0.0,1.0,63.25,71781.17,36.17,72086.32
2026-05-19,SELL,ON,1.0,0.0,105.53,123070.53,51.97,123018.56
2026-05-27,BUY,SWKS,0.0,1.0,84.08,123018.56,55.78,116038.41
2026-06-01,SELL,SWKS,1.0,0.0,77.8,114899.38,53.52,116404.5
2026-06-01,BUY,RMBS,0.0,1.0,144.83,114845.86,44.68,116404.5
2026-06-08,SELL,RMBS,1.0,0.0,154.24,114093.6,43.77,114049.83
2026-06-10,BUY,AMAT,0.0,1.0,502.79,114049.83,37.14,113519.65
2026-06-24,SELL,AMAT,1.0,0.0,585.24,133605.16,43.03,134650.12
2026-06-24,BUY,DIOD,0.0,1.0,112.09,133562.14,55.44,134650.12
2026-06-25,SELL,DIOD,1.0,0.0,117.3,134650.12,55.2,134594.92
2026-07-08,BUY,TXN,0.0,1.0,286.5329,134594.92,46.44,138340.04
2026-07-09,SELL,TXN,1.0,0.0,308.2716,138340.04,47.29,138292.75
