date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,0.7,63.88,35000.0,17.57,49885.21
2025-01-13,SELL,DIOD,0.7,0.0,61.52,34042.52,17.35,48614.83
2025-01-16,BUY,AMAT,0.0,0.7,183.5013,34030.38,12.76,50141.76
2025-01-17,SELL,AMAT,0.7,0.0,190.6122,35099.23,13.07,50128.68
2025-01-21,BUY,QCOM,0.0,0.7,160.736,35090.08,13.34,50690.71
2025-01-28,SELL,QCOM,0.7,0.0,164.8222,36065.75,13.64,51508.85
2025-05-05,BUY,ON,0.0,0.7,40.52,36056.2,22.3,48414.48
2025-05-06,SELL,ON,0.7,0.0,38.05,33890.14,21.66,48392.82
2025-05-08,BUY,MU,0.0,0.7,84.0359,33874.98,15.36,49407.32
2025-07-11,SELL,MU,0.7,0.35,121.9343,22469.02,9.28,64450.55
2025-07-14,SELL,MU,0.35,0.0,120.1871,22557.69,9.32,64441.23
2025-07-15,BUY,TSEM,0.0,0.7,45.65,45108.86,26.28,65126.31
2025-08-01,SELL,TSEM,0.7,0.0,44.26,45863.54,27.13,65492.22
2025-08-13,BUY,CRUS,0.0,0.7,108.66,45844.55,19.2,66325.03
2025-09-03,SELL,CRUS,0.7,0.0,113.75,47215.16,19.52,67430.71
2025-09-08,BUY,MPWR,0.0,0.7,863.2694,47201.49,16.31,67331.54
2025-09-12,SELL,MPWR,0.7,0.35,839.0886,23111.61,9.01,65854.21
2025-09-15,SELL,MPWR,0.35,0.0,832.177,23048.97,8.99,66809.2
2025-09-15,BUY,ARM,0.0,0.7,151.25,46091.65,17.76,66809.2
2025-09-22,SELL,ARM,0.7,0.35,142.15,22207.55,9.12,63686.89
2025-09-23,SELL,ARM,0.35,0.0,145.41,22290.41,9.14,63677.75
2025-09-26,BUY,CRUS,0.0,0.7,125.91,44574.43,17.94,63851.2
2025-09-30,SELL,CRUS,0.7,0.35,124.0,22092.25,9.15,63334.23
2025-10-01,SELL,CRUS,0.35,0.0,124.52,22166.98,9.17,63325.06
2025-10-02,BUY,SMCI,0.0,0.7,52.45,44327.54,24.2,63393.84
2025-10-20,SELL,SMCI,0.7,0.0,55.04,44288.76,23.67,63245.99
2025-10-27,BUY,COHU,0.0,0.7,23.12,44272.19,37.98,64477.18
2025-11-13,SELL,COHU,0.7,0.35,22.72,22312.03,19.36,63124.72
2025-11-18,SELL,COHU,0.35,0.0,21.19,21745.6,19.76,62110.54
2025-12-05,BUY,SNPS,0.0,0.7,464.98,43477.38,15.31,62377.85
2025-12-18,SELL,SNPS,0.7,0.0,460.32,42792.14,15.11,61116.52
2025-12-31,BUY,NVDA,0.0,0.7,189.3391,42781.57,15.75,60871.09
2026-01-02,SELL,NVDA,0.7,0.0,189.6087,42609.76,15.68,60855.41
2026-01-05,BUY,SMTC,0.0,0.7,76.09,42598.78,20.0,60325.63
2026-01-06,SELL,SMTC,0.7,0.35,74.45,21113.97,9.99,61194.7
2026-01-07,SELL,SMTC,0.35,0.0,76.76,21418.15,10.02,63451.79
2026-01-07,BUY,UCTT,0.0,0.7,31.52,42829.27,30.38,63451.79
2026-02-27,SELL,UCTT,0.7,0.0,56.7,67255.85,35.48,96044.3
2026-04-07,BUY,ON,0.0,0.7,63.25,67231.01,33.88,96330.15
2026-05-20,SELL,ON,0.7,0.0,108.04,96476.73,40.46,137783.44
2026-05-27,BUY,SWKS,0.0,0.7,84.08,96448.41,43.73,132310.15
2026-06-01,SELL,SWKS,0.7,0.35,77.8,46004.89,21.43,130025.83
2026-06-02,SELL,SWKS,0.35,0.0,77.19,45509.04,21.26,130004.57
2026-06-10,BUY,AMAT,0.0,0.7,502.79,91003.2,29.83,129581.28
2026-07-02,SELL,AMAT,0.7,0.0,656.69,109611.33,35.37,156552.24
2026-07-08,BUY,TXN,0.0,0.7,286.5329,109586.57,37.81,159601.82
2026-07-09,SELL,TXN,0.7,0.0,308.2716,111721.27,38.19,159563.63
