date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,0.8,63.88,40000.0,20.08,49868.82
2025-01-13,SELL,DIOD,0.8,0.0,61.52,38749.8,19.75,48417.5
2025-01-16,BUY,AMAT,0.0,0.8,183.5013,38734.0,14.34,50155.6
2025-01-17,SELL,AMAT,0.8,0.0,190.6122,40124.48,14.75,50140.84
2025-01-21,BUY,QCOM,0.0,0.8,160.736,40112.67,15.25,50783.29
2025-01-28,SELL,QCOM,0.8,0.0,164.8222,41387.62,15.66,51718.87
2025-05-05,BUY,ON,0.0,0.8,40.52,41375.1,25.58,48168.24
2025-05-06,SELL,ON,0.8,0.0,38.05,38534.59,24.62,48143.62
2025-05-08,BUY,MU,0.0,0.8,84.0359,38514.89,17.47,49297.02
2025-05-27,SELL,MU,0.8,0.4,94.9381,21264.49,9.27,53832.16
2025-07-11,SELL,MU,0.4,0.0,121.9343,23794.36,9.71,59476.2
2025-07-15,BUY,TSEM,0.0,0.8,45.65,47580.96,27.72,60198.78
2025-07-25,SELL,TSEM,0.8,0.4,47.0,24811.03,14.25,61971.21
2025-08-01,SELL,TSEM,0.4,0.0,44.26,24519.72,14.5,61284.8
2025-08-13,BUY,CRUS,0.0,0.8,108.66,49027.84,20.53,62175.4
2025-09-03,SELL,CRUS,0.8,0.0,113.75,50701.48,20.96,63355.89
2025-09-08,BUY,MPWR,0.0,0.8,863.2694,50684.71,17.37,63249.55
2025-09-12,SELL,MPWR,0.8,0.4,839.0886,24742.68,9.5,61665.23
2025-09-15,SELL,MPWR,0.4,0.0,832.177,24666.09,9.48,62687.31
2025-09-15,BUY,ARM,0.0,0.8,151.25,49324.6,19.0,62687.31
2025-09-22,SELL,ARM,0.8,0.4,142.15,23636.75,9.58,59343.99
2025-09-23,SELL,ARM,0.4,0.0,145.41,23737.6,9.6,59334.39
2025-09-26,BUY,CRUS,0.0,0.8,125.91,47467.51,19.1,59519.09
2025-09-30,SELL,CRUS,0.8,0.4,124.0,23496.35,9.61,58968.1
2025-10-01,SELL,CRUS,0.4,0.0,124.52,23587.24,9.63,58958.47
2025-10-02,BUY,SMCI,0.0,0.8,52.45,47166.77,25.75,59031.65
2025-10-13,SELL,SMCI,0.8,0.4,54.81,23783.87,12.73,60298.12
2025-10-20,SELL,SMCI,0.4,0.0,55.04,23664.15,12.65,59147.72
2025-10-27,BUY,COHU,0.0,0.8,23.12,47318.18,40.6,60463.5
2025-11-05,SELL,COHU,0.8,0.4,22.7,23518.98,20.42,60237.43
2025-11-13,SELL,COHU,0.4,0.0,22.72,23696.66,20.56,59221.08
2025-12-05,BUY,SNPS,0.0,0.8,464.98,47376.87,16.51,59512.54
2025-12-15,SELL,SNPS,0.8,0.4,458.0,23246.83,9.12,58198.12
2025-12-18,SELL,SNPS,0.4,0.0,460.32,23250.62,9.12,58117.43
2025-12-31,BUY,NVDA,0.0,0.8,189.3391,46493.94,17.12,57850.7
2026-01-02,SELL,NVDA,0.8,0.0,189.6087,46280.56,17.03,57833.67
2026-01-05,BUY,SMTC,0.0,0.8,76.09,46266.93,21.72,57258.3
2026-01-06,SELL,SMTC,0.8,0.4,74.45,22903.32,10.84,58201.0
2026-01-07,SELL,SMTC,0.4,0.0,76.76,23280.4,10.9,60654.1
2026-01-07,BUY,UCTT,0.0,0.8,31.52,46552.08,33.02,60654.1
2026-01-23,SELL,UCTT,0.8,0.4,44.12,30378.15,18.0,75479.95
2026-02-27,SELL,UCTT,0.4,0.0,56.7,34576.78,18.24,86423.72
2026-04-07,BUY,ON,0.0,0.8,63.25,69138.97,34.84,86717.66
2026-04-29,SELL,ON,0.8,0.4,99.56,46927.73,20.16,120117.37
2026-05-20,SELL,ON,0.4,0.0,108.04,49550.38,20.78,123855.18
2026-05-27,BUY,SWKS,0.0,0.8,84.08,99084.14,44.93,118232.57
2026-05-28,SELL,SWKS,0.8,0.4,78.65,47293.03,21.94,119851.91
2026-06-01,SELL,SWKS,0.4,0.0,77.8,47115.55,21.95,119045.65
2026-06-01,BUY,RMBS,0.0,0.8,144.83,94213.53,36.66,119045.65
2026-06-08,SELL,RMBS,0.8,0.0,154.24,94030.48,36.07,117502.03
2026-06-10,BUY,AMAT,0.0,0.8,502.79,94001.62,30.75,117064.87
2026-06-24,SELL,AMAT,0.8,0.4,585.24,53454.33,18.3,133899.79
2026-07-02,SELL,AMAT,0.4,0.0,656.69,55853.45,19.0,139614.62
2026-07-08,BUY,TXN,0.0,0.8,286.5329,111691.7,38.54,142722.68
2026-07-09,SELL,TXN,0.8,0.0,308.2716,114178.14,39.03,142683.64
