date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.03
2025-01-17,SELL,AMAT,1.0,0.0,190.6122,50178.03,18.45,50159.58
2025-01-21,BUY,QCOM,0.0,1.0,160.736,50159.58,19.07,50962.88
2025-01-28,SELL,QCOM,1.0,0.0,164.8222,52153.32,19.73,52133.6
2025-05-05,BUY,ON,0.0,1.0,40.52,52133.6,32.24,47660.27
2025-05-06,SELL,ON,1.0,0.0,38.05,47660.27,30.46,47629.82
2025-05-08,BUY,MU,0.0,1.0,84.0359,47629.82,21.6,49056.04
2025-05-27,SELL,MU,1.0,0.5,94.9381,26928.61,11.74,54706.82
2025-07-11,SELL,MU,0.5,0.0,121.9343,30979.8,12.57,61947.03
2025-07-15,BUY,TSEM,0.0,1.0,45.65,61947.03,36.09,62887.67
2025-07-25,SELL,TSEM,1.0,0.5,47.0,32619.83,18.74,65165.57
2025-08-01,SELL,TSEM,0.5,0.0,44.26,32140.67,19.01,64262.33
2025-08-13,BUY,CRUS,0.0,1.0,108.66,64262.33,26.91,65429.57
2025-09-03,SELL,CRUS,1.0,0.0,113.75,66999.32,27.7,66971.62
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,66971.62,22.31,66831.76
2025-09-12,SELL,MPWR,1.0,0.5,839.0886,32497.38,11.86,64743.92
2025-09-15,SELL,MPWR,0.5,0.0,832.177,32371.96,11.82,66085.78
2025-09-15,BUY,ARM,0.0,1.0,151.25,64732.1,24.94,66085.78
2025-09-22,SELL,ARM,1.0,0.5,142.15,30682.69,11.99,61693.08
2025-09-23,SELL,ARM,0.5,0.0,145.41,30846.54,11.99,61681.09
2025-09-26,BUY,CRUS,0.0,1.0,125.91,61681.09,24.82,61921.07
2025-09-30,SELL,CRUS,1.0,0.5,124.0,30454.53,12.3,61203.7
2025-10-01,SELL,CRUS,0.5,0.0,124.52,30601.85,12.35,61191.35
2025-10-02,BUY,SMCI,0.0,1.0,52.45,61191.35,33.41,61286.29
2025-10-13,SELL,SMCI,1.0,0.0,54.81,61747.54,33.06,61714.48
2025-10-16,BUY,ARM,0.0,1.0,173.58,61714.48,23.1,61893.83
2025-10-31,SELL,ARM,1.0,0.5,168.5,29877.89,11.49,60528.99
2025-11-05,SELL,ARM,0.5,0.0,158.74,29449.4,11.38,60511.36
2025-11-05,BUY,KLAC,0.0,1.0,119.8445,58887.42,24.0,60511.36
2025-11-14,SELL,KLAC,1.0,0.5,113.0724,28636.34,11.86,56584.86
2025-11-18,SELL,KLAC,0.5,0.0,111.1575,28308.93,11.78,56606.08
2025-12-05,BUY,SNPS,0.0,1.0,464.98,56606.08,19.34,56954.67
2025-12-15,SELL,SNPS,1.0,0.5,458.0,27636.17,10.46,55369.04
2025-12-18,SELL,SNPS,0.5,0.0,460.32,27641.38,10.46,55272.3
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,55272.3,20.35,54955.24
2026-01-02,SELL,NVDA,1.0,0.0,189.6087,54955.24,20.23,54935.01
2026-01-05,BUY,SMTC,0.0,1.0,76.09,54935.01,25.79,54251.91
2026-01-06,SELL,SMTC,1.0,0.5,74.45,27125.96,12.84,55368.36
2026-01-07,SELL,SMTC,0.5,0.0,76.76,27684.18,12.96,58284.93
2026-01-07,BUY,UCTT,0.0,1.0,31.52,55355.4,39.26,58284.93
2026-01-23,SELL,UCTT,1.0,0.5,44.12,38493.51,22.8,76397.3
2026-02-02,SELL,UCTT,0.5,0.0,43.03,38313.39,22.98,76603.79
2026-02-05,BUY,SMTC,0.0,1.0,79.45,76603.79,35.42,77910.0
2026-02-27,SELL,SMTC,1.0,0.0,88.62,84922.63,37.84,84884.79
2026-04-07,BUY,ON,0.0,1.0,63.25,84884.79,42.78,85245.64
2026-04-29,SELL,ON,1.0,0.5,99.56,62008.22,26.64,127713.49
2026-05-20,SELL,ON,0.5,0.0,108.04,66325.86,27.82,132623.89
2026-05-27,BUY,SWKS,0.0,1.0,84.08,132623.89,60.14,125098.73
2026-05-28,SELL,SWKS,1.0,0.5,78.65,62549.36,29.02,127240.35
2026-06-01,SELL,SWKS,0.5,0.0,77.8,62251.28,29.0,126162.88
2026-06-01,BUY,RMBS,0.0,1.0,144.83,124473.57,48.43,126162.88
2026-06-08,SELL,RMBS,1.0,0.0,154.24,123658.26,47.44,123610.82
2026-06-10,BUY,AMAT,0.0,1.0,502.79,123610.82,40.25,123036.18
2026-06-24,SELL,AMAT,1.0,0.0,585.24,144805.5,46.63,145938.06
2026-06-24,BUY,DIOD,0.0,1.0,112.09,144758.87,60.09,145938.06
2026-06-25,SELL,DIOD,1.0,0.5,117.3,72969.03,29.92,147208.34
2026-06-26,SELL,DIOD,0.5,0.0,109.07,73604.17,30.79,147177.56
2026-07-08,BUY,TXN,0.0,1.0,286.5329,147177.56,50.78,151272.8
2026-07-09,SELL,TXN,1.0,0.0,308.2716,151272.8,51.71,151221.09
