date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.03
2025-01-17,SELL,AMAT,1.0,0.0,190.6122,50178.03,18.45,50159.58
2025-01-21,BUY,QCOM,0.0,1.0,160.736,50159.58,19.07,50962.88
2025-01-28,SELL,QCOM,1.0,0.0,164.8222,52153.32,19.73,52133.6
2025-05-05,BUY,ON,0.0,1.0,40.52,52133.6,32.24,47660.27
2025-05-06,SELL,ON,1.0,0.0,38.05,47660.27,30.46,47629.82
2025-05-08,BUY,MU,0.0,1.0,84.0359,47629.82,21.6,49056.04
2025-07-11,SELL,MU,1.0,0.0,121.9343,71053.91,28.83,71025.08
2025-07-15,BUY,TSEM,0.0,1.0,45.65,71025.08,41.38,72103.57
2025-08-01,SELL,TSEM,1.0,0.0,44.26,72635.09,42.96,72592.13
2025-08-13,BUY,CRUS,0.0,1.0,108.66,72592.13,30.4,73910.67
2025-09-03,SELL,CRUS,1.0,0.0,113.75,75683.89,31.29,75652.6
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,75652.6,24.95,75494.87
2025-09-12,SELL,MPWR,1.0,0.0,839.0886,73419.75,24.28,73492.0
2025-09-12,BUY,TSM,0.0,1.0,257.9967,73395.47,25.69,73492.0
2025-10-22,SELL,TSM,1.0,0.0,290.7093,83940.25,28.91,83911.35
2025-10-27,BUY,COHU,0.0,1.0,23.12,83911.35,71.99,86244.26
2025-11-13,SELL,COHU,1.0,0.0,22.72,84679.67,73.48,84606.19
2025-12-05,BUY,SNPS,0.0,1.0,464.98,84606.19,27.92,85128.2
2025-12-18,SELL,SNPS,1.0,0.0,460.32,82658.18,27.33,82630.85
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,82630.85,30.42,82156.85
2026-01-02,SELL,NVDA,1.0,0.0,189.6087,82156.85,30.24,82126.61
2026-01-05,BUY,SMTC,0.0,1.0,76.09,82126.61,38.56,81105.4
2026-01-06,SELL,SMTC,1.0,0.0,74.45,81105.4,38.38,84698.89
2026-01-06,BUY,AMBA,0.0,1.0,79.19,81067.01,37.53,84698.89
2026-01-08,SELL,AMBA,1.0,0.0,70.03,73989.27,35.83,73953.44
2026-01-09,BUY,POWI,0.0,1.0,40.6478,73953.44,45.66,75172.42
2026-01-20,SELL,POWI,1.0,0.0,41.909,78489.69,47.71,76838.64
2026-01-20,BUY,ENTG,0.0,1.0,114.7878,78441.98,32.35,76838.64
2026-02-06,SELL,ENTG,1.0,0.0,112.4969,73810.39,30.61,73779.78
2026-02-09,BUY,CRUS,0.0,1.0,142.09,73779.78,28.83,72117.69
2026-02-27,SELL,CRUS,1.0,0.0,142.94,74920.61,29.24,74891.38
2026-04-07,BUY,ON,0.0,1.0,63.25,74891.38,37.74,75209.74
2026-05-20,SELL,ON,1.0,0.0,108.04,124423.05,52.18,124370.87
2026-05-27,BUY,SWKS,0.0,1.0,84.08,124370.87,56.39,117313.99
2026-06-01,SELL,SWKS,1.0,0.0,77.8,116162.44,54.11,117684.11
2026-06-01,BUY,RMBS,0.0,1.0,144.83,116108.33,45.17,117684.11
2026-06-08,SELL,RMBS,1.0,0.0,154.24,115347.8,44.25,115303.55
2026-06-10,BUY,AMAT,0.0,1.0,502.79,115303.55,37.55,114767.54
2026-07-02,SELL,AMAT,1.0,0.0,656.69,148877.1,47.59,148829.52
2026-07-08,BUY,TXN,0.0,1.0,286.5329,148829.52,51.35,152970.72
2026-07-09,SELL,TXN,1.0,0.0,308.2716,152970.72,52.29,152918.43
