date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-21,BUY,QCOM,0.0,1.0,160.736,48023.26,18.26,48792.34
2025-01-28,SELL,QCOM,1.0,0.0,164.8222,49932.08,18.89,49913.2
2025-02-06,BUY,CRUS,0.0,1.0,107.85,49913.2,20.94,47620.99
2025-02-10,SELL,CRUS,1.0,0.0,106.87,48693.77,20.49,48673.28
2025-02-18,BUY,GFS,0.0,1.0,43.3326,48673.28,29.09,51840.36
2025-02-24,SELL,GFS,1.0,0.5,42.5287,23918.48,14.43,47311.97
2025-02-25,SELL,GFS,0.5,0.0,41.2705,23655.98,14.49,47297.48
2025-05-05,BUY,ON,0.0,1.0,40.52,47297.48,29.25,43239.12
2025-05-06,SELL,ON,1.0,0.0,38.05,43239.12,27.63,43211.49
2025-05-13,BUY,POWI,0.0,1.0,57.2545,43211.49,22.7,40490.64
2025-05-14,SELL,POWI,1.0,0.5,53.9281,20245.32,10.92,40285.47
2025-05-15,SELL,POWI,0.5,0.0,53.3215,20142.73,10.92,40274.55
2025-05-22,BUY,HIMX,0.0,1.0,7.8084,40274.55,78.62,40148.27
2025-06-03,SELL,HIMX,1.0,0.5,7.8368,20295.41,39.5,40771.2
2025-06-04,SELL,HIMX,0.5,0.0,8.0161,20385.6,38.92,40732.28
2025-06-12,BUY,ACLS,0.0,1.0,67.63,40732.28,19.99,41303.03
2025-06-20,SELL,ACLS,1.0,0.5,67.96,20017.62,9.8,39774.29
2025-07-11,SELL,ACLS,0.5,0.0,74.42,21301.4,10.08,42592.73
2025-07-21,BUY,RMBS,0.0,1.0,68.88,42592.73,20.75,43008.68
2025-07-28,SELL,RMBS,1.0,0.5,63.78,19606.56,9.85,39634.69
2025-07-29,SELL,RMBS,0.5,0.0,68.0,19817.34,9.7,39624.98
2025-08-06,BUY,MPWR,0.0,1.0,796.4272,39624.98,14.03,39762.62
2025-09-03,SELL,MPWR,1.0,0.0,824.4908,40655.84,14.33,40641.5
2025-09-10,BUY,HIMX,0.0,1.0,8.2056,40641.5,76.08,40954.59
2025-09-11,SELL,HIMX,1.0,0.5,8.3137,20477.29,37.92,40602.3
2025-09-12,SELL,HIMX,0.5,0.0,8.1859,20301.15,38.08,40564.22
2025-09-26,BUY,CRUS,0.0,1.0,125.91,40564.22,16.33,40722.04
2025-09-30,SELL,CRUS,1.0,0.5,124.0,20028.25,8.48,40249.87
2025-10-01,SELL,CRUS,0.5,0.0,124.52,20124.93,8.51,40241.36
2025-10-16,BUY,ARM,0.0,1.0,173.58,40241.36,15.06,40358.3
2025-11-05,SELL,ARM,1.0,0.0,158.74,37840.01,14.43,37825.58
2025-11-12,BUY,VECO,0.0,1.0,30.92,37825.58,27.13,37522.19
2025-11-14,SELL,VECO,1.0,0.5,28.08,18112.88,13.75,36167.39
2025-11-17,SELL,VECO,0.5,0.0,29.12,18083.69,13.44,36153.95
2025-12-01,BUY,ON,0.0,1.0,49.49,36153.95,20.27,36280.58
2025-12-18,SELL,ON,1.0,0.0,54.97,38346.16,20.5,38325.66
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,38325.66,14.11,38105.81
2026-01-06,SELL,NVDA,1.0,0.5,190.2879,19225.82,8.06,38357.89
2026-01-07,SELL,NVDA,0.5,0.0,188.3403,19178.94,8.05,38349.84
2026-01-16,BUY,LSCC,0.0,1.0,86.31,38349.84,17.24,37445.98
2026-01-20,SELL,LSCC,1.0,0.5,81.14,18722.99,8.59,37451.69
2026-01-21,SELL,LSCC,0.5,0.0,84.15,18725.84,8.49,37443.2
2026-01-29,BUY,MPWR,0.0,1.0,1161.8309,37443.2,13.32,38116.4
2026-03-02,SELL,MPWR,1.0,0.5,1104.1843,18441.83,7.57,36890.92
2026-03-03,SELL,MPWR,0.5,0.0,1104.4333,18445.46,7.57,36883.35
2026-03-12,BUY,HIMX,0.0,1.0,11.5664,36883.35,52.2,42245.38
2026-03-13,SELL,HIMX,1.0,0.0,10.2693,42245.38,65.74,42179.64
2026-04-07,BUY,ON,0.0,1.0,63.25,42179.64,21.26,42358.95
2026-05-20,SELL,ON,1.0,0.0,108.04,70076.42,29.39,70047.03
2026-05-28,BUY,LSCC,0.0,1.0,148.0,70047.03,27.12,69736.07
2026-06-01,SELL,LSCC,1.0,0.5,146.25,34818.14,13.52,69066.9
2026-06-02,SELL,LSCC,0.5,0.0,147.63,34533.45,13.38,69053.53
2026-06-10,BUY,AMAT,0.0,1.0,502.79,69053.53,23.12,68731.89
2026-07-06,SELL,AMAT,1.0,0.0,627.76,82667.01,27.19,82639.83
2026-07-15,BUY,AVGO,0.0,1.0,396.09,82639.83,27.48,83716.77
2026-07-16,SELL,AVGO,1.0,0.0,384.54,83716.77,27.92,83688.84
