date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.04
2025-01-28,SELL,AMAT,1.0,0.0,171.6004,46945.06,17.61,46927.45
2025-02-06,BUY,CRUS,0.0,1.0,107.85,46927.45,19.69,44772.36
2025-02-10,SELL,CRUS,1.0,0.0,106.87,45780.96,19.26,45761.7
2025-02-18,BUY,GFS,0.0,1.0,43.3326,45761.7,27.35,48739.33
2025-02-24,SELL,GFS,1.0,0.0,42.5287,44975.41,27.13,44651.75
2025-02-24,BUY,TXN,0.0,1.0,193.9685,44948.28,16.47,44651.75
2025-02-25,SELL,TXN,1.0,0.0,193.3256,44651.75,16.37,44635.38
2025-05-05,BUY,ON,0.0,1.0,40.52,44635.38,27.6,40805.44
2025-05-06,SELL,ON,1.0,0.0,38.05,40805.44,26.08,40779.36
2025-05-08,BUY,MU,0.0,1.0,84.0359,40779.36,18.49,42000.46
2025-07-11,SELL,MU,1.0,0.5,121.9343,30417.22,12.34,61177.63
2025-07-14,SELL,MU,0.5,0.0,120.1871,30588.81,12.46,61165.17
2025-07-15,BUY,TSEM,0.0,1.0,45.65,61165.17,35.63,62093.94
2025-08-01,SELL,TSEM,1.0,0.0,44.26,62551.68,37.0,62514.68
2025-08-04,BUY,MRVL,0.0,1.0,75.5391,62514.68,29.43,64219.48
2025-08-20,SELL,MRVL,1.0,0.0,71.5775,60499.75,29.05,60929.35
2025-08-20,BUY,ASML,0.0,1.0,745.8871,60470.7,20.37,60929.35
2025-08-21,SELL,ASML,1.0,0.5,734.5219,30464.68,11.25,60343.28
2025-08-22,SELL,ASML,0.5,0.0,736.8268,30171.64,11.16,65961.57
2025-08-22,BUY,TSEM,0.0,1.0,50.85,60332.11,33.41,65961.57
2025-09-03,SELL,TSEM,1.0,0.0,61.5,73333.26,37.38,73295.88
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,73295.88,24.23,73142.99
2025-09-12,SELL,MPWR,1.0,0.5,839.0886,35566.26,12.79,70858.18
2025-09-15,SELL,MPWR,0.5,0.0,832.177,35429.09,12.75,72326.96
2025-09-15,BUY,ARM,0.0,1.0,151.25,70845.43,27.3,72326.96
2025-09-22,SELL,ARM,1.0,0.0,142.15,67160.77,26.24,67134.52
2025-09-26,BUY,CRUS,0.0,1.0,125.91,67134.52,27.02,67395.72
2025-09-30,SELL,CRUS,1.0,0.5,124.0,33147.12,13.39,66614.92
2025-10-01,SELL,CRUS,0.5,0.0,124.52,33307.46,13.44,66601.48
2025-10-02,BUY,SMCI,0.0,1.0,52.45,66601.48,36.36,66704.81
2025-10-13,SELL,SMCI,1.0,0.0,54.81,67206.85,35.98,67170.87
2025-10-16,BUY,ARM,0.0,1.0,173.58,67170.87,25.14,67366.07
2025-10-31,SELL,ARM,1.0,0.0,168.5,65038.98,24.49,63818.74
2025-10-31,BUY,AVGO,0.0,1.0,376.1619,65014.49,22.01,63818.74
2025-11-03,SELL,AVGO,1.0,0.5,369.9269,31909.37,11.82,63201.02
2025-11-05,SELL,AVGO,0.5,0.0,348.9345,31134.9,11.6,63975.1
2025-11-05,BUY,KLAC,0.0,1.0,119.8445,62258.19,25.38,63975.1
2025-11-17,SELL,KLAC,1.0,0.0,113.697,59121.42,24.44,59096.98
2025-12-01,BUY,ON,0.0,1.0,49.49,59096.98,33.13,59303.96
2025-12-18,SELL,ON,1.0,0.0,54.97,62680.34,33.51,62646.83
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,62646.83,23.06,62287.47
2026-01-06,SELL,NVDA,1.0,0.5,190.2879,31426.38,11.91,62700.77
2026-01-07,SELL,NVDA,0.5,0.0,188.3403,31350.38,11.89,66006.51
2026-01-07,BUY,UCTT,0.0,1.0,31.52,62688.87,44.46,66006.51
2026-01-26,SELL,UCTT,1.0,0.0,43.4,85901.8,51.3,83033.75
2026-01-26,BUY,AMD,0.0,1.0,256.75,85850.5,30.07,83033.75
2026-01-29,SELL,AMD,1.0,0.5,254.66,41755.09,15.01,83405.75
2026-01-30,SELL,AMD,0.5,0.0,236.93,41702.88,15.03,83390.72
2026-02-05,BUY,SMTC,0.0,1.0,79.45,83390.72,38.56,84812.65
2026-03-04,SELL,SMTC,1.0,0.0,94.77,92337.35,40.27,92297.08
2026-03-05,BUY,VECO,0.0,1.0,32.2,92297.08,64.67,90716.86
2026-03-06,SELL,VECO,1.0,0.0,30.65,90716.86,65.4,90651.46
2026-03-12,BUY,HIMX,0.0,1.0,11.5664,90651.46,128.3,103830.21
2026-03-13,SELL,HIMX,1.0,0.0,10.2693,103830.21,161.58,103668.63
2026-04-07,BUY,ON,0.0,1.0,63.25,103668.63,52.24,104109.33
2026-05-19,SELL,ON,1.0,0.0,105.53,177742.32,75.05,177667.27
2026-05-27,BUY,SWKS,0.0,1.0,84.08,177667.27,80.56,167586.32
2026-06-01,SELL,SWKS,1.0,0.5,77.8,82970.65,38.65,163386.42
2026-06-02,SELL,SWKS,0.5,0.0,77.19,81693.21,38.16,163348.26
2026-06-10,BUY,AMAT,0.0,1.0,502.79,163348.26,53.2,162588.89
2026-06-24,SELL,AMAT,1.0,0.0,585.24,191356.44,61.62,192853.09
2026-06-24,BUY,DIOD,0.0,1.0,112.09,191294.82,79.4,192853.09
2026-06-25,SELL,DIOD,1.0,0.5,117.3,96426.54,39.53,194531.73
2026-06-26,SELL,DIOD,0.5,0.0,109.07,97265.87,40.68,194491.05
2026-07-02,BUY,FORM,0.0,1.0,147.13,194491.05,75.4,163310.19
2026-07-06,SELL,FORM,1.0,0.0,128.8,163310.19,65.35,166431.57
2026-07-06,BUY,AMBA,0.0,1.0,83.14,163244.84,74.3,166431.57
2026-07-08,SELL,AMBA,1.0,0.0,71.59,149494.63,71.79,153580.56
2026-07-08,BUY,TXN,0.0,1.0,286.5329,149422.84,51.55,153580.56
2026-07-14,SELL,TXN,1.0,0.0,307.4459,152198.98,52.05,152146.93
2026-07-15,BUY,AVGO,0.0,1.0,396.09,152146.93,50.6,154129.67
2026-07-16,SELL,AVGO,1.0,0.0,384.54,154129.67,51.41,154078.26
