date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,0.6,63.88,30000.0,15.06,49901.61
2025-01-13,SELL,DIOD,0.6,0.0,61.52,29296.33,14.93,48812.29
2025-01-16,BUY,AMAT,0.0,0.6,183.5013,29287.37,11.26,50126.17
2025-01-28,SELL,AMAT,0.6,0.0,171.6004,28921.39,11.17,48191.15
2025-02-06,BUY,CRUS,0.0,0.6,107.85,28914.69,12.13,46863.05
2025-02-10,SELL,CRUS,0.6,0.0,106.87,28497.88,11.99,47484.48
2025-02-18,BUY,GFS,0.0,0.6,43.3326,28490.69,17.03,49338.77
2025-02-24,SELL,GFS,0.6,0.3,42.5287,14110.09,8.51,46723.88
2025-02-25,SELL,GFS,0.3,0.0,41.2705,14017.16,8.59,46715.29
2025-05-05,BUY,ON,0.0,0.6,40.52,28029.18,17.33,44309.66
2025-05-06,SELL,ON,0.6,0.0,38.05,26585.79,16.99,44292.67
2025-05-08,BUY,MU,0.0,0.6,84.0359,26575.6,12.05,45088.59
2025-07-11,SELL,MU,0.6,0.3,121.9343,16942.72,7.49,56666.28
2025-07-14,SELL,MU,0.3,0.0,120.1871,16999.88,7.51,56658.76
2025-07-15,BUY,TSEM,0.0,0.6,45.65,33995.26,19.81,57175.09
2025-08-04,SELL,TSEM,0.6,0.0,46.46,34008.85,19.65,57589.06
2025-08-04,BUY,MRVL,0.0,0.6,75.5391,33997.06,16.0,57589.06
2025-08-20,SELL,MRVL,0.6,0.3,71.5775,16682.23,8.01,55402.12
2025-08-21,SELL,MRVL,0.3,0.0,70.3102,16620.64,8.04,55394.09
2025-08-22,BUY,TSEM,0.0,0.6,50.85,33236.45,18.4,58496.0
2025-09-03,SELL,TSEM,0.6,0.0,61.5,37435.66,19.08,62373.68
2025-09-08,BUY,MPWR,0.0,0.6,863.2694,37424.21,13.35,62294.64
2025-09-12,SELL,MPWR,0.6,0.3,839.0886,18379.28,7.57,61121.52
2025-09-15,SELL,MPWR,0.3,0.0,832.177,18336.46,7.56,61880.9
2025-09-15,BUY,ARM,0.0,0.6,151.25,36668.38,14.13,61880.9
2025-09-22,SELL,ARM,0.6,0.3,142.15,17762.75,7.69,59398.13
2025-09-23,SELL,ARM,0.3,0.0,145.41,17819.44,7.7,59390.42
2025-09-26,BUY,CRUS,0.0,0.6,125.91,35634.25,14.34,59529.09
2025-09-30,SELL,CRUS,0.6,0.3,124.0,17683.6,7.72,59115.86
2025-10-01,SELL,CRUS,0.3,0.0,124.52,17734.76,7.74,59108.12
2025-10-02,BUY,SMCI,0.0,0.6,52.45,35464.87,19.36,59163.16
2025-10-20,SELL,SMCI,0.6,0.0,55.04,35458.07,18.95,59077.83
2025-10-27,BUY,COHU,0.0,0.6,23.12,35446.7,30.41,60063.67
2025-11-13,SELL,COHU,0.6,0.3,22.72,17851.83,15.49,59006.86
2025-11-18,SELL,COHU,0.3,0.0,21.19,17462.92,15.87,58193.87
2025-12-01,BUY,ON,0.0,0.6,49.49,34916.32,19.58,58316.19
2025-12-18,SELL,ON,0.6,0.0,54.97,36239.09,19.38,60379.1
2025-12-31,BUY,NVDA,0.0,0.6,189.3391,36227.46,13.43,60171.17
2026-01-06,SELL,NVDA,0.6,0.3,190.2879,18149.84,7.72,60410.85
2026-01-07,SELL,NVDA,0.3,0.0,188.3403,18123.25,7.72,62321.69
2026-01-07,BUY,UCTT,0.0,0.6,31.52,36241.88,25.71,62321.69
2026-02-27,SELL,UCTT,0.6,0.0,56.7,53555.7,28.25,81145.67
2026-02-27,BUY,AMBA,0.0,0.6,61.05,53538.75,27.37,81145.67
2026-03-02,SELL,AMBA,0.6,0.0,57.9,48687.4,25.45,80311.51
2026-03-02,BUY,SMCI,0.0,0.6,30.9,48672.13,34.92,80311.51
2026-03-04,SELL,SMCI,0.6,0.0,30.96,47136.52,33.78,78527.09
2026-03-05,BUY,VECO,0.0,0.6,32.2,47116.26,33.01,77720.2
2026-03-06,SELL,VECO,0.6,0.0,30.65,46632.12,33.62,77686.58
2026-03-12,BUY,HIMX,0.0,0.6,11.5664,46611.95,65.97,84466.82
2026-03-13,SELL,HIMX,0.6,0.0,10.2693,50680.09,78.87,84387.95
2026-04-07,BUY,ON,0.0,0.6,63.25,50632.77,25.52,84603.24
2026-05-20,SELL,ON,0.6,0.0,108.04,69120.84,28.99,115172.41
2026-05-27,BUY,SWKS,0.0,0.6,84.08,69103.45,31.33,111250.73
2026-06-01,SELL,SWKS,0.6,0.3,77.8,33190.62,15.46,109613.28
2026-06-02,SELL,SWKS,0.3,0.0,77.19,32883.98,15.36,109597.91
2026-06-10,BUY,AMAT,0.0,0.6,502.79,65758.75,22.11,109291.49
2026-07-06,SELL,AMAT,0.6,0.0,627.76,73909.64,24.52,124601.0
2026-07-06,BUY,AMBA,0.0,0.6,83.14,73894.93,33.63,124601.0
2026-07-08,SELL,AMBA,0.6,0.3,71.59,35097.89,16.85,118407.84
2026-07-14,SELL,AMBA,0.3,0.0,74.64,35136.34,16.61,117104.51
2026-07-15,BUY,AVGO,0.0,0.6,396.09,70262.71,23.6,118020.05
2026-07-16,SELL,AVGO,0.6,0.0,384.54,70812.03,23.79,117996.26
