date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,0.8,63.88,40000.0,20.08,49868.82
2025-01-13,SELL,DIOD,0.8,0.0,61.52,38749.8,19.75,48417.5
2025-01-16,BUY,AMAT,0.0,0.8,183.5013,38734.0,14.34,50155.6
2025-01-28,SELL,AMAT,0.8,0.0,171.6004,38063.64,14.28,47565.27
2025-02-06,BUY,CRUS,0.0,0.8,107.85,38052.22,15.97,45817.62
2025-02-10,SELL,CRUS,0.8,0.0,106.87,37314.67,15.7,46627.64
2025-02-18,BUY,GFS,0.0,0.8,43.3326,37302.12,22.3,49055.12
2025-02-24,SELL,GFS,0.8,0.0,42.5287,36809.5,22.21,45746.82
2025-02-24,BUY,TXN,0.0,0.8,193.9685,36791.73,13.6,45746.82
2025-02-25,SELL,TXN,0.8,0.0,193.3256,36597.46,13.54,45733.28
2025-05-05,BUY,ON,0.0,0.8,40.52,36586.63,22.62,42593.58
2025-05-06,SELL,ON,0.8,0.0,38.05,34074.87,21.77,42571.81
2025-05-08,BUY,MU,0.0,0.8,84.0359,34057.45,15.45,43591.72
2025-07-11,SELL,MU,0.8,0.0,121.9343,46994.27,19.07,58723.76
2025-07-15,BUY,TSEM,0.0,0.8,45.65,46979.01,27.37,59437.21
2025-08-04,SELL,TSEM,0.8,0.0,46.46,46969.48,27.13,59965.13
2025-08-04,BUY,MRVL,0.0,0.8,75.5391,46947.78,22.1,59965.13
2025-08-20,SELL,MRVL,0.8,0.0,71.5775,45760.07,21.98,57524.59
2025-08-20,BUY,ASML,0.0,0.8,745.8871,45742.49,15.9,57524.59
2025-08-21,SELL,ASML,0.8,0.0,734.5219,46019.67,15.98,57508.61
2025-08-22,BUY,TSEM,0.0,0.8,50.85,46006.88,25.47,61801.88
2025-09-03,SELL,TSEM,0.8,0.0,61.5,53847.64,27.45,67282.11
2025-09-08,BUY,MPWR,0.0,0.8,863.2694,53825.69,18.32,67169.3
2025-09-12,SELL,MPWR,0.8,0.0,839.0886,52552.1,17.94,65741.28
2025-09-12,BUY,TSM,0.0,0.8,257.9967,52537.74,18.39,65741.28
2025-10-22,SELL,TSM,0.8,0.0,290.7093,58590.39,20.18,73217.81
2025-10-27,BUY,COHU,0.0,0.8,23.12,58574.25,50.25,74846.59
2025-11-13,SELL,COHU,0.8,0.0,22.72,59072.08,51.26,73788.84
2025-12-01,BUY,ON,0.0,0.8,49.49,59031.07,33.1,73995.62
2025-12-18,SELL,ON,0.8,0.0,54.97,61953.83,33.13,77409.17
2025-12-31,BUY,NVDA,0.0,0.8,189.3391,61927.33,22.8,77053.91
2026-01-06,SELL,NVDA,0.8,0.0,190.2879,62091.13,22.84,80372.26
2026-01-06,BUY,AMBA,0.0,0.8,79.19,62072.86,28.73,80372.26
2026-01-08,SELL,AMBA,0.8,0.0,70.03,57793.78,27.98,72214.24
2026-01-09,BUY,POWI,0.0,0.8,40.6478,57771.39,35.67,73166.61
2026-01-20,SELL,POWI,0.8,0.0,41.909,60601.0,36.83,74476.25
2026-01-20,BUY,ENTG,0.0,0.8,114.7878,60571.53,24.98,74476.25
2026-02-06,SELL,ENTG,0.8,0.0,112.4969,57738.18,23.94,72148.78
2026-02-09,BUY,CRUS,0.0,0.8,142.09,57719.03,22.56,70848.41
2026-03-04,SELL,CRUS,0.8,0.0,139.04,56296.19,22.11,70348.12
2026-03-05,BUY,VECO,0.0,0.8,32.2,56278.5,39.43,69384.45
2026-03-06,SELL,VECO,0.8,0.0,30.65,55507.56,40.01,69344.44
2026-03-12,BUY,HIMX,0.0,0.8,11.5664,55475.55,78.51,77411.68
2026-03-13,SELL,HIMX,0.8,0.0,10.2693,61929.34,96.37,77315.3
2026-04-07,BUY,ON,0.0,0.8,63.25,61852.24,31.17,77578.27
2026-05-20,SELL,ON,0.8,0.0,108.04,93249.65,39.11,116522.96
2026-05-27,BUY,SWKS,0.0,0.8,84.08,93218.37,42.27,111233.21
2026-06-01,SELL,SWKS,0.8,0.0,77.8,88309.05,41.14,111543.32
2026-06-01,BUY,RMBS,0.0,0.8,144.83,88276.14,34.35,111543.32
2026-06-08,SELL,RMBS,0.8,0.0,154.24,88104.62,33.8,110096.98
2026-06-10,BUY,AMAT,0.0,0.8,502.79,88077.58,28.94,109687.25
2026-07-06,SELL,AMAT,0.8,0.0,627.76,102317.84,33.17,129861.15
2026-07-06,BUY,AMBA,0.0,0.8,83.14,102291.3,46.56,129861.15
2026-07-08,SELL,AMBA,0.8,0.0,71.59,95431.1,45.83,121897.61
2026-07-08,BUY,TXN,0.0,0.8,286.5329,95394.44,32.91,121897.61
2026-07-14,SELL,TXN,0.8,0.0,307.4459,96834.91,33.11,121010.52
2026-07-15,BUY,AVGO,0.0,0.8,396.09,96808.42,32.2,122272.19
2026-07-16,SELL,AVGO,0.8,0.0,384.54,97817.75,32.63,122239.56
