date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,0.8,63.88,40000.0,20.08,49868.82
2025-01-13,SELL,DIOD,0.8,0.0,61.52,38749.8,19.75,48417.5
2025-01-16,BUY,AMAT,0.0,0.8,183.5013,38734.0,14.34,50155.6
2025-01-28,SELL,AMAT,0.8,0.0,171.6004,38063.64,14.28,47565.27
2025-02-06,BUY,CRUS,0.0,0.8,107.85,38052.22,15.97,45817.62
2025-02-10,SELL,CRUS,0.8,0.0,106.87,37314.67,15.7,46627.64
2025-02-18,BUY,GFS,0.0,0.8,43.3326,37302.12,22.3,49055.12
2025-02-24,SELL,GFS,0.8,0.4,42.5287,18404.75,11.1,45607.88
2025-02-25,SELL,GFS,0.4,0.0,41.2705,18243.15,11.18,45596.7
2025-05-05,BUY,ON,0.0,0.8,40.52,36477.36,22.56,42466.38
2025-05-06,SELL,ON,0.8,0.0,38.05,33973.1,21.71,42444.67
2025-05-08,BUY,MU,0.0,0.8,84.0359,33955.74,15.4,43461.53
2025-05-27,SELL,MU,0.8,0.4,94.9381,18747.33,8.21,47459.8
2025-07-11,SELL,MU,0.4,0.0,121.9343,20977.72,8.8,52435.49
2025-07-15,BUY,TSEM,0.0,0.8,45.65,41948.39,24.44,53072.54
2025-07-25,SELL,TSEM,0.8,0.4,47.0,21873.94,12.57,54635.15
2025-08-04,SELL,TSEM,0.4,0.0,46.46,21415.6,12.37,54694.49
2025-08-04,BUY,MRVL,0.0,0.8,75.5391,42821.3,20.16,54694.49
2025-08-20,SELL,MRVL,0.8,0.4,71.5775,20868.99,10.02,51915.67
2025-08-21,SELL,MRVL,0.4,0.0,70.3102,20766.27,10.04,51905.63
2025-08-22,BUY,TSEM,0.0,0.8,50.85,41524.5,22.99,55780.62
2025-09-03,SELL,TSEM,0.8,0.0,61.5,48601.35,24.77,60726.91
2025-09-08,BUY,MPWR,0.0,0.8,863.2694,48581.53,16.73,60624.9
2025-09-12,SELL,MPWR,0.8,0.4,839.0886,23715.94,9.19,59106.24
2025-09-15,SELL,MPWR,0.4,0.0,832.177,23642.5,9.17,60085.83
2025-09-15,BUY,ARM,0.0,0.8,151.25,47277.66,18.22,60085.83
2025-09-22,SELL,ARM,0.8,0.4,142.15,22655.84,9.26,56881.17
2025-09-23,SELL,ARM,0.4,0.0,145.41,22752.47,9.29,56871.89
2025-09-26,BUY,CRUS,0.0,0.8,125.91,45497.51,18.31,57048.92
2025-09-30,SELL,CRUS,0.8,0.4,124.0,22521.21,9.29,56520.72
2025-10-01,SELL,CRUS,0.4,0.0,124.52,22608.29,9.32,56511.4
2025-10-02,BUY,SMCI,0.0,0.8,52.45,45209.12,24.68,56581.55
2025-10-13,SELL,SMCI,0.8,0.4,54.81,22796.73,12.2,57795.45
2025-10-20,SELL,SMCI,0.4,0.0,55.04,22681.97,12.12,56692.8
2025-10-27,BUY,COHU,0.0,0.8,23.12,45354.24,38.91,57953.97
2025-11-05,SELL,COHU,0.8,0.4,22.7,22542.82,19.57,57737.28
2025-11-13,SELL,COHU,0.4,0.0,22.72,22713.13,19.71,56763.12
2025-12-01,BUY,ON,0.0,0.8,49.49,45410.49,25.46,56922.18
2025-12-18,SELL,ON,0.8,0.0,54.97,47658.87,25.48,59548.1
2025-12-31,BUY,NVDA,0.0,0.8,189.3391,47638.48,17.54,59274.82
2026-01-06,SELL,NVDA,0.8,0.4,190.2879,23882.24,9.53,59589.62
2026-01-07,SELL,NVDA,0.4,0.0,188.3403,23835.85,9.52,62102.95
2026-01-07,BUY,UCTT,0.0,0.8,31.52,47664.08,33.81,62102.95
2026-01-23,SELL,UCTT,0.8,0.4,44.12,31103.8,18.43,77282.96
2026-02-27,SELL,UCTT,0.4,0.0,56.7,35402.73,18.68,77798.23
2026-02-27,BUY,AMBA,0.0,0.8,61.05,70790.51,36.2,77798.23
2026-03-02,SELL,AMBA,0.8,0.0,57.9,62238.59,32.54,76732.15
2026-03-02,BUY,SMCI,0.0,0.8,30.9,62212.56,44.64,76732.15
2026-03-04,SELL,SMCI,0.8,0.0,30.96,59601.6,42.71,74459.28
2026-03-05,BUY,VECO,0.0,0.8,32.2,59567.43,41.73,73439.29
2026-03-06,SELL,VECO,0.8,0.0,30.65,58751.43,42.35,73396.94
2026-03-12,BUY,HIMX,0.0,0.8,11.5664,58717.55,83.1,81935.63
2026-03-13,SELL,HIMX,0.8,0.0,10.2693,65548.51,102.01,81833.63
2026-04-07,BUY,ON,0.0,0.8,63.25,65466.9,32.99,82111.96
2026-04-29,SELL,ON,0.8,0.4,99.56,44435.33,19.09,113737.76
2026-05-20,SELL,ON,0.4,0.0,108.04,46918.69,19.68,117277.05
2026-05-27,BUY,SWKS,0.0,0.8,84.08,93821.64,42.54,111953.07
2026-05-28,SELL,SWKS,0.8,0.4,78.65,44781.23,20.78,113486.4
2026-06-01,SELL,SWKS,0.4,0.0,77.8,44613.17,20.78,112722.96
2026-06-01,BUY,RMBS,0.0,0.8,144.83,89209.71,34.71,112722.96
2026-06-08,SELL,RMBS,0.8,0.0,154.24,89036.38,34.16,111261.32
2026-06-10,BUY,AMAT,0.0,0.8,502.79,89009.06,29.22,110847.28
2026-06-24,SELL,AMAT,0.8,0.4,585.24,50615.25,17.43,126787.95
2026-07-06,SELL,AMAT,0.4,0.0,627.76,51346.45,17.64,130353.09
2026-07-06,BUY,AMBA,0.0,0.8,83.14,102678.8,46.74,130353.09
2026-07-08,SELL,AMBA,0.8,0.4,71.59,47896.31,23.0,121671.47
2026-07-14,SELL,AMBA,0.4,0.0,74.64,47957.51,22.68,119871.11
2026-07-15,BUY,AVGO,0.0,0.8,396.09,95896.89,31.89,121120.9
2026-07-16,SELL,AVGO,0.8,0.0,384.54,96896.72,32.32,121088.58
