date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-08,BUY,DIOD,0.0,1.0,63.88,50000.0,25.1,49836.04
2025-01-13,SELL,DIOD,1.0,0.0,61.52,48047.75,24.49,48023.26
2025-01-16,BUY,AMAT,0.0,1.0,183.5013,48023.26,17.78,50178.04
2025-01-28,SELL,AMAT,1.0,0.0,171.6004,46945.06,17.61,46927.45
2025-02-06,BUY,CRUS,0.0,1.0,107.85,46927.45,19.69,44772.36
2025-02-10,SELL,CRUS,1.0,0.0,106.87,45780.96,19.26,45761.7
2025-02-18,BUY,GFS,0.0,1.0,43.3326,45761.7,27.35,48739.33
2025-02-24,SELL,GFS,1.0,0.0,42.5287,44975.41,27.13,44651.75
2025-02-24,BUY,TXN,0.0,1.0,193.9685,44948.28,16.47,44651.75
2025-02-25,SELL,TXN,1.0,0.0,193.3256,44651.75,16.37,44635.38
2025-05-05,BUY,ON,0.0,1.0,40.52,44635.38,27.6,40805.44
2025-05-06,SELL,ON,1.0,0.0,38.05,40805.44,26.08,40779.36
2025-05-08,BUY,MU,0.0,1.0,84.0359,40779.36,18.49,42000.46
2025-07-11,SELL,MU,1.0,0.0,121.9343,60834.44,24.69,60809.75
2025-07-15,BUY,TSEM,0.0,1.0,45.65,60809.75,35.43,61733.13
2025-08-04,SELL,TSEM,1.0,0.0,46.46,60738.92,35.09,62359.25
2025-08-04,BUY,MRVL,0.0,1.0,75.5391,60703.83,28.58,62359.25
2025-08-20,SELL,MRVL,1.0,0.0,71.5775,58747.27,28.21,59164.36
2025-08-20,BUY,ASML,0.0,1.0,745.8871,58719.06,19.84,59164.36
2025-08-21,SELL,ASML,1.0,0.0,734.5219,59164.36,19.98,59144.38
2025-08-22,BUY,TSEM,0.0,1.0,50.85,59144.38,32.75,64663.01
2025-09-03,SELL,TSEM,1.0,0.0,61.5,71889.58,36.65,71852.93
2025-09-08,BUY,MPWR,0.0,1.0,863.2694,71852.93,23.8,71703.02
2025-09-12,SELL,MPWR,1.0,0.0,839.0886,69732.13,23.16,69800.65
2025-09-12,BUY,TSM,0.0,1.0,257.9967,69708.97,24.4,69800.65
2025-10-22,SELL,TSM,1.0,0.0,290.7093,79724.1,27.45,79696.65
2025-10-27,BUY,COHU,0.0,1.0,23.12,79696.65,68.38,81912.38
2025-11-13,SELL,COHU,1.0,0.0,22.72,80426.38,69.79,80356.59
2025-12-01,BUY,ON,0.0,1.0,49.49,80356.59,45.05,80638.03
2025-12-18,SELL,ON,1.0,0.0,54.97,85229.04,45.57,85183.47
2025-12-31,BUY,NVDA,0.0,1.0,189.3391,85183.47,31.36,84694.83
2026-01-06,SELL,NVDA,1.0,0.0,190.2879,85463.48,31.43,89259.49
2026-01-06,BUY,AMBA,0.0,1.0,79.19,85432.05,39.55,89259.49
2026-01-08,SELL,AMBA,1.0,0.0,70.03,77973.2,37.76,77935.45
2026-01-09,BUY,POWI,0.0,1.0,40.6478,77935.45,48.11,79220.06
2026-01-20,SELL,POWI,1.0,0.0,41.909,82715.95,50.28,80976.01
2026-01-20,BUY,ENTG,0.0,1.0,114.7878,82665.67,34.09,80976.01
2026-02-06,SELL,ENTG,1.0,0.0,112.4969,77784.69,32.25,77752.44
2026-02-09,BUY,CRUS,0.0,1.0,142.09,77752.44,30.38,76000.85
2026-03-04,SELL,CRUS,1.0,0.0,139.04,75321.33,29.58,75291.75
2026-03-05,BUY,VECO,0.0,1.0,32.2,75291.75,52.75,74002.68
2026-03-06,SELL,VECO,1.0,0.0,30.65,74002.68,53.35,73949.33
2026-03-12,BUY,HIMX,0.0,1.0,11.5664,73949.33,104.66,84699.95
2026-03-13,SELL,HIMX,1.0,0.0,10.2693,84699.95,131.81,84568.14
2026-04-07,BUY,ON,0.0,1.0,63.25,84568.14,42.62,84927.65
2026-05-20,SELL,ON,1.0,0.0,108.04,140499.85,58.93,140440.92
2026-05-27,BUY,SWKS,0.0,1.0,84.08,140440.92,63.68,132472.21
2026-06-01,SELL,SWKS,1.0,0.0,77.8,131171.87,61.1,132890.16
2026-06-01,BUY,RMBS,0.0,1.0,144.83,131110.77,51.01,132890.16
2026-06-08,SELL,RMBS,1.0,0.0,154.24,130251.98,49.97,130202.01
2026-06-10,BUY,AMAT,0.0,1.0,502.79,130202.01,42.4,129596.73
2026-07-06,SELL,AMAT,1.0,0.0,627.76,155871.97,49.96,158863.83
2026-07-06,BUY,AMBA,0.0,1.0,83.14,155822.01,70.92,158863.83
2026-07-08,SELL,AMBA,1.0,0.0,71.59,142697.02,68.52,146597.16
2026-07-08,BUY,TXN,0.0,1.0,286.5329,142628.5,49.21,146597.16
2026-07-14,SELL,TXN,1.0,0.0,307.4459,145278.4,49.68,145228.72
2026-07-15,BUY,AVGO,0.0,1.0,396.09,145228.72,48.3,147121.3
2026-07-16,SELL,AVGO,1.0,0.0,384.54,147121.3,49.07,147072.23
