strategy,month,pnl_usd
MCD_buy_hold,2025-01,-643.9108177699236
MCD_buy_hold,2025-02,3327.173135069199
MCD_buy_hold,2025-03,999.6658765391985
MCD_buy_hold,2025-04,1263.2851957356324
MCD_buy_hold,2025-05,-998.3651857487712
MCD_buy_hold,2025-06,-3433.0026709402446
MCD_buy_hold,2025-07,1359.4981836758743
MCD_buy_hold,2025-08,2333.54559672132
MCD_buy_hold,2025-09,-1368.9170270349496
MCD_buy_hold,2025-10,-944.075564981089
MCD_buy_hold,2025-11,2307.8026296313765
MCD_buy_hold,2025-12,-768.4697864453628
MCD_buy_hold,2026-01,1643.996976883689
MCD_buy_hold,2026-02,4556.686204940743
MCD_buy_hold,2026-03,-4978.545971195439
MCD_buy_hold,2026-04,-3029.921948140065
MCD_buy_hold,2026-05,-2494.595679906546
MCD_buy_hold,2026-06,-1240.4327804132408
MCD_buy_hold,2026-07,62.62513121843949
MCD_buy_hold,2026-08,1032.752731665365
S12_full,2025-01,0.0
S12_full,2025-02,2330.419121901614
S12_full,2025-03,0.0
S12_full,2025-04,0.0
S12_full,2025-05,-332.1386301988023
S12_full,2025-06,-534.3155217002495
S12_full,2025-07,125.01725903697661
S12_full,2025-08,2320.708729881735
S12_full,2025-09,-1647.603587760139
S12_full,2025-10,-1477.9859526340879
S12_full,2025-11,1092.1312359132862
S12_full,2025-12,-913.6719764870795
S12_full,2026-01,-497.3954271292678
S12_full,2026-02,4153.4287685084055
S12_full,2026-03,-4904.251901615724
S12_full,2026-04,0.0
S12_full,2026-05,0.0
S12_full,2026-06,-3421.016232840033
S12_full,2026-07,0.0
S12_full,2026-08,0.0
L1+L4,2025-01,0.0
L1+L4,2025-02,582.7811324503273
L1+L4,2025-03,0.0
L1+L4,2025-04,0.0
L1+L4,2025-05,-191.76895589123887
L1+L4,2025-06,-517.799813869191
L1+L4,2025-07,-119.70927962885617
L1+L4,2025-08,1590.7811238017894
L1+L4,2025-09,-1569.1988836416203
L1+L4,2025-10,-825.3575828324028
L1+L4,2025-11,764.5470472554443
L1+L4,2025-12,-1417.1385058409214
L1+L4,2026-01,-471.3808413555744
L1+L4,2026-02,2875.606559230888
L1+L4,2026-03,-4498.042026201198
L1+L4,2026-04,0.0
L1+L4,2026-05,0.0
L1+L4,2026-06,-1047.9988683412157
L1+L4,2026-07,0.0
L1+L4,2026-08,0.0
