datetime,MU_buy_hold,S12_full,L1+L4
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,51446.508976967096,50000.0,50000.0
2025-01-06,56695.86901932999,50000.0,50000.0
2025-01-07,58243.896144657134,50000.0,50000.0
2025-01-08,56832.33402785908,50000.0,50000.0
2025-01-10,56801.48849638401,50000.0,50000.0
2025-01-13,54337.94514790008,50000.0,50000.0
2025-01-14,55649.02512450095,50000.0,50000.0
2025-01-15,58936.50781221619,50000.0,50000.0
2025-01-16,58610.17595584023,50000.0,50000.0
2025-01-17,60397.240473271515,50000.0,50000.0
2025-01-21,62477.29766771419,50000.0,50000.0
2025-01-22,62391.69019521642,50000.0,50000.0
2025-01-23,59885.34939486843,47971.446623335636,49492.861655833905
2025-01-24,58951.11533591152,47952.2580446863,49487.91236966833
2025-01-27,51861.83419578921,47952.2580446863,49487.91236966833
2025-01-28,50274.056519070524,47952.2580446863,49487.91236966833
2025-01-29,50716.011362773585,47952.2580446863,49487.91236966833
2025-01-30,52685.456597254066,47952.2580446863,49487.91236966833
2025-01-31,51965.62427559166,47952.2580446863,49487.91236966833
2025-02-03,51234.95237523517,47952.2580446863,49487.91236966833
2025-02-04,51665.55475266146,47952.2580446863,49487.91236966833
2025-02-05,53346.47992014129,47952.2580446863,49487.91236966833
2025-02-06,53884.83090124059,47952.2580446863,49487.91236966833
2025-02-07,52628.70044166917,47952.2580446863,49487.91236966833
2025-02-10,54683.579609133936,47952.2580446863,49487.91236966833
2025-02-11,53627.27849805025,47952.2580446863,49487.91236966833
2025-02-12,52318.52329358579,47952.2580446863,49487.91236966833
2025-02-13,54581.29143025475,47952.2580446863,49487.91236966833
2025-02-14,56766.00765165697,47952.2580446863,49487.91236966833
2025-02-18,60840.85040830212,47952.2580446863,49487.91236966833
2025-02-19,59448.65445297788,47952.2580446863,49487.91236966833
2025-02-20,58774.794794667985,47952.2580446863,49487.91236966833
2025-02-21,56314.720740721044,47952.2580446863,49487.91236966833
2025-02-24,54398.19844161209,47952.2580446863,49487.91236966833
2025-02-25,53150.79472503738,47952.2580446863,49487.91236966833
2025-02-26,55682.591996901734,50217.24611251267,50072.2932496807
2025-02-27,52330.58353926156,47194.243273530126,49318.72402612647
2025-02-28,53375.65275158857,47175.3655762207,49313.792153723865
2025-03-03,51682.497569573825,45660.02258945075,48917.78404558084
2025-03-04,52061.38738661965,45641.75858041497,48912.89226717628
2025-03-05,53840.97086267746,45641.75858041497,48912.89226717628
2025-03-06,50911.929795904056,45641.75858041497,48912.89226717628
2025-03-07,52999.18522584376,45641.75858041497,48912.89226717628
2025-03-10,49593.007355098656,45641.75858041497,48912.89226717628
2025-03-11,50708.8307487451,45641.75858041497,48912.89226717628
2025-03-12,54394.69195907273,45641.75858041497,48912.89226717628
2025-03-13,53967.72363742301,45641.75858041497,48912.89226717628
2025-03-14,57283.860074668635,45641.75858041497,48912.89226717628
2025-03-17,58599.32110794113,45641.75858041497,48912.89226717628
2025-03-18,57808.14270928252,45641.75858041497,48912.89226717628
2025-03-19,58007.65149110163,45641.75858041497,48912.89226717628
2025-03-20,58545.736589670385,45641.75858041497,48912.89226717628
2025-03-21,53742.65704416613,45641.75858041497,48912.89226717628
2025-03-24,54995.39800281732,45641.75858041497,48912.89226717628
2025-03-25,53420.6513251424,45641.75858041497,48912.89226717628
2025-03-26,52299.46591685237,45641.75858041497,48912.89226717628
2025-03-27,51749.283035884044,45641.75858041497,48912.89226717628
2025-03-28,50196.41448383817,45641.75858041497,48912.89226717628
2025-03-31,49394.55818489975,45641.75858041497,48912.89226717628
2025-04-01,50427.287436796185,45641.75858041497,48912.89226717628
2025-04-02,50379.90781496161,45641.75858041497,48912.89226717628
2025-04-03,41937.15747008842,45641.75858041497,48912.89226717628
2025-04-04,36335.55024560986,45641.75858041497,48912.89226717628
2025-04-07,38415.094648070895,45641.75858041497,48912.89226717628
2025-04-08,36978.60364673227,45641.75858041497,48912.89226717628
2025-04-09,43869.722278207904,45641.75858041497,48912.89226717628
2025-04-10,39361.92572691356,45641.75858041497,48912.89226717628
2025-04-11,39085.155606617096,45641.75858041497,48912.89226717628
2025-04-14,40051.90113466028,45641.75858041497,48912.89226717628
2025-04-15,40063.248900416984,45641.75858041497,48912.89226717628
2025-04-16,39135.03772098996,45641.75858041497,48912.89226717628
2025-04-17,38850.452281291735,45641.75858041497,48912.89226717628
2025-04-21,37678.3578215325,45641.75858041497,48912.89226717628
