strategy,month,pnl_usd
MU_buy_hold,2025-01,1965.624275591661
MU_buy_hold,2025-02,1410.0284759969072
MU_buy_hold,2025-03,-3981.0945666888147
MU_buy_hold,2025-04,-5910.595976543249
MU_buy_hold,2025-05,9993.525515660702
MU_buy_hold,2025-06,16284.964979096665
MU_buy_hold,2025-07,-8034.830991198847
MU_buy_hold,2025-08,5584.4516251018795
MU_buy_hold,2025-09,27061.363577978424
MU_buy_hold,2025-10,32262.181562422382
MU_buy_hold,2025-11,6913.955898222048
MU_buy_hold,2025-12,28449.04456293778
MU_buy_hold,2026-01,72735.89230877493
MU_buy_hold,2026-02,-1240.212014161225
MU_buy_hold,2026-03,-41730.643217264995
MU_buy_hold,2026-04,102956.19266840818
MU_buy_hold,2026-05,253417.48624434287
MU_buy_hold,2026-06,96864.54797682294
MU_buy_hold,2026-07,-184615.9275488766
MU_buy_hold,2026-08,34582.149833181116
S12_full,2025-01,-2047.7419553137006
S12_full,2025-02,-776.8924684656013
S12_full,2025-03,-1533.606995805727
S12_full,2025-04,0.0
S12_full,2025-05,1098.014876992056
S12_full,2025-06,14233.196178042279
S12_full,2025-07,-5725.527629306736
S12_full,2025-08,-2079.672222394962
S12_full,2025-09,21374.952180488173
S12_full,2025-10,15319.54157750764
S12_full,2025-11,-2446.5978862372285
S12_full,2025-12,0.0
S12_full,2026-01,0.0
S12_full,2026-02,0.0
S12_full,2026-03,-8899.703348519033
S12_full,2026-04,2062.5211937664426
S12_full,2026-05,15773.274141165908
S12_full,2026-06,0.0
S12_full,2026-07,0.0
S12_full,2026-08,0.0
L1+L4,2025-01,-512.0876303316691
L1+L4,2025-02,-174.1202159444656
L1+L4,2025-03,-400.8998865475878
L1+L4,2025-04,0.0
L1+L4,2025-05,-145.67781230883702
L1+L4,2025-06,14850.592526412627
L1+L4,2025-07,-5973.885047177551
L1+L4,2025-08,-33.680320415740425
L1+L4,2025-09,23160.95191894516
L1+L4,2025-10,10460.546236146285
L1+L4,2025-11,-1171.0252682666905
L1+L4,2025-12,0.0
L1+L4,2026-01,0.0
L1+L4,2026-02,0.0
L1+L4,2026-03,-2333.8478520489443
L1+L4,2026-04,577.0474661982298
L1+L4,2026-05,9215.102628456982
L1+L4,2026-06,0.0
L1+L4,2026-07,0.0
L1+L4,2026-08,0.0
