pair,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
L1_time+L2_price,-376.52298267831304,840.7540077539597,150.57906871519322,-296.8850931303696,-363.0574085531113,466.14294384691016,519.354381804173,-758.9296426837717,856.4740495609695,673.0655036872939,-31.60112760802963,-139.58554386031102
L1_time+L3_pullback,39.33000200401379,979.2683625118298,424.977768381122,-577.4614155822736,-98.8263825467593,444.77128316935625,59.74384908366549,-490.12230890568395,407.58576607914443,539.8231570443857,163.8543633577392,147.8724284169772
L1_time+L4_regime,28.71413211010252,1658.4394687094632,683.0656020186595,-1002.7415208135853,-397.4994383487824,884.3927154012777,341.26554316095314,-1097.4735263920982,749.4417500940107,813.785295900724,-185.32831353817505,179.18315730963707
L1_time+L5_pyramid,-205.68797321809862,1380.8853812993943,216.9206859244345,-606.6589779810195,-200.55149287189815,695.021650895518,348.41697149569023,-639.9583702698696,616.4315355479125,599.1806229359584,-44.68457534756121,-120.54916464676147
L2_price+L3_pullback,-118.9612032433955,495.9157628029296,159.1941719830221,-201.1548404990065,-148.8658327193404,146.010150059501,153.8029825729107,-360.5730687378077,446.49706995071494,448.8577820028232,95.4496013637841,0.15728265603891486
L2_price+L4_regime,-334.57210635493124,864.8718586385753,-34.561528581951386,-406.0516993661411,-439.533189502302,296.7901239508689,482.69570985769366,-740.9074150379705,999.5797940032164,605.7661059704599,-191.70535264945622,-61.60237822610676
L2_price+L5_pyramid,-373.1312865108861,737.3683319690025,-45.38309262457497,-314.0544464221617,-236.60890067938607,309.6740414514745,398.777539555713,-536.5161807799307,807.9034970863173,613.6393954856338,-9.939203655568535,-143.31071546825476
L3_pullback+L4_regime,39.33000200401441,952.9878808304815,403.5958861899037,-577.871786169001,-98.49097775058097,433.2977188167005,62.368607922036254,-484.2059147724043,406.6570783037761,492.8627965342564,11.103115323623488,148.72626764062522
L3_pullback+L5_pyramid,-28.77377624799231,911.658812899418,172.5457323854575,-449.9557939772458,-111.52795395496902,336.5692723984976,96.5696195341827,-375.5070386938351,371.24786565500074,379.52624935721565,114.20202387574798,36.731760958786545
L4_regime+L5_pyramid,-151.40525447181216,1341.5869302751976,47.55190923665418,-709.0692400084521,-201.76719585471602,497.7864802082903,315.1175782846712,-603.358703688031,716.2453574494735,567.1901666190932,-197.98843489899818,-52.8709836826152
