pair,n_runs,avg_total_pnl_usd,med_total_pnl_usd,avg_total_ret,avg_basket_ret,qqq_ret,avg_vs_qqq,pct_beat_qqq,pct_runs_pos,best_month_avg_pnl,worst_month_avg_pnl
L1_time+L4_regime,100,2655.244865612187,2804.831830550135,0.05310489731224373,0.05310489731224374,0.2481105102115162,-0.19500561289927243,0.0,0.79,1658.4394687094632,-1097.4735263920982
L1_time+L3_pullback,100,2040.816873013517,1987.3756872947931,0.04081633746027034,0.04081633746027034,0.2481105102115162,-0.20729417275124587,0.0,0.86,979.2683625118298,-577.4614155822736
L1_time+L5_pyramid,100,2038.7662937636994,1601.5492764205896,0.040775325875273986,0.040775325875274,0.2481105102115162,-0.20733518433624223,0.0,0.76,1380.8853812993943,-639.9583702698696
L3_pullback+L4_regime,100,1790.3606748734312,1731.1983151122654,0.035807213497468626,0.035807213497468626,0.2481105102115162,-0.21230329671404757,0.0,0.85,952.9878808304815,-577.871786169001
L4_regime+L5_pyramid,100,1569.0186094687556,1332.9408652437419,0.03138037218937511,0.031380372189375116,0.2481105102115162,-0.2167301380221411,0.0,0.74,1341.5869302751976,-709.0692400084521
L1_time+L2_price,100,1539.7881568545936,1308.061960993762,0.030795763137091873,0.030795763137091873,0.2481105102115162,-0.21731474707442433,0.0,0.66,856.4740495609695,-758.9296426837717
L3_pullback+L5_pyramid,100,1453.2867741902646,1294.0408047165624,0.029065735483805293,0.029065735483805293,0.2481105102115162,-0.21904477472771092,0.0,0.82,911.658812899418,-449.9557939772458
L2_price+L5_pyramid,100,1208.4189794073784,709.984092197471,0.024168379588147566,0.024168379588147576,0.2481105102115162,-0.22394213062336862,0.0,0.68,807.9034970863173,-536.5161807799307
L2_price+L3_pullback,100,1116.3298581921745,667.085443681422,0.02232659716384349,0.022326597163843477,0.2481105102115162,-0.2257839130476727,0.0,0.69,495.9157628029296,-360.5730687378077
L2_price+L4_regime,100,1040.769922701955,1052.7427513303865,0.020815398454039097,0.020815398454039097,0.2481105102115162,-0.2272951117574771,0.0,0.68,999.5797940032164,-740.9074150379705
