symbol,strategy,datetime,side,open,close,position_after
AAPL,sma_rs5_entry,2026-05-26,BUY,309.56,308.33,1.0
AAPL,sma_rs5_entry,2026-06-17,SELL,300.85,295.95,0.0
AAPL,sma_rs5_entry,2026-07-14,BUY,313.76,314.86,1.0
AAPL,regime_rs5_entry,2026-05-26,BUY,309.56,308.33,1.0
AAPL,regime_rs5_entry,2026-06-24,SELL,295.36,293.08,0.0
AAPL,regime_rs5_entry,2026-07-27,BUY,334.54,336.91,1.0
AAPL,regime_rs5_entry,2026-08-03,SELL,309.58,303.42,0.0
GOOGL,sma_rs5_entry,2026-04-24,BUY,338.5278,344.1944,1.0
GOOGL,sma_rs5_entry,2026-06-05,SELL,366.1213,368.31,0.0
GOOGL,regime_rs5_entry,2026-04-27,BUY,345.7735,350.1309,1.0
GOOGL,regime_rs5_entry,2026-05-01,SELL,381.4022,385.4598,0.0
GOOGL,regime_rs5_entry,2026-05-11,BUY,393.415,388.408,1.0
GOOGL,regime_rs5_entry,2026-05-12,SELL,387.1088,387.1188,0.0
GOOGL,regime_rs5_entry,2026-05-14,BUY,397.0429,400.8306,1.0
GOOGL,regime_rs5_entry,2026-06-11,SELL,355.93,357.77,0.0
META,sma_rs5_entry,2026-04-27,BUY,670.3787,677.9916,1.0
META,sma_rs5_entry,2026-05-12,SELL,594.2692,602.4417,0.0
META,sma_rs5_entry,2026-07-13,BUY,661.38,656.73,1.0
META,sma_rs5_entry,2026-08-03,SELL,562.24,590.24,0.0
META,regime_rs5_entry,2026-04-27,BUY,670.3787,677.9916,1.0
META,regime_rs5_entry,2026-05-13,SELL,598.2755,616.059,0.0
CSCO,sma_rs5_entry,2026-03-26,BUY,81.3235,81.4127,1.0
CSCO,sma_rs5_entry,2026-06-29,SELL,114.5515,117.2613,0.0
CSCO,sma_rs5_entry,2026-08-06,BUY,121.48,120.88,1.0
CSCO,regime_rs5_entry,2026-04-08,BUY,82.0032,83.388,1.0
CSCO,regime_rs5_entry,2026-05-15,SELL,114.1828,117.7694,0.0
GE,sma_rs5_entry,2026-06-08,BUY,329.1597,321.6391,1.0
GE,sma_rs5_entry,2026-07-22,SELL,340.71,341.19,0.0
GE,sma_rs5_entry,2026-08-06,BUY,383.97,374.55,1.0
GE,regime_rs5_entry,2026-06-08,BUY,329.1597,321.6391,1.0
GE,regime_rs5_entry,2026-07-30,SELL,354.75,355.04,0.0
GE,regime_rs5_entry,2026-08-06,BUY,383.97,374.55,1.0
TXN,sma_rs5_entry,2026-04-10,BUY,214.1895,212.5562,1.0
TXN,sma_rs5_entry,2026-06-12,SELL,297.4669,299.5861,0.0
TXN,regime_rs5_entry,2026-04-15,BUY,215.3575,214.1004,1.0
TXN,regime_rs5_entry,2026-04-24,SELL,284.9161,274.3344,0.0
TXN,regime_rs5_entry,2026-05-27,BUY,329.7616,315.8329,1.0
TXN,regime_rs5_entry,2026-06-03,SELL,307.0678,307.018,0.0
LIN,sma_rs5_entry,2026-04-08,BUY,486.4617,498.9024,1.0
LIN,sma_rs5_entry,2026-05-13,SELL,502.6206,511.6421,0.0
LIN,sma_rs5_entry,2026-06-29,BUY,519.12,511.06,1.0
LIN,sma_rs5_entry,2026-07-22,SELL,506.85,508.67,0.0
LIN,regime_rs5_entry,2026-03-31,BUY,494.576,494.1972,1.0
LIN,regime_rs5_entry,2026-07-24,SELL,505.45,512.28,0.0
PDD,sma_rs5_entry,2026-07-16,BUY,86.68,86.68,1.0
PDD,regime_rs5_entry,2026-07-17,BUY,84.33,84.14,1.0
SBUX,sma_rs5_entry,2026-06-29,BUY,104.81,104.06,1.0
SBUX,sma_rs5_entry,2026-08-04,SELL,103.06,104.97,0.0
SBUX,regime_rs5_entry,2026-06-30,BUY,103.98,102.19,1.0
APP,sma_rs5_entry,2026-03-17,BUY,450.32,459.09,1.0
APP,sma_rs5_entry,2026-03-30,SELL,380.71,372.08,0.0
APP,sma_rs5_entry,2026-05-07,BUY,454.875,498.87,1.0
APP,sma_rs5_entry,2026-06-22,SELL,457.34,469.39,0.0
APP,regime_rs5_entry,2026-05-07,BUY,454.875,498.87,1.0
APP,regime_rs5_entry,2026-06-23,SELL,462.96,467.02,0.0
