datetime,equity_usd
2025-01-02,49662.180126941355
2025-01-03,50323.777803715624
2025-01-06,50795.95983445838
2025-01-07,50056.92845425125
2025-01-08,50064.08371923607
2025-01-10,49420.039946802935
2025-01-13,49294.40438683725
2025-01-14,49265.316770901576
2025-01-15,49830.31556967731
2025-01-16,49656.68256168839
2025-01-17,50077.54441499225
2025-01-21,50224.598508514
2025-01-22,50579.75483334386
2025-01-23,50640.76057542576
2025-01-24,50480.91284436588
2025-01-27,49665.559164165985
2025-01-28,50029.91043598494
2025-01-29,49948.21671458483
2025-01-30,50119.05557671185
2025-01-31,50063.3199076583
2025-02-03,49748.458332394795
2025-02-04,50237.23964671567
2025-02-05,50421.8289508159
2025-02-06,50632.50646911708
2025-02-07,50121.43841936472
2025-02-10,50606.22414145033
2025-02-11,50501.03917714849
2025-02-12,50531.838973647755
2025-02-13,51153.97594006156
2025-02-14,51338.19307826571
2025-02-18,51438.12647166818
2025-02-19,51448.43070817443
2025-02-20,51244.31375073812
2025-02-21,50253.519763503224
2025-02-24,49702.02109344325
2025-02-25,49147.25170372343
2025-02-26,49252.13414827286
2025-02-27,48058.19725686907
2025-02-28,48726.590049872546
2025-03-03,47795.77773803215
2025-03-04,47712.40731912538
2025-03-05,48042.687799616644
2025-03-06,47335.35137610291
2025-03-07,47520.91459122314
2025-03-10,46532.27172370329
2025-03-11,46481.64582995331
2025-03-12,46704.97765347764
2025-03-13,46348.99746789795
2025-03-14,46820.177230076035
2025-03-17,46948.632004217616
2025-03-18,46627.21062388015
2025-03-19,46874.15620115118
2025-03-20,46811.855876642614
2025-03-21,46875.98555923917
2025-03-24,47282.59583077794
2025-03-25,47379.95059608182
2025-03-26,47056.68383187698
2025-03-27,46957.35195592641
2025-03-28,46498.40883727018
2025-03-31,46501.57881736141
2025-04-01,46640.97286604153
2025-04-02,46772.10480523739
2025-04-03,45836.51974092562
2025-04-04,44766.45756154382
2025-04-07,44826.626944489355
2025-04-08,44568.845231066865
2025-04-09,46443.44787830666
2025-04-10,45745.017357034674
2025-04-11,46041.189172748025
2025-04-14,46155.77569436377
2025-04-15,46173.8297851417
2025-04-16,45683.10773652061
2025-04-17,45680.96797300377
2025-04-21,45282.84082567905
2025-04-22,45696.21295538209
2025-04-23,46062.80239018817
2025-04-24,46514.806589393236
2025-04-25,46696.456544289525
2025-04-28,46691.28911326493
2025-04-29,46800.10285355885
2025-04-30,46803.200381733775
2025-05-01,47018.13059834474
2025-05-02,47261.6234002607
2025-05-05,47163.884532358046
2025-05-06,47011.17205728529
2025-05-07,47075.71001606176
2025-05-08,47245.916003347884
2025-05-09,47235.377057426835
2025-05-12,48477.86365613009
2025-05-13,48762.00398432737
2025-05-14,48876.76689923127
2025-05-15,48898.313904677074
2025-05-16,49039.232366232434
2025-05-19,49078.985833687024
2025-05-20,48939.49834851534
2025-05-21,48373.152610292906
2025-05-22,48448.24029759663
2025-05-23,48079.60442698175
2025-05-27,49012.93482723139
2025-05-28,48833.13210274383
2025-05-29,48919.846628252715
2025-05-30,48855.793087087026
2025-06-02,49177.69653872266
2025-06-03,49496.527373581666
2025-06-04,49610.961402343426
2025-06-05,49302.18692401748
2025-06-06,49702.19225656548
2025-06-09,49762.889957080595
2025-06-10,50040.31346330308
2025-06-11,49897.569178788566
2025-06-12,49997.726838797564
2025-06-13,49463.16947033752
2025-06-16,50046.363277189164
2025-06-17,49552.877907634545
2025-06-18,49544.64778127682
2025-06-20,49345.47645646714
2025-06-23,49852.36933335777
2025-06-24,50612.070697599556
2025-06-25,50741.817170044415
2025-06-26,51215.179085464304
2025-06-27,51390.37228490359
2025-06-30,51723.028155069616
2025-07-01,51286.13189018115
2025-07-02,51644.02773465626
2025-07-03,52150.98691912795
2025-07-07,51757.45785965599
2025-07-08,51786.75682803736
2025-07-09,52152.711183546424
2025-07-10,52077.868124935456
2025-07-11,51960.99763304641
2025-07-14,52149.52555804912
2025-07-15,52199.73038452446
2025-07-16,52253.17367348232
2025-07-17,52675.58296522463
2025-07-18,52625.35992533673
2025-07-21,52897.91668983471
2025-07-22,52624.20203393315
2025-07-23,52863.97258352717
2025-07-24,52976.51004846131
2025-07-25,53104.04306649478
2025-07-28,53269.919060296445
2025-07-29,53188.90809147188
2025-07-30,53260.19257110436
2025-07-31,52988.1041266737
2025-08-01,51939.16362401304
2025-08-04,52893.148169800304
2025-08-05,52535.121138969705
2025-08-06,53195.31289751095
2025-08-07,53377.074450214895
2025-08-08,53874.17792433133
2025-08-11,53714.810993115134
2025-08-12,54388.10022885713
2025-08-13,54416.3437313461
2025-08-14,54374.68930140316
2025-08-15,54135.546701660125
2025-08-18,54114.07407072145
2025-08-19,53379.047699339186
2025-08-20,53061.74093376614
2025-08-21,52815.80241615523
2025-08-22,53628.92427203438
2025-08-25,53474.202574406496
2025-08-26,53689.13236897743
2025-08-27,53771.967738890344
2025-08-28,54108.27716489815
2025-08-29,53480.26110320641
2025-09-02,53038.631272199425
2025-09-03,53455.415540597845
2025-09-04,53938.77277684726
2025-09-05,54020.36778969282
2025-09-08,54283.69355286383
2025-09-09,54437.37070793153
2025-09-10,54456.76513238393
2025-09-11,54773.39396444627
2025-09-12,55015.08923685035
2025-09-15,55484.926983549216
2025-09-16,55438.242516336366
2025-09-17,55327.58173794015
2025-09-18,55826.1498188606
2025-09-19,56203.4198016035
2025-09-22,56536.78981749649
2025-09-23,56161.368155647586
2025-09-24,55964.95918040918
2025-09-25,55724.500241178575
2025-09-26,55953.37095442652
2025-09-29,56212.68237656619
2025-09-30,56366.74777163866
2025-10-01,56640.199219469905
2025-10-02,56873.837741004216
2025-10-03,56634.81343528262
2025-10-06,57060.75142977394
2025-10-07,56761.20498898449
2025-10-08,57411.05895509578
2025-10-09,57341.58176587633
2025-10-10,55353.3695198516
2025-10-13,56524.32483010083
2025-10-14,56179.01120243599
2025-10-15,56543.23832849858
2025-10-16,56353.785663211274
2025-10-17,56694.10079622369
2025-10-20,57345.68085351205
2025-10-21,57331.96275630151
2025-10-22,56826.22405597731
2025-10-23,57263.73739063549
2025-10-24,57822.32883624598
2025-10-27,58760.80717719547
2025-10-28,59142.297127657854
2025-10-29,59369.34161557233
2025-10-30,58592.54011763469
2025-10-31,58838.776632359164
2025-11-03,59081.159288372524
2025-11-04,58082.89261927821
2025-11-05,58395.839841021785
2025-11-06,57494.707389448886
2025-11-07,57345.34616298783
2025-11-10,58389.23044739926
2025-11-11,58250.3726675449
2025-11-12,58211.73939791137
2025-11-13,57165.61423158831
2025-11-14,57214.81173525826
2025-11-17,56785.54100207086
2025-11-18,56193.49236429815
2025-11-19,56478.419111974385
2025-11-20,55761.53175000976
2025-11-21,55991.59611592097
2025-11-24,56774.87517825484
2025-11-25,56941.735102457525
2025-11-26,57184.71587156053
2025-11-28,57408.62595290253
2025-12-01,57316.76996326087
2025-12-02,57533.40034582701
2025-12-03,57602.10526178363
2025-12-04,57576.37919042212
2025-12-05,57689.86125555435
2025-12-08,57595.57183581501
2025-12-09,57653.54703798364
2025-12-10,57856.15938189732
2025-12-11,57696.88754118269
2025-12-12,56749.32053372375
2025-12-15,56510.35812160237
2025-12-16,56610.526875136435
2025-12-17,55656.97438774193
2025-12-18,56392.448307169696
2025-12-19,57060.01413408349
2025-12-22,57310.62113419109
2025-12-23,57478.44169550993
2025-12-24,57587.4849285595
2025-12-26,57585.14818510741
2025-12-29,57404.707406867965
2025-12-30,57263.35645237774
2025-12-31,56790.214746084246
2026-01-02,56686.1542292937
2026-01-05,57137.641590640174
2026-01-06,57638.91115263918
2026-01-07,57694.44429249341
2026-01-08,57365.84451517197
2026-01-09,57936.48874749813
2026-01-12,57987.695158305105
2026-01-13,57901.724480984034
2026-01-14,57281.571397857035
2026-01-15,57492.76809821626
2026-01-16,57447.01579021404
2026-01-20,56222.41866577253
2026-01-21,56980.99800732257
2026-01-22,57396.64845117572
2026-01-23,57578.3332954419
2026-01-26,57831.52069027738
2026-01-27,58354.653841553794
2026-01-28,58549.302700283035
2026-01-29,58198.60084008853
2026-01-30,57497.475698393246
2026-02-02,57895.80644665356
2026-02-03,57010.04004757907
2026-02-04,56012.0342031009
2026-02-05,55203.010958091305
2026-02-06,56365.285037448346
2026-02-09,56799.227474796964
2026-02-10,56635.48534419991
2026-02-11,56726.22855903632
2026-02-12,56049.77404566709
2026-02-13,56120.03719244527
2026-02-17,56086.99289016608
2026-02-18,56317.02430633658
2026-02-19,56197.28855904769
2026-02-20,56476.24821877381
2026-02-23,56093.65997594722
2026-02-24,56454.03772188659
2026-02-25,56946.26088316521
2026-02-26,56530.93663003959
2026-02-27,56424.22890794382
2026-03-02,56476.37994593537
2026-03-03,56131.23996760329
2026-03-04,56622.49309509003
2026-03-05,56524.695977131865
2026-03-06,56034.55422975033
2026-03-09,56472.31963367751
2026-03-10,56469.86661894746
2026-03-11,56465.269092135815
2026-03-12,55844.97148474812
2026-03-13,55635.498784341835
2026-03-16,56033.021720184275
2026-03-17,56207.2499916455
2026-03-18,55706.72886081984
2026-03-19,55596.447586132526
2026-03-20,54939.820247887474
2026-03-23,55344.102582371655
2026-03-24,55117.486815992925
2026-03-25,55332.30009602182
2026-03-26,54547.499069722246
2026-03-27,53915.35533040946
2026-03-30,53676.199451510256
2026-03-31,54679.14059372788
2026-04-01,55054.52301474435
2026-04-02,55100.12503737324
2026-04-06,55284.6736475664
2026-04-07,55285.8265380745
2026-04-08,56062.64287326723
2026-04-09,56241.035775454824
2026-04-10,56279.26783107336
2026-04-13,56553.88352005565
2026-04-14,57006.07029626305
2026-04-15,57592.39490262233
2026-04-16,57798.60114605496
2026-04-17,58359.70220605685
2026-04-20,58221.6998460638
2026-04-21,58049.171380584274
2026-04-22,58795.05355365026
2026-04-23,58539.30735297481
2026-04-24,59398.79762236074
2026-04-27,59422.988295756586
2026-04-28,58891.33966603273
2026-04-29,59208.90921022464
2026-04-30,59695.486770089585
2026-05-01,60200.719405713586
2026-05-04,60100.67203833636
2026-05-05,60849.10400001763
2026-05-06,62065.8019990381
2026-05-07,61994.339656229415
2026-05-08,63393.21602072826
2026-05-11,63571.15077354981
2026-05-12,63048.92804340362
2026-05-13,63691.586318830625
2026-05-14,64129.5815201764
2026-05-15,63192.144528330355
2026-05-18,62930.926066393964
2026-05-19,62577.39242480229
2026-05-20,63513.7104761075
2026-05-21,63626.131511827014
2026-05-22,63870.95964276081
2026-05-26,64895.03657759378
2026-05-27,64829.20196430065
2026-05-28,65324.540513034925
2026-05-29,65542.60825555466
2026-06-01,65899.9378823883
2026-06-02,66187.12524561168
2026-06-03,66022.2114285537
2026-06-04,65722.12559094603
2026-06-05,62676.2825741679
2026-06-08,63614.35610192402
2026-06-09,63058.9746218298
2026-06-10,62091.36057217866
2026-06-11,63684.562846273795
2026-06-12,63850.675209356086
2026-06-15,64776.54382579302
2026-06-16,64311.70358581179
2026-06-17,64072.679119007276
2026-06-18,64670.65295146872
2026-06-22,64610.37996834787
2026-06-23,63860.85502597863
2026-06-24,63766.257446179254
2026-06-25,63953.56398807839
2026-06-26,63645.05158926906
2026-06-29,64195.69399501332
2026-06-30,64578.16152609591
2026-07-01,64232.05366638656
2026-07-02,63842.36501500262
2026-07-06,64162.09764102317
2026-07-07,63744.06395849144
2026-07-08,63808.610556800704
2026-07-09,64179.01176511627
2026-07-10,64248.84335936917
2026-07-13,63819.77896907567
2026-07-14,64069.62140694642
2026-07-15,64009.92116507009
2026-07-16,63639.85480244091
2026-07-17,63307.28979287
2026-07-20,63332.45711601383
2026-07-21,63834.31645496921
2026-07-22,63694.19676263893
