window,strategy,month,pnl_usd
primary_2025_to_now,QQQ_buy_hold,2025-01,1197.8613163553964
primary_2025_to_now,QQQ_buy_hold,2025-02,-1352.765351316957
primary_2025_to_now,QQQ_buy_hold,2025-03,-3798.934707527238
primary_2025_to_now,QQQ_buy_hold,2025-04,727.7260237492301
primary_2025_to_now,QQQ_buy_hold,2025-05,4310.190064580296
primary_2025_to_now,QQQ_buy_hold,2025-06,3261.228742942403
primary_2025_to_now,QQQ_buy_hold,2025-07,1329.2195241799127
primary_2025_to_now,QQQ_buy_hold,2025-08,517.1086062530958
primary_2025_to_now,QQQ_buy_hold,2025-09,3032.8273043049267
primary_2025_to_now,QQQ_buy_hold,2025-10,2839.2519394163755
primary_2025_to_now,QQQ_buy_hold,2025-11,-929.9200767822331
primary_2025_to_now,QQQ_buy_hold,2025-12,-395.62229096741066
primary_2025_to_now,QQQ_buy_hold,2026-01,756.4284960421137
primary_2025_to_now,QQQ_buy_hold,2026-02,-1431.058101493305
primary_2025_to_now,QQQ_buy_hold,2026-03,-2892.0890557522653
primary_2025_to_now,QQQ_buy_hold,2026-04,8984.201408856206
primary_2025_to_now,QQQ_buy_hold,2026-05,6967.151809925839
primary_2025_to_now,QQQ_buy_hold,2026-06,-151.88371262564033
primary_2025_to_now,QQQ_buy_hold,2026-07,-4810.842608353763
primary_2025_to_now,QQQ_buy_hold,2026-08,2629.5539316392533
primary_2025_to_now,S12_full,2025-01,-440.6417557952809
primary_2025_to_now,S12_full,2025-02,-1309.472328385098
primary_2025_to_now,S12_full,2025-03,-1062.493221402845
primary_2025_to_now,S12_full,2025-04,0.0
primary_2025_to_now,S12_full,2025-05,1873.296877486704
primary_2025_to_now,S12_full,2025-06,3132.0548259543575
primary_2025_to_now,S12_full,2025-07,1276.570505662945
primary_2025_to_now,S12_full,2025-08,496.6264661019304
primary_2025_to_now,S12_full,2025-09,2912.700133436214
primary_2025_to_now,S12_full,2025-10,2726.792089697483
primary_2025_to_now,S12_full,2025-11,-2788.125948495079
primary_2025_to_now,S12_full,2025-12,-1138.6978821052035
primary_2025_to_now,S12_full,2026-01,693.4171096146238
primary_2025_to_now,S12_full,2026-02,-702.7736989215773
primary_2025_to_now,S12_full,2026-03,0.0
primary_2025_to_now,S12_full,2026-04,3433.6746486151605
primary_2025_to_now,S12_full,2026-05,6224.397260458718
primary_2025_to_now,S12_full,2026-06,-1924.680546030184
primary_2025_to_now,S12_full,2026-07,0.0
primary_2025_to_now,S12_full,2026-08,0.0
primary_2025_to_now,CoreSat_SoftVol,2025-01,408.63821945997915
primary_2025_to_now,CoreSat_SoftVol,2025-02,-1342.4934105671564
primary_2025_to_now,CoreSat_SoftVol,2025-03,-2235.809369856528
primary_2025_to_now,CoreSat_SoftVol,2025-04,305.00471255539014
primary_2025_to_now,CoreSat_SoftVol,2025-05,2071.924124144025
primary_2025_to_now,CoreSat_SoftVol,2025-06,2890.3347625352253
primary_2025_to_now,CoreSat_SoftVol,2025-07,1274.2433668776503
primary_2025_to_now,CoreSat_SoftVol,2025-08,495.72113521269057
primary_2025_to_now,CoreSat_SoftVol,2025-09,2907.3903934568007
primary_2025_to_now,CoreSat_SoftVol,2025-10,2492.3654628763616
primary_2025_to_now,CoreSat_SoftVol,2025-11,-1434.5738323119149
primary_2025_to_now,CoreSat_SoftVol,2025-12,-617.0775136432057
primary_2025_to_now,CoreSat_SoftVol,2026-01,712.5595149356668
primary_2025_to_now,CoreSat_SoftVol,2026-02,-1077.714946940745
