date,side,weight_from,weight_to,delta_weight,price_open,notional_usd,approx_shares,cost_usd,equity_before_usd,equity_after_usd,held_weight_after
2025-01-02,BUY,0.0,0.8172,0.8172,510.4994,40857.7,80.0348,14.49,50000.0,49662.18,0.8172
2025-01-14,SELL,0.8172,0.5009,-0.3162,504.9805,15587.25,30.867,6.76,49294.4,49265.32,0.5009
2025-01-22,BUY,0.5009,0.559,0.0581,525.6566,2916.05,5.5474,2.88,50224.6,50579.75,0.559
2025-01-28,SELL,0.559,0.5011,-0.0579,511.4126,2875.07,5.6218,2.87,49665.56,50029.91,0.5011
2025-01-29,BUY,0.5011,0.8011,0.3,518.5992,15008.97,28.9414,6.58,50029.91,49948.22,0.8011
2025-02-11,BUY,0.8011,0.8579,0.0568,522.0733,2875.39,5.5076,2.87,50606.22,50501.04,0.8579
2025-02-19,BUY,0.8579,0.9338,0.0759,534.59,3901.99,7.299,3.18,51438.13,51448.43,0.9338
2025-02-25,SELL,0.9338,0.8805,-0.0533,515.4029,2650.15,5.1419,2.8,49702.02,49147.25,0.8805
2025-03-04,SELL,0.8805,0.5316,-0.3488,490.5281,16672.75,33.9894,7.09,47795.78,47712.41,0.5316
2025-03-11,SELL,0.5316,0.4231,-0.1085,468.8594,5050.14,10.7711,3.54,46532.27,46481.65,0.4231
2025-03-18,SELL,0.4231,0.397,-0.0261,475.8672,1225.92,2.5762,2.37,46948.63,46627.21,0.397
2025-03-25,SELL,0.397,0.37,-0.027,488.4862,1275.12,2.6104,2.38,47282.6,47379.95,0.37
2025-04-08,SELL,0.37,0.35,-0.02,435.5706,897.92,2.0615,2.27,44826.63,44568.85,0.35
2025-05-12,BUY,0.35,0.65,0.3,503.9939,14170.61,28.1166,6.33,47235.38,48477.86,0.65
2025-05-13,SELL,0.65,0.3933,-0.2567,506.1511,12446.08,24.5897,5.8,48477.86,48762.0,0.3933
2025-05-16,BUY,0.3933,0.6933,0.3,517.5831,14669.49,28.3423,6.48,48898.31,49039.23,0.6933
2025-05-20,BUY,0.6933,0.8299,0.1366,516.4002,6704.31,12.9828,4.04,49078.99,48939.5,0.8299
2025-06-10,BUY,0.8299,0.8506,0.0207,528.031,1029.91,1.9505,2.3,49762.89,50040.31,0.8506
2025-06-17,BUY,0.8506,1.0,0.1494,528.5678,7478.86,14.1493,4.28,50046.36,49552.88,1.0
2025-10-14,SELL,1.0,0.9149,-0.0851,593.1435,4811.47,8.1118,3.46,56524.32,56179.01,0.9149
2025-10-28,SELL,0.9149,0.8528,-0.0621,628.0658,3650.09,5.8116,3.1,58760.81,59142.3,0.8528
2025-11-04,SELL,0.8528,0.8267,-0.0261,621.0117,1539.27,2.4787,2.46,59081.16,58082.89,0.8267
2025-11-11,BUY,0.8267,0.8766,0.0499,618.3115,2914.32,4.7133,2.88,58389.23,58250.37,0.8766
2025-11-18,SELL,0.8766,0.8502,-0.0264,597.4377,1501.43,2.5131,2.45,56785.54,56193.49,0.8502
2025-11-20,SELL,0.8502,0.5502,-0.3,609.3941,16943.53,27.8039,7.16,56478.42,55761.53,0.5502
2025-11-25,SELL,0.5502,0.4839,-0.0663,601.3136,3764.0,6.2596,3.14,56774.88,56941.74,0.4839
2025-12-08,BUY,0.4839,0.7905,0.3067,624.9273,17691.52,28.3097,7.38,57689.86,57595.57,0.7905
2025-12-09,BUY,0.7905,0.8556,0.0651,620.7426,3748.15,6.0382,3.13,57595.57,57653.55,0.8556
2025-12-16,BUY,0.8556,0.9108,0.0552,606.0463,3120.4,5.1488,2.94,56510.36,56610.53,0.9108
2025-12-23,SELL,0.9108,0.6483,-0.2625,616.7437,15044.86,24.394,6.58,57310.62,57478.44,0.6483
2025-12-30,BUY,0.6483,1.0,0.3517,618.3798,20187.62,32.646,8.14,57404.71,57263.36,1.0
2026-02-10,SELL,1.0,0.588,-0.412,613.8605,23399.2,38.1181,9.12,56799.23,56635.49,0.588
2026-02-18,SELL,0.588,0.5559,-0.0321,600.6917,1801.46,2.999,2.54,56086.99,56317.02,0.5559
2026-02-24,BUY,0.5559,0.6036,0.0477,600.981,2674.94,4.451,2.81,56093.66,56454.04,0.6036
2026-03-03,SELL,0.6036,0.5759,-0.0277,594.9252,1563.64,2.6283,2.47,56476.38,56131.24,0.5759
2026-03-10,BUY,0.5759,0.6373,0.0614,606.3483,3466.79,5.7175,3.05,56472.32,56469.87,0.6373
2026-03-24,SELL,0.6373,0.5909,-0.0464,584.168,2567.2,4.3946,2.77,55344.1,55117.49,0.5909
2026-03-31,SELL,0.5909,0.5574,-0.0335,563.6705,1800.49,3.1942,2.54,53676.2,54679.14,0.5574
2026-04-07,SELL,0.5574,0.4703,-0.0871,584.9971,4816.39,8.2332,3.46,55284.67,55285.83,0.4703
2026-04-14,SELL,0.4703,0.4443,-0.026,619.5391,1470.62,2.3737,2.44,56553.88,57006.07,0.4443
2026-04-15,BUY,0.4443,0.7443,0.3,628.3894,17101.82,27.2153,7.2,57006.07,57592.39,0.7443
2026-04-21,BUY,0.7443,0.7712,0.0269,647.6982,1567.64,2.4203,2.47,58221.7,58049.17,0.7712
2026-04-28,BUY,0.7712,0.8831,0.1119,656.6883,6651.13,10.1283,4.02,59422.99,58891.34,0.8831
2026-05-05,BUY,0.8831,0.9674,0.0843,677.2158,5065.84,7.4804,3.53,60100.67,60849.1,0.9674
2026-05-19,SELL,0.9674,0.9066,-0.0608,699.0418,3826.09,5.4733,3.15,62930.93,62577.39,0.9066
2026-06-02,BUY,0.9066,0.9558,0.0492,741.5851,3240.54,4.3697,2.98,65899.94,66187.13,0.9558
2026-06-09,SELL,0.9558,0.7643,-0.1914,722.1863,12177.65,16.8622,5.69,63614.36,63058.97,0.7643
2026-06-12,SELL,0.7643,0.4643,-0.3,716.8222,19105.37,26.6529,7.8,63684.56,63850.68,0.4643
2026-06-16,SELL,0.4643,0.3737,-0.0906,741.4352,5868.87,7.9155,3.77,64776.54,64311.7,0.3737
2026-06-23,SELL,0.3737,0.3502,-0.0235,715.74,1520.63,2.1246,2.45,64610.38,63860.86,0.3502
2026-07-21,BUY,0.3502,0.4315,0.0813,706.57,5146.34,7.2835,3.56,63332.46,63834.32,0.4315
