date,side,weight_from,weight_to,delta_weight,price_open,notional_usd,approx_shares,cost_usd,equity_before_usd,equity_after_usd,held_weight_after
2025-01-02,BUY,0.0,1.0,1.0,510.4994,50000.0,97.9433,17.28,50000.0,49587.03,1.0
2025-01-14,SELL,1.0,0.0,-1.0,504.9805,49133.63,97.2981,17.02,49133.63,49116.61,0.0
2025-01-29,BUY,0.0,1.0,1.0,518.5992,49116.61,94.7102,17.01,49116.61,49007.55,1.0
2025-03-04,SELL,1.0,0.0,-1.0,490.5281,46811.7,95.4312,16.32,46811.7,46795.38,0.0
2025-05-12,BUY,0.0,1.0,1.0,503.9939,46795.38,92.8491,16.31,46795.38,48682.42,1.0
2025-05-13,SELL,1.0,0.0,-1.0,506.1511,48682.42,96.1816,16.88,48682.42,48665.54,0.0
2025-05-16,BUY,0.0,1.0,1.0,517.5831,48665.54,94.0246,16.87,48665.54,48860.26,1.0
2025-11-20,SELL,1.0,0.0,-1.0,609.3941,56360.94,92.4869,19.18,56360.94,56341.76,0.0
2025-12-08,BUY,0.0,1.0,1.0,624.9273,56341.76,90.1573,19.16,56341.76,56215.24,1.0
2025-12-23,SELL,1.0,0.0,-1.0,616.7437,55837.79,90.5365,19.01,55837.79,55818.78,0.0
2025-12-30,BUY,0.0,1.0,1.0,618.3798,55818.78,90.2662,19.01,55818.78,55670.25,1.0
2026-02-10,SELL,1.0,0.0,-1.0,613.8605,55219.03,89.9537,18.83,55219.03,55200.2,0.0
2026-04-15,BUY,0.0,1.0,1.0,628.3894,55200.2,87.8439,18.81,55200.2,55953.61,1.0
2026-06-12,SELL,1.0,0.0,-1.0,716.8222,62887.89,87.7315,21.12,62887.89,62866.77,0.0
