total_return,total_pnl_usd,max_drawdown,sharpe,avg_exposure,n_trades,id,note,baseline,ma,entry,exit,mode,thr,window,config_id,d_sharpe_vs_base,d_ret_vs_base,d_sharpe_vs_bh
1.4637176388259077,73185.88194129539,-0.17878267638136291,1.0130202250976665,0.7019673074689734,205,T3_ma200_gate,satellite only if close>SMA200,expanding,200.0,0,0,threshold,0.02,secondary_2020,T3_ma200_gate,0.0164177238456773,0.011075731457049987,0.13948525693914404
1.4526419073688577,72632.09536844288,-0.1994710016006883,0.9966025012519892,0.7073856606275966,218,B1_weekly_base,weekly softvol baseline,expanding,,0,0,threshold,0.02,secondary_2020,B1_weekly_base,0.0,0.0,0.12306753309346674
1.458665450573132,72933.2725286566,-0.19682846510520446,0.9937681922975222,0.7134652372075817,216,T4_enter0_exit2,asym confirm enter0 exit2,expanding,,0,2,threshold,0.02,secondary_2020,T4_enter0_exit2,-0.002834308954467013,0.00602354320427434,0.12023322413899973
1.4428485410115406,72142.42705057703,-0.19915207177123184,0.9926279951594327,0.7072561376767887,277,T1_event_rebalance,event: week boundary or sat flip,expanding,,0,0,event,0.05,secondary_2020,T1_event_rebalance,-0.003974506092556562,-0.00979336635731709,0.11909302700091018
1.4014149926642054,70070.74963321027,-0.18057672103928823,0.9878575694734958,0.7014625347799873,266,STACK_best_dir,event + rolling + ma200,rolling,200.0,0,0,event,0.05,secondary_2020,STACK_best_dir,-0.008744931778493448,-0.05122691470465224,0.1143226013149733
1.3907970328234733,69539.85164117366,-0.19513075392847978,0.9706308904905213,0.7100791020362827,208,T2_rolling_vol_2y,S12 vol baseline rolling 504d,rolling,,0,0,threshold,0.02,secondary_2020,T2_rolling_vol_2y,-0.025971610761467923,-0.06184487454538434,0.09709592233199882
1.3672806447507835,68364.03223753917,-0.20462877069493624,0.9661748928930313,0.7016071194350052,211,T4_enter2_exit0,asym confirm enter2 exit0,expanding,,2,0,threshold,0.02,secondary_2020,T4_enter2_exit0,-0.03042760835895797,-0.0853612626180742,0.09263992473450877
1.3672806447507835,68364.03223753917,-0.20462877069493624,0.9661748928930313,0.7016071194350052,211,T4_enter2_exit1,asym confirm enter2 exit1,expanding,,2,1,threshold,0.02,secondary_2020,T4_enter2_exit1,-0.03042760835895797,-0.0853612626180742,0.09263992473450877
2.4209779920746204,121048.89960373101,-0.35101675560491064,0.8735349681585225,1.0,1,QQQ_buy_hold,reference,,,0,0,threshold,0.02,secondary_2020,QQQ_buy_hold,-0.12306753309346674,0.9683360847057627,0.0
0.819529045839787,40976.45229198935,-0.1777260963502021,0.7307046564741628,0.5678937839468919,66,S12_full,reference,,,0,0,threshold,0.02,secondary_2020,S12_full,-0.2658978447778264,-0.6331128615290706,-0.14283031168435967
