datetime,QQQ_buy_hold,S12_full,L1+L4
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,50815.14092656544,50815.14092656544,50407.570463282726
2025-01-06,51398.632291130496,51398.632291130496,50696.97615554023
2025-01-07,50483.493172949165,50483.49317294916,50245.6529978475
2025-01-08,50492.32110349847,50492.32110349846,50250.04616784418
2025-01-10,49697.43066434486,49697.43066434486,49854.507991019505
2025-01-13,49542.81997523115,49677.55169207913,49844.537089421305
2025-01-14,49498.01902964645,49677.55169207913,49844.537089421305
2025-01-15,50631.21466733529,49677.55169207913,49844.537089421305
2025-01-16,50279.030976236725,49677.55169207913,49844.537089421305
2025-01-17,51129.69646390205,49677.55169207913,49844.537089421305
2025-01-21,51429.3984461286,49677.55169207913,49844.537089421305
2025-01-22,52085.26392934607,49677.55169207913,49844.537089421305
2025-01-23,52197.638650714594,49677.55169207913,49844.537089421305
2025-01-24,51902.91011585451,49677.55169207913,49844.537089421305
2025-01-27,50403.2391296152,49677.55169207913,49844.537089421305
2025-01-28,51146.92901466338,49677.55169207913,49844.537089421305
2025-01-29,51051.073885708196,49564.57932171506,49816.199060910985
2025-01-30,51269.026951184656,49776.18607510881,49869.36931017949
2025-01-31,51197.86435186091,49707.09557356876,49829.772452231955
2025-02-03,50795.93580767302,49316.87030123342,49634.17827899363
2025-02-04,51418.88819763966,49921.683692921884,49938.53067935101
2025-02-05,51654.72250716949,50150.651028019325,50053.052981509994
2025-02-06,51924.138176954715,50412.22190830047,50183.583900458776
2025-02-07,51269.93299603831,49777.06573793664,49541.27168066024
2025-02-10,51888.93554106204,50378.04429544668,50139.403401573734
2025-02-11,51766.654769238296,50259.32406973413,50021.245553801455
2025-02-12,51803.44833115076,50295.04628435437,50056.7985522215
2025-02-13,52546.845114228854,51016.79699433693,50775.1303276862
2025-02-14,52767.418822203836,51230.94808290536,50988.2669821313
2025-02-18,52887.14865582408,51347.19164810305,51103.95990133442
2025-02-19,52901.99843916009,51361.609038532806,51118.30899655764
2025-02-20,52677.240116297806,51143.39518182407,50901.12881931281
2025-02-21,51586.51215844474,50084.426814058636,49847.176786766446
2025-02-24,50980.246896703575,49495.814658262585,49261.35288789794
2025-02-25,50337.233901581625,48871.5247819523,48640.02027394674
2025-02-26,50459.2324738396,48989.971025127394,48757.9054370374
2025-02-27,49069.99200675249,47641.182173358466,47415.505800684296
2025-02-28,49845.096509954434,48393.717344657314,48164.47621141212
2025-03-03,48763.654702097505,47343.76473470155,47119.497229013126
2025-03-04,48617.28139980462,47324.82722880768,47100.649430121535
2025-03-05,49250.307601135195,47324.82722880768,47100.649430121535
2025-03-06,47886.38365626775,47324.82722880768,47100.649430121535
2025-03-07,48239.48838601127,47324.82722880768,47100.649430121535
2025-03-10,46351.7628540351,47324.82722880768,47100.649430121535
2025-03-11,46240.903414557404,47324.82722880768,47100.649430121535
2025-03-12,46766.00204981332,47324.82722880768,47100.649430121535
2025-03-13,45923.56937258773,47324.82722880768,47100.649430121535
2025-03-14,47026.946080236194,47324.82722880768,47100.649430121535
2025-03-17,47331.88860729556,47324.82722880768,47100.649430121535
2025-03-18,46521.65316777937,47324.82722880768,47100.649430121535
2025-03-19,47142.27841177064,47324.82722880768,47100.649430121535
2025-03-20,46984.44969417926,47324.82722880768,47100.649430121535
2025-03-21,47146.58132946543,47324.82722880768,47100.649430121535
2025-03-24,48176.706010328344,47324.82722880768,47100.649430121535
2025-03-25,48451.32863593945,47324.82722880768,47100.649430121535
2025-03-26,47557.962321284715,47324.82722880768,47100.649430121535
2025-03-27,47286.65769125701,47324.82722880768,47100.649430121535
