strategy,month,pnl_usd
QQQ_buy_hold,2025-01,1197.8643518609097
QQQ_buy_hold,2025-02,-1352.767841906476
QQQ_buy_hold,2025-03,-3798.9376023370787
QQQ_buy_hold,2025-04,727.7260352367084
QQQ_buy_hold,2025-05,4310.195785922886
QQQ_buy_hold,2025-06,3261.2224150299953
QQQ_buy_hold,2025-07,1329.2195411848152
QQQ_buy_hold,2025-08,517.1084814395945
QQQ_buy_hold,2025-09,3032.8272399540074
QQQ_buy_hold,2025-10,2839.245964005757
QQQ_buy_hold,2025-11,-929.9134934431859
QQQ_buy_hold,2025-12,-395.62225918444165
QQQ_buy_hold,2026-01,756.4284651884736
QQQ_buy_hold,2026-02,-1431.0580431224807
QQQ_buy_hold,2026-03,-2892.0889377880158
QQQ_buy_hold,2026-04,8984.2010424033
QQQ_buy_hold,2026-05,6967.151525745532
QQQ_buy_hold,2026-06,-151.88370643048256
QQQ_buy_hold,2026-07,-4810.84241212628
QQQ_buy_hold,2026-08,2629.5538243834308
S12_full,2025-01,-292.9044264312397
S12_full,2025-02,-1313.378228911446
S12_full,2025-03,-1068.8901158496374
S12_full,2025-04,0.0
S12_full,2025-05,-221.7583899342426
S12_full,2025-06,3007.073470297415
S12_full,2025-07,1225.6326952974923
S12_full,2025-08,476.809919077059
S12_full,2025-09,2796.477263013374
S12_full,2025-10,2617.981887608279
S12_full,2025-11,-2680.895680644957
S12_full,2025-12,-1105.0115168255943
S12_full,2026-01,665.5517949506248
S12_full,2026-02,-678.4504193085959
S12_full,2026-03,0.0
S12_full,2026-04,1698.9845067742426
S12_full,2026-05,5805.697737260038
S12_full,2026-06,-3494.6919613528225
S12_full,2026-07,0.0
S12_full,2026-08,0.0
L1+L4,2025-01,-170.22754776804504
L1+L4,2025-02,-1665.2962408198364
L1+L4,2025-03,-1063.8267812905833
L1+L4,2025-04,0.0
L1+L4,2025-05,-76.3759339862736
L1+L4,2025-06,3002.043152940758
L1+L4,2025-07,1223.5824223390737
L1+L4,2025-08,476.01229798950226
L1+L4,2025-09,2791.799236935025
L1+L4,2025-10,2462.1469708460936
L1+L4,2025-11,-1818.3081898473174
L1+L4,2025-12,-50.844160154185374
L1+L4,2026-01,390.36717803325155
L1+L4,2026-02,-695.9347683224478
L1+L4,2026-03,0.0
L1+L4,2026-04,939.441359690718
L1+L4,2026-05,5870.714321292253
L1+L4,2026-06,-3000.3182856989806
L1+L4,2026-07,0.0
L1+L4,2026-08,0.0
