symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
ADP,2025-01-02,BUY,0.0,0.1,0.1,282.9562,5000.0,3.54,49925.33
ADP,2025-01-07,BUY,0.1,0.2,0.1,276.6197,4988.2,3.54,49922.59
ADP,2025-01-22,BUY,0.2,1.0,0.8,286.7119,40209.85,14.47,49945.84
ADP,2025-01-24,SELL,1.0,0.0,-1.0,282.8503,49851.43,17.47,49833.96
ADP,2025-01-28,BUY,0.0,1.0,1.0,288.8593,49833.96,17.46,49510.93
ADP,2025-03-13,SELL,1.0,0.0,-1.0,283.2451,48861.11,17.17,48843.94
ADP,2025-03-27,BUY,0.0,1.0,1.0,293.3707,48843.94,17.14,49313.61
ADP,2025-04-08,SELL,1.0,0.0,-1.0,273.7855,45407.55,16.11,45391.44
ADP,2025-04-29,BUY,0.0,0.1,0.1,283.0795,4539.14,3.4,45422.26
ADP,2025-04-30,BUY,0.1,0.2,0.1,281.4724,4542.23,3.4,45572.44
ADP,2025-05-01,BUY,0.2,1.0,0.8,289.6725,36457.95,13.3,45269.29
ADP,2025-06-23,SELL,1.0,0.0,-1.0,298.9522,46664.86,16.46,46648.4
ADP,2025-06-24,BUY,0.0,1.0,1.0,302.8343,46648.4,16.45,46806.24
ADP,2025-06-27,SELL,1.0,0.0,-1.0,294.749,45536.28,16.11,45520.16
ADP,2025-06-30,BUY,0.0,0.1,0.1,295.1673,4552.02,3.4,45591.03
ADP,2025-07-01,BUY,0.1,0.2,0.1,299.8473,4559.1,3.4,45638.81
ADP,2025-07-02,BUY,0.2,1.0,0.8,299.75,36511.05,13.31,44875.18
ADP,2025-07-07,SELL,1.0,0.0,-1.0,300.8202,45483.62,16.09,45467.54
ADP,2025-07-08,BUY,0.0,0.1,0.1,299.4484,4546.75,3.4,45442.0
ADP,2025-07-09,BUY,0.1,0.2,0.1,299.8765,4544.2,3.4,45483.29
ADP,2025-07-10,BUY,0.2,0.3,0.1,299.0397,4548.33,3.4,45365.07
ADP,2025-07-11,BUY,0.3,0.4,0.1,297.1716,4536.51,3.4,45173.38
ADP,2025-07-14,BUY,0.4,0.5,0.1,294.0192,4517.34,3.39,45223.11
ADP,2025-08-20,BUY,0.5,1.0,0.5,298.5435,22717.98,9.03,45917.57
ADP,2025-08-27,SELL,1.0,0.0,-1.0,294.3501,45084.91,15.97,45068.94
ADP,2025-08-28,BUY,0.0,0.1,0.1,294.8463,4506.89,3.39,45080.57
ADP,2025-08-29,BUY,0.1,0.2,0.1,294.4668,4508.06,3.39,45075.9
ADP,2025-09-08,BUY,0.2,0.3,0.1,288.5609,4483.61,3.38,44944.31
ADP,2025-09-09,BUY,0.3,0.4,0.1,290.3609,4494.43,3.38,44869.25
ADP,2025-09-10,BUY,0.4,0.5,0.1,289.7868,4486.92,3.38,44500.66
ADP,2025-12-15,BUY,0.5,1.0,0.5,262.1585,21369.87,8.65,42546.62
ADP,2025-12-22,SELL,1.0,0.0,-1.0,253.8999,41419.9,14.91,41404.99
ADP,2026-01-07,BUY,0.0,1.0,1.0,257.8471,41404.99,14.89,41412.64
ADP,2026-01-22,SELL,1.0,0.0,-1.0,253.1715,40733.61,14.69,40718.92
ADP,2026-01-23,BUY,0.0,1.0,1.0,254.087,40718.92,14.69,40392.25
ADP,2026-01-29,SELL,1.0,0.0,-1.0,245.4838,39268.95,14.25,39254.7
ADP,2026-01-30,BUY,0.0,0.1,0.1,241.2315,3925.47,3.22,39265.15
ADP,2026-02-02,BUY,0.1,0.2,0.1,242.7376,3926.51,3.22,39285.5
ADP,2026-02-03,BUY,0.2,0.3,0.1,240.3259,3928.55,3.22,38682.16
ADP,2026-02-04,BUY,0.3,0.4,0.1,231.8114,3868.22,3.2,38652.08
ADP,2026-02-05,BUY,0.4,0.5,0.1,232.8745,3865.21,3.2,38594.6
ADP,2026-04-30,BUY,0.5,1.0,0.5,211.0488,18616.62,7.84,36683.96
ASML,2025-01-02,BUY,0.0,1.0,1.0,695.3235,50000.0,17.21,49634.14
ASML,2025-01-29,SELL,1.0,0.0,-1.0,716.8337,48582.25,16.77,48565.48
ASML,2025-01-30,BUY,0.0,1.0,1.0,729.5897,48565.48,16.76,50214.71
ASML,2025-03-03,SELL,1.0,0.0,-1.0,713.3012,48471.15,16.74,48454.41
ASML,2025-03-06,BUY,0.0,1.0,1.0,710.14,48454.41,16.73,46798.98
ASML,2025-03-12,SELL,1.0,0.0,-1.0,695.6083,45145.08,15.73,45129.35
ASML,2025-03-18,BUY,0.0,1.0,1.0,721.0562,45129.35,15.72,45161.86
ASML,2025-03-25,SELL,1.0,0.0,-1.0,723.1899,44977.31,15.67,44961.64
ASML,2025-04-03,BUY,0.0,0.1,0.1,641.6599,4496.16,3.36,44645.26
ASML,2025-04-04,BUY,0.1,0.2,0.1,614.4141,4464.53,3.35,44388.29
ASML,2025-04-07,BUY,0.2,0.3,0.1,579.3937,4438.83,3.34,44632.17
ASML,2025-04-16,BUY,0.3,0.4,0.1,639.1606,4612.68,3.4,44802.68
ASML,2025-04-17,BUY,0.4,0.5,0.1,636.5526,4480.27,3.36,44986.0
ASML,2025-05-05,BUY,0.5,1.0,0.5,678.7959,23410.56,9.12,46338.51
ASML,2025-05-07,SELL,1.0,0.0,-1.0,679.5688,46112.59,16.03,46096.56
ASML,2025-05-08,BUY,0.0,1.0,1.0,704.6793,46096.56,16.02,46586.27
ASML,2025-07-18,SELL,1.0,0.0,-1.0,745.2683,49036.08,16.9,49019.19
ASML,2025-07-21,BUY,0.0,0.1,0.1,724.3792,4901.92,3.48,48915.91
ASML,2025-07-22,BUY,0.1,0.2,0.1,711.8042,4891.59,3.48,48719.08
ASML,2025-07-23,BUY,0.2,0.3,0.1,708.7323,4871.91,3.47,48952.33
ASML,2025-07-24,BUY,0.3,0.4,0.1,716.4616,4895.23,3.48,49170.95
ASML,2025-07-25,BUY,0.4,0.5,0.1,702.7172,4917.09,3.49,48700.17
ASML,2025-08-14,BUY,0.5,1.0,0.5,742.3901,25140.17,9.63,50252.6
ASML,2025-08-18,SELL,1.0,0.0,-1.0,734.8299,49389.75,17.01,49372.74
