datetime,equity
2025-01-02,49692.0413343915
2025-01-03,49646.196014772686
2025-01-06,48880.53802667447
2025-01-07,48876.45565864136
2025-01-08,49241.13251040751
2025-01-10,48756.986287432206
2025-01-13,49006.15969271136
2025-01-14,49088.816695957
2025-01-15,49093.123805988485
2025-01-16,49271.777593966486
2025-01-17,49639.893212658346
2025-01-21,49699.30946203559
2025-01-22,49550.83855971496
2025-01-23,49308.48241099393
2025-01-24,49596.471981858915
2025-01-27,49925.28019970203
2025-01-28,49893.16722316662
2025-01-29,51496.39735332012
2025-01-30,51333.554649171885
2025-01-31,51027.10285258088
2025-02-03,52144.76807431808
2025-02-04,51960.173630645404
2025-02-05,53092.114037018044
2025-02-06,54126.39611565148
2025-02-07,53923.11081745673
2025-02-10,56016.46683922585
2025-02-11,56647.062867177025
2025-02-12,55896.00402758875
2025-02-13,58043.77874750887
2025-02-14,59295.19699590803
2025-02-18,57624.496573732795
2025-02-19,57655.4286696637
2025-02-20,58104.931184043664
2025-02-21,58054.58879494468
2025-02-24,58702.26360483792
2025-02-25,59228.718103946274
2025-02-26,57695.67177732071
2025-02-27,57825.0933372669
2025-02-28,59222.27056786564
2025-03-03,59912.95588625287
2025-03-04,58118.63401633784
2025-03-05,57704.47471983807
2025-03-06,57752.157504619936
2025-03-07,58256.33686348406
2025-03-10,58564.378907300015
2025-03-11,56362.547658941
2025-03-12,56131.82253406429
2025-03-13,56895.954691480096
2025-03-14,56222.93085929124
2025-03-17,57151.803901977946
2025-03-18,57275.5090140979
2025-03-19,56954.36490750166
2025-03-20,56465.631160836805
2025-03-21,56207.33993746327
2025-03-24,56892.41873123979
2025-03-25,56848.84646649839
2025-03-26,57671.96957440522
2025-03-27,58937.769577429535
2025-03-28,58210.86113183561
2025-03-31,58602.332715673765
2025-04-01,59006.05945413912
2025-04-02,58131.40741369896
2025-04-03,58861.68793130981
2025-04-04,54515.874045583354
2025-04-07,54215.169812963206
2025-04-08,54196.0707149295
2025-04-09,54196.0707149295
2025-04-10,54196.0707149295
2025-04-11,54196.0707149295
2025-04-14,54196.0707149295
2025-04-15,55013.45543876178
2025-04-16,53552.705771257926
2025-04-17,54047.57438340955
2025-04-21,52272.98610328376
2025-04-22,53268.392517906905
2025-04-23,53249.64548395174
2025-04-24,53249.64548395174
2025-04-25,47094.687617915784
2025-04-28,47908.771802862524
2025-04-29,47891.729266763425
2025-04-30,47993.92433841174
2025-05-01,47992.83875531622
2025-05-02,48098.73164183089
2025-05-05,48050.39330603399
2025-05-06,48580.97846367267
2025-05-07,48337.28339800296
2025-05-08,47976.29575602184
2025-05-09,47619.608289038355
2025-05-12,47281.84364881548
2025-05-13,46987.856759028844
2025-05-14,46787.077254705735
2025-05-15,47268.94332921895
2025-05-16,47514.655918519245
2025-05-19,47670.15184229751
2025-05-20,47374.849278608504
2025-05-21,47330.65709719151
2025-05-22,47336.77840337909
2025-05-23,47539.09400036703
2025-05-27,47586.22657539901
2025-05-28,47405.18668360647
2025-05-29,47188.608618570965
2025-05-30,47561.424144591205
2025-06-02,47649.62531075257
2025-06-03,47730.84896136044
2025-06-04,47543.5680751463
2025-06-05,47832.49718409756
2025-06-06,47927.04707838716
2025-06-09,47152.867701176634
2025-06-10,47056.74947966228
2025-06-11,46455.561667023365
2025-06-12,46232.80633853029
2025-06-13,46162.005918170384
2025-06-16,46464.37863701392
2025-06-17,45500.92753448538
2025-06-18,45456.17989916509
2025-06-20,45510.99355446407
2025-06-23,46069.15591874474
2025-06-24,46356.76244052745
2025-06-25,46465.9411612229
2025-06-26,46518.248869288465
2025-06-27,46904.567800081866
2025-06-30,47205.854069815185
2025-07-01,47527.61700541826
2025-07-02,46710.277439005666
2025-07-03,47366.8389065379
2025-07-07,46751.493548649254
2025-07-08,46424.61911413476
2025-07-09,46408.09105508283
2025-07-10,46321.315915447434
2025-07-11,46302.06466623343
2025-07-14,46322.41530916446
2025-07-15,46145.6580262331
2025-07-16,46419.38068259217
2025-07-17,46245.578757398565
2025-07-18,46265.03490518204
2025-07-21,46812.59322142927
2025-07-22,46876.15681916455
2025-07-23,46944.5122901979
2025-07-24,48291.61428159246
2025-07-25,47514.33771334385
2025-07-28,46465.22412173947
2025-07-29,46671.94309592795
2025-07-30,47126.321524988096
2025-07-31,46506.195636682365
2025-08-01,46275.499003962126
2025-08-04,47017.34515611481
2025-08-05,46611.43867370323
2025-08-06,46668.438247103426
2025-08-07,47391.15360261207
2025-08-08,47790.65836104948
2025-08-11,48547.63368154357
2025-08-12,49211.45929799577
2025-08-13,48930.84950026541
2025-08-14,48828.18811375375
2025-08-15,49668.68507032354
2025-08-18,49776.2904335425
2025-08-19,50369.360829033445
2025-08-20,50524.658857712224
2025-08-21,50358.91744641255
2025-08-22,49158.36134535666
2025-08-25,49118.59668695939
2025-08-26,49013.183362738266
2025-08-27,49046.155081789475
2025-08-28,48889.97721690053
2025-08-29,49343.81573215933
2025-09-02,50108.44155053613
2025-09-03,49474.64715151825
2025-09-04,49371.403372265646
2025-09-05,49496.76870348622
2025-09-08,47582.646808006175
2025-09-09,47547.446035874586
2025-09-10,47088.03983981884
2025-09-11,47286.019675927004
2025-09-12,47269.24399667088
2025-09-15,47227.015432744454
2025-09-16,47140.082049723715
2025-09-17,47245.346804869434
2025-09-18,47193.781075080195
2025-09-19,47125.10960339218
2025-09-22,47053.08601604465
2025-09-23,47257.22404192443
2025-09-24,47149.79555945289
2025-09-25,47105.93269327458
2025-09-26,47060.06798117953
2025-09-29,47108.624219994825
2025-09-30,47249.18065415553
2025-10-01,46645.24346265428
2025-10-02,46332.545475892744
2025-10-03,46345.64683365903
2025-10-06,45808.58337738115
2025-10-07,46085.46892922937
2025-10-08,45974.090140089495
2025-10-09,45936.53889952264
2025-10-10,46197.7838053694
2025-10-13,45821.33293943177
2025-10-14,46266.44110589074
2025-10-15,45986.86545071175
2025-10-16,45971.20435311654
2025-10-17,46262.854654042785
2025-10-20,46339.717521919956
2025-10-21,46238.0100251676
2025-10-22,46071.68166530488
2025-10-23,45316.778274415396
2025-10-24,45088.14404646245
2025-10-27,45390.789961731796
2025-10-28,45320.71284667955
2025-10-29,44809.16207003302
2025-10-30,44355.30157944238
2025-10-31,44292.656178590645
2025-11-03,43580.85289712758
2025-11-04,43898.172667304694
2025-11-05,43732.9501762617
2025-11-06,43332.97618092096
2025-11-07,43974.80400509577
2025-11-10,43854.64292954707
2025-11-11,44500.99339964363
2025-11-12,44574.59972745162
2025-11-13,44773.523857754735
2025-11-14,44932.978052971564
2025-11-17,44908.01903298774
2025-11-18,44623.02508554894
2025-11-19,44433.21914316006
2025-11-20,44353.318778524765
2025-11-21,44246.6107403648
2025-11-24,44020.13738747161
2025-11-25,43973.581381375276
2025-11-26,44064.413149816406
2025-11-28,44307.40442569182
2025-12-01,44055.09171726106
2025-12-02,44426.944155450066
2025-12-03,44255.406806535364
2025-12-04,44202.92731711665
2025-12-05,44375.0152541398
2025-12-08,43825.44259804399
2025-12-09,43496.648082046246
2025-12-10,42849.516208752204
2025-12-11,42851.592872571215
2025-12-12,42833.51009155228
2025-12-15,42943.171556480935
2025-12-16,43144.11833759626
2025-12-17,43294.46123660932
2025-12-18,43391.20336784436
2025-12-19,43008.99658565485
2025-12-22,42902.939309261215
2025-12-23,43112.14719310899
2025-12-24,43259.3824915635
2025-12-26,43474.43891681878
2025-12-29,43706.40495300552
2025-12-30,43777.323261821664
2025-12-31,43696.06876092018
2026-01-02,43322.63571629368
2026-01-05,43461.937265804976
2026-01-06,43216.858253095146
2026-01-07,43074.324039281295
2026-01-08,43142.499419688625
2026-01-09,43434.57241725265
2026-01-12,43103.96992958112
2026-01-13,42247.27161214092
2026-01-14,42509.87183898554
2026-01-15,42359.66219548681
2026-01-16,41876.5052940401
2026-01-20,41575.45929324749
2026-01-21,41570.0496301121
2026-01-22,41772.53893977172
2026-01-23,41845.49012678464
2026-01-26,42061.996891650684
2026-01-27,41672.44640911142
2026-01-28,41870.78464678221
2026-01-29,42210.86080243103
2026-01-30,43086.02217662574
2026-02-02,42842.98382302354
2026-02-03,43143.31739528425
2026-02-04,43591.23790261631
2026-02-05,43598.26164486386
2026-02-06,42631.23566305666
2026-02-09,42690.25803895456
2026-02-10,43076.27311744874
2026-02-11,45426.51688189871
2026-02-12,46534.72312097096
2026-02-13,47574.373044795655
2026-02-17,47599.733830892495
2026-02-18,46225.112891305434
2026-02-19,46672.03049973129
2026-02-20,46707.86551636843
2026-02-23,47676.503507948575
2026-02-24,48115.54132233102
2026-02-25,47394.02474441821
2026-02-26,46197.388958402626
2026-02-27,47272.71838195575
2026-03-02,47059.23910593228
2026-03-03,47592.173890688726
2026-03-04,47850.717548377965
2026-03-05,48035.0445346548
2026-03-06,48259.61834002615
2026-03-09,47369.252708147265
2026-03-10,47648.5583438817
2026-03-11,46486.763746786884
2026-03-12,46689.9488158729
2026-03-13,47347.557473324676
2026-03-16,46787.01484791283
2026-03-17,46470.442458472135
2026-03-18,44996.80716215223
2026-03-19,44993.31436551715
2026-03-20,45403.199973758856
2026-03-23,45466.932102916086
2026-03-24,46012.36363762387
2026-03-25,46034.46597681549
2026-03-26,46085.794590476085
2026-03-27,45920.910101859605
2026-03-30,46598.5360699783
2026-03-31,45746.658625222975
2026-04-01,44480.6995425034
2026-04-02,43867.31699866445
2026-04-06,43851.31882065712
2026-04-07,43890.90962520541
2026-04-08,43760.07863887136
2026-04-09,43750.758049552125
2026-04-10,43585.61201611065
2026-04-13,43217.454100891664
2026-04-14,42944.39054486023
2026-04-15,42966.009997461755
2026-04-16,43743.767997994866
2026-04-17,43808.67636032599
2026-04-20,43885.51736832831
2026-04-21,43556.3638091132
2026-04-22,42829.36261144324
2026-04-23,43414.39657249273
2026-04-24,42936.406694700505
2026-04-27,42135.237581757356
2026-04-28,42590.568498078916
