symbol,bh_return,strategy_return,vs_bh_pp,beat_bh,max_dd,bh_max_dd,sharpe,bh_sharpe,avg_exposure,n_trades,total_cost_usd,end_equity,end_position
CHTR,-0.5320221339756914,-0.47553415173184765,5.648798224384377,True,-0.6044181959619814,-0.7112764439610956,-1.019298458078031,-0.762981319524456,0.6390977443609023,46,344.3799999999999,26223.292413407617,1.0
NXPI,0.13049580178886444,0.15369993002871896,2.3204128239854516,True,-0.2774677358572307,-0.37471419693072183,0.431073124811816,0.4190052791989173,0.7348370927318295,50,390.0,57684.99650143595,0.5
TMUS,-0.1695851899628591,-0.17412866025673157,-0.4543470293872476,False,-0.3505847489337498,-0.3700614680017774,-0.3861633750977031,-0.2126506921968229,0.643609022556391,37,289.15000000000003,41293.56698716342,0.2
BKNG,0.06017403152492107,0.05423988701393734,-0.593414451098373,False,-0.27538106945845364,-0.332459865283135,0.2966424361915729,0.3030405034859513,0.6604010025062657,49,398.43,52711.99435069686,1.0
ADP,-0.03378405082293279,-0.046512049286224655,-1.2727998463291867,False,-0.34079382181207907,-0.40812953020737275,-0.06297212265388842,0.07375047996579573,0.6403508771929824,42,377.10999999999996,47674.39753568877,1.0
EXC,0.2641683191966615,0.24333257666808938,-2.083574252857212,False,-0.10129683723210214,-0.13672037448967322,0.8849802070836064,0.873266291555568,0.7952380952380953,37,507.36000000000007,62166.62883340447,0.2
HON,0.10458908374585829,-0.14570809871007873,-25.029718245593703,False,-0.22724898813401828,-0.18964518790035823,-0.3925631384794665,0.38623268445194486,0.6423558897243107,55,435.44999999999993,42714.59506449606,1.0
BKR,0.5411489435047625,0.2276605198327959,-31.34884236719666,False,-0.351868814158376,-0.2825606216217914,0.5750105743172996,0.9462932474176915,0.8017543859649122,50,702.76,61383.02599163979,1.0
FTNT,0.7249340735571213,0.37165067434479715,-35.32833992123241,False,-0.39855600566050997,-0.3468635992147723,0.7691794114285263,1.0284831964079373,0.7526315789473683,54,563.1499999999999,68582.53371723986,1.0
ASML,1.4496585301389353,0.6395707931004144,-81.00877370385209,False,-0.2033773778181912,-0.23314338202616414,1.0113872774882275,1.4946872399730322,0.830075187969925,48,634.45,81978.53965502072,0.5
