symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
ASML,2025-01-02,BUY,0.0,1.0,1.0,695.3235,50000.0,17.21,49634.14
ASML,2025-01-29,SELL,1.0,0.0,-1.0,716.8337,48582.25,16.77,48565.48
ASML,2025-01-30,BUY,0.0,1.0,1.0,729.5897,48565.48,16.76,50214.71
ASML,2025-03-03,SELL,1.0,0.0,-1.0,713.3012,48471.15,16.74,48454.41
ASML,2025-03-06,BUY,0.0,1.0,1.0,710.14,48454.41,16.73,46798.98
ASML,2025-03-12,SELL,1.0,0.0,-1.0,695.6083,45145.08,15.73,45129.35
ASML,2025-03-18,BUY,0.0,1.0,1.0,721.0562,45129.35,15.72,45161.86
ASML,2025-03-25,SELL,1.0,0.0,-1.0,723.1899,44977.31,15.67,44961.64
ASML,2025-04-03,BUY,0.0,0.1,0.1,641.6599,4496.16,3.36,44645.26
ASML,2025-04-04,BUY,0.1,0.2,0.1,614.4141,4464.53,3.35,44388.29
ASML,2025-04-07,BUY,0.2,0.3,0.1,579.3937,4438.83,3.34,44632.17
ASML,2025-04-16,BUY,0.3,0.4,0.1,639.1606,4612.68,3.4,44802.68
ASML,2025-04-17,BUY,0.4,0.5,0.1,636.5526,4480.27,3.36,44986.0
ASML,2025-05-05,BUY,0.5,1.0,0.5,678.7959,23410.56,9.12,46338.51
ASML,2025-05-07,SELL,1.0,0.0,-1.0,679.5688,46112.59,16.03,46096.56
ASML,2025-05-08,BUY,0.0,1.0,1.0,704.6793,46096.56,16.02,46586.27
ASML,2025-07-18,SELL,1.0,0.0,-1.0,745.2683,49036.08,16.9,49019.19
ASML,2025-07-21,BUY,0.0,0.1,0.1,724.3792,4901.92,3.48,48915.91
ASML,2025-07-22,BUY,0.1,0.2,0.1,711.8042,4891.59,3.48,48719.08
ASML,2025-07-23,BUY,0.2,0.3,0.1,708.7323,4871.91,3.47,48952.33
ASML,2025-07-24,BUY,0.3,0.4,0.1,716.4616,4895.23,3.48,49170.95
ASML,2025-07-25,BUY,0.4,0.5,0.1,702.7172,4917.09,3.49,48700.17
ASML,2025-08-14,BUY,0.5,1.0,0.5,742.3901,25140.17,9.63,50252.6
ASML,2025-08-18,SELL,1.0,0.0,-1.0,734.8299,49389.75,17.01,49372.74
ASML,2025-08-25,BUY,0.0,1.0,1.0,749.8113,49372.74,17.0,49327.62
ASML,2025-09-03,SELL,1.0,0.0,-1.0,727.4287,47468.89,16.43,47452.46
ASML,2025-09-05,BUY,0.0,1.0,1.0,769.8096,47452.46,16.41,49204.05
ASML,2025-11-24,SELL,1.0,0.0,-1.0,972.946,61003.16,20.48,60982.68
ASML,2025-11-28,BUY,0.0,1.0,1.0,1035.426,60982.68,20.46,62077.3
ASML,2025-12-19,SELL,1.0,0.0,-1.0,1037.5756,60660.49,20.36,60640.12
ASML,2025-12-22,BUY,0.0,1.0,1.0,1060.9035,60640.12,20.35,60679.73
ASML,2026-03-16,SELL,1.0,0.0,-1.0,1374.7355,77408.78,25.38,77383.4
ASML,2026-03-17,BUY,0.0,1.0,1.0,1380.2463,77383.4,25.37,78121.27
ASML,2026-03-20,SELL,1.0,0.0,-1.0,1352.5526,76916.22,25.24,76890.98
ASML,2026-03-23,BUY,0.0,0.1,0.1,1355.0142,7689.1,4.31,77190.55
ASML,2026-03-24,BUY,0.1,0.2,0.1,1344.4409,7719.05,4.32,77530.72
ASML,2026-03-25,BUY,0.2,1.0,0.8,1389.2548,62024.58,20.73,77203.64
ASML,2026-03-27,SELL,1.0,0.0,-1.0,1313.8575,73595.93,24.24,73571.69
ASML,2026-03-31,BUY,0.0,0.1,0.1,1279.8756,7357.17,4.21,73954.73
ASML,2026-04-09,BUY,0.1,1.0,0.9,1407.2224,67077.39,22.26,75966.87
ASML,2026-04-30,SELL,1.0,0.0,-1.0,1412.5132,73280.76,24.13,73256.63
ASML,2026-05-01,BUY,0.0,1.0,1.0,1426.4453,73256.63,24.12,72622.85
ASML,2026-07-29,SELL,1.0,0.0,-1.0,1569.39,80332.88,26.24,80306.64
ASML,2026-07-30,BUY,0.0,0.1,0.1,1645.0699,8030.66,4.41,80822.06
ASML,2026-07-31,BUY,0.1,0.2,0.1,1683.38,8082.21,4.43,80608.1
ASML,2026-08-03,BUY,0.2,0.3,0.1,1609.6899,8060.81,4.42,80810.22
ASML,2026-08-04,BUY,0.3,0.4,0.1,1700.04,8081.02,4.43,82162.99
ASML,2026-08-05,BUY,0.4,0.5,0.1,1700.42,8216.3,4.47,81346.97
