symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
BKR,2025-01-02,BUY,0.0,0.2,0.2,40.4313,10000.0,6.19,49986.6
BKR,2025-01-03,BUY,0.2,1.0,0.8,40.8201,39989.28,24.63,51276.09
BKR,2025-02-27,SELL,1.0,0.0,-1.0,42.9827,52563.55,31.54,52532.01
BKR,2025-03-03,BUY,0.0,1.0,1.0,44.0279,52532.01,31.15,51353.66
BKR,2025-03-05,SELL,1.0,0.0,-1.0,41.6053,50479.76,30.8,50448.97
BKR,2025-03-06,BUY,0.0,0.1,0.1,40.8238,5044.9,3.87,50395.2
BKR,2025-03-07,BUY,0.1,0.2,0.1,41.1657,5039.52,3.87,50628.43
BKR,2025-03-26,BUY,0.2,1.0,0.8,44.2038,40937.43,24.23,49836.5
BKR,2025-03-28,SELL,1.0,0.0,-1.0,42.5626,49398.4,29.79,49368.6
BKR,2025-04-02,BUY,0.0,1.0,1.0,43.1683,49368.6,29.56,49482.29
BKR,2025-04-07,SELL,1.0,0.0,-1.0,33.8195,38750.61,26.41,38724.2
BKR,2025-04-08,BUY,0.0,0.1,0.1,35.7928,3872.42,3.48,38648.25
BKR,2025-04-09,BUY,0.1,0.2,0.1,33.8293,3864.83,3.49,39482.59
BKR,2025-04-10,BUY,0.2,0.3,0.1,36.4864,3948.26,3.5,38832.38
BKR,2025-04-11,BUY,0.3,0.4,0.1,36.0175,3883.24,3.48,39364.4
BKR,2025-04-14,BUY,0.4,0.5,0.1,37.6391,3936.44,3.48,39304.47
BKR,2025-06-09,BUY,0.5,1.0,0.5,37.6009,19771.76,12.71,39978.54
BKR,2025-10-14,SELL,1.0,0.0,-1.0,44.3911,47599.86,28.11,47571.74
BKR,2025-10-15,BUY,0.0,0.1,0.1,44.7568,4757.17,3.74,47530.69
BKR,2025-10-16,BUY,0.1,0.2,0.1,44.3417,4753.07,3.74,47563.73
BKR,2025-10-17,BUY,0.2,0.3,0.1,44.401,4756.37,3.74,47732.07
BKR,2025-10-20,BUY,0.3,0.4,0.1,44.8852,4773.21,3.74,48191.23
BKR,2025-10-21,BUY,0.4,1.0,0.6,45.9921,28914.74,16.78,48662.46
BKR,2025-12-10,SELL,1.0,0.0,-1.0,47.4716,49865.17,28.51,49836.66
BKR,2025-12-11,BUY,0.0,1.0,1.0,47.4517,49836.66,28.5,49205.02
BKR,2025-12-15,SELL,1.0,0.0,-1.0,47.3226,48585.41,27.82,48557.59
BKR,2025-12-16,BUY,0.0,0.1,0.1,46.3297,4855.76,3.76,48359.35
BKR,2025-12-17,BUY,0.1,0.2,0.1,44.8503,4835.94,3.76,48413.5
BKR,2025-12-18,BUY,0.2,0.3,0.1,44.9694,4841.35,3.77,48146.79
BKR,2025-12-19,BUY,0.3,0.4,0.1,44.046,4814.68,3.76,48247.33
BKR,2025-12-22,BUY,0.4,0.5,0.1,44.9992,4824.73,3.76,48700.42
BKR,2026-01-06,BUY,0.5,1.0,0.5,49.0106,25283.9,14.24,50872.81
BKR,2026-03-16,SELL,1.0,0.0,-1.0,54.2885,56049.36,30.13,56019.22
BKR,2026-03-17,BUY,0.0,0.1,0.1,55.9429,5601.92,3.97,56197.48
BKR,2026-03-18,BUY,0.1,0.2,0.1,56.8898,5619.75,3.97,56288.04
BKR,2026-03-19,BUY,0.2,1.0,0.8,57.1788,45030.43,23.67,59432.33
BKR,2026-04-17,SELL,1.0,0.0,-1.0,59.4911,59426.82,30.71,59396.11
BKR,2026-04-20,BUY,0.0,0.1,0.1,59.4711,5939.61,4.07,59331.34
BKR,2026-04-21,BUY,0.1,0.2,0.1,59.6804,5933.13,4.07,59542.97
BKR,2026-04-22,BUY,0.2,0.3,0.1,60.7668,5954.3,4.07,60212.29
BKR,2026-04-23,BUY,0.3,1.0,0.7,62.7801,42148.61,21.31,62057.43
BKR,2026-06-11,SELL,1.0,0.0,-1.0,63.97,60716.5,30.46,60686.04
BKR,2026-06-12,BUY,0.0,0.1,0.1,63.18,6068.6,4.1,60649.42
BKR,2026-06-16,BUY,0.1,0.2,0.1,61.63,6058.42,4.1,60397.47
BKR,2026-06-17,BUY,0.2,0.3,0.1,61.25,6039.75,4.1,59964.8
BKR,2026-06-18,BUY,0.3,0.4,0.1,59.91,5996.48,4.09,59296.32
BKR,2026-06-22,BUY,0.4,0.5,0.1,58.8,5929.63,4.07,59666.66
BKR,2026-07-28,BUY,0.5,1.0,0.5,60.1,30235.13,15.56,58316.12
BKR,2026-07-30,SELL,1.0,0.0,-1.0,59.18,58632.29,30.37,58601.92
BKR,2026-07-31,BUY,0.0,1.0,1.0,60.73,58601.92,30.03,59152.02
