symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
CHTR,2025-01-02,BUY,0.0,0.5,0.5,346.62,25000.0,9.71,50187.16
CHTR,2025-02-14,BUY,0.5,1.0,0.5,362.0,25587.73,9.88,51095.51
CHTR,2025-03-14,SELL,1.0,0.0,-1.0,350.0,49003.49,17.11,48986.38
CHTR,2025-03-21,BUY,0.0,1.0,1.0,359.65,48986.38,17.09,49139.98
CHTR,2025-04-08,SELL,1.0,0.0,-1.0,337.17,44949.7,15.87,44933.83
CHTR,2025-04-25,BUY,0.0,0.1,0.1,359.5,4493.38,3.38,45431.15
CHTR,2025-04-28,BUY,0.1,1.0,0.9,373.65,40888.04,14.58,45807.95
CHTR,2025-06-18,SELL,1.0,0.0,-1.0,374.47,45428.57,15.98,45412.59
CHTR,2025-06-20,BUY,0.0,0.1,0.1,381.37,4541.26,3.39,45516.14
CHTR,2025-06-23,BUY,0.1,1.0,0.9,388.96,40964.52,14.6,46230.03
CHTR,2025-07-15,SELL,1.0,0.0,-1.0,397.67,47037.8,16.46,47021.34
CHTR,2025-07-16,BUY,0.0,0.1,0.1,385.89,4702.13,3.44,46972.91
CHTR,2025-07-17,BUY,0.1,0.2,0.1,380.0,4697.29,3.44,47066.88
CHTR,2025-07-18,BUY,0.2,0.3,0.1,385.18,4706.69,3.44,47009.44
CHTR,2025-07-21,BUY,0.3,0.4,0.1,386.08,4700.94,3.44,47339.7
CHTR,2025-07-22,BUY,0.4,0.5,0.1,389.08,4733.97,3.45,47759.64
CHTR,2025-10-02,BUY,0.5,1.0,0.5,275.04,19970.8,8.2,39136.31
CHTR,2025-10-13,SELL,1.0,0.0,-1.0,259.49,37660.83,13.72,37647.11
CHTR,2025-10-16,BUY,0.0,0.1,0.1,265.04,3764.71,3.16,37513.01
CHTR,2025-10-17,BUY,0.1,0.2,0.1,254.6,3751.3,3.16,37445.67
CHTR,2025-10-20,BUY,0.2,0.3,0.1,254.41,3744.57,3.16,37369.94
CHTR,2025-10-21,BUY,0.3,0.4,0.1,251.37,3736.99,3.16,37426.84
CHTR,2025-10-22,BUY,0.4,0.5,0.1,252.68,3742.68,3.16,36862.37
CHTR,2026-01-09,BUY,0.5,1.0,0.5,210.15,17148.39,7.38,34433.14
CHTR,2026-01-14,SELL,1.0,0.0,-1.0,197.67,32340.57,12.18,32328.39
CHTR,2026-01-15,BUY,0.0,0.1,0.1,201.45,3232.84,3.01,32201.41
CHTR,2026-01-16,BUY,0.1,0.2,0.1,194.65,3220.14,3.01,32037.95
CHTR,2026-01-20,BUY,0.2,0.3,0.1,186.5,3203.79,3.0,31751.32
CHTR,2026-01-21,BUY,0.3,0.4,0.1,184.38,3175.13,2.99,31966.67
CHTR,2026-01-22,BUY,0.4,0.5,0.1,188.81,3196.67,3.0,32413.23
CHTR,2026-02-02,BUY,0.5,1.0,0.5,208.84,16782.18,7.27,34766.38
CHTR,2026-03-20,SELL,1.0,0.0,-1.0,210.66,34393.66,12.8,34380.86
CHTR,2026-03-23,BUY,0.0,0.1,0.1,217.08,3438.09,3.07,34436.04
CHTR,2026-03-25,BUY,0.1,1.0,0.9,219.73,31006.72,11.72,34648.79
CHTR,2026-04-02,SELL,1.0,0.0,-1.0,216.46,34239.7,12.74,34226.96
CHTR,2026-04-07,BUY,0.0,0.1,0.1,220.23,3422.7,3.06,34283.27
CHTR,2026-04-08,BUY,0.1,1.0,0.9,226.66,30854.94,11.65,33949.03
CHTR,2026-04-16,SELL,1.0,0.0,-1.0,220.7,33740.01,12.57,33727.44
CHTR,2026-04-17,BUY,0.0,1.0,1.0,236.0,33727.44,12.54,33807.76
CHTR,2026-04-28,SELL,1.0,0.0,-1.0,176.02,24690.8,9.82,24680.98
CHTR,2026-04-29,BUY,0.0,0.1,0.1,174.4,2468.1,2.77,24473.73
CHTR,2026-04-30,BUY,0.1,0.2,0.1,158.75,2447.37,2.77,24671.97
CHTR,2026-05-01,BUY,0.2,0.3,0.1,166.42,2467.2,2.77,24961.78
CHTR,2026-05-04,BUY,0.3,0.4,0.1,171.85,2496.18,2.78,24587.2
CHTR,2026-05-05,BUY,0.4,0.5,0.1,165.33,2458.72,2.77,24055.8
CHTR,2026-07-29,BUY,0.5,1.0,0.5,138.02,11638.97,5.73,24158.64
