symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
FTNT,2025-01-02,BUY,0.0,1.0,1.0,95.36,50000.0,21.76,49658.53
FTNT,2025-01-16,SELL,1.0,0.0,-1.0,93.92,48816.83,21.35,48795.48
FTNT,2025-01-22,BUY,0.0,1.0,1.0,98.0,48795.48,21.06,49295.3
FTNT,2025-03-10,SELL,1.0,0.0,-1.0,99.32,50886.63,21.88,50864.75
FTNT,2025-03-18,BUY,0.0,0.1,0.1,96.08,5086.48,3.67,50873.97
FTNT,2025-03-19,BUY,0.1,0.2,0.1,97.33,5087.4,3.67,51002.2
FTNT,2025-03-20,BUY,0.2,0.3,0.1,97.14,5100.22,3.68,51044.32
FTNT,2025-03-21,BUY,0.3,0.4,0.1,97.32,5104.43,3.68,51085.32
FTNT,2025-03-28,BUY,0.4,0.5,0.1,99.07,5127.45,3.68,50510.6
FTNT,2025-04-25,BUY,0.5,1.0,0.5,100.27,25916.55,11.11,52381.21
FTNT,2025-05-12,SELL,1.0,0.0,-1.0,99.85,50210.49,21.55,50188.94
FTNT,2025-05-13,BUY,0.0,1.0,1.0,101.49,50188.94,21.44,51656.84
FTNT,2025-06-23,SELL,1.0,0.0,-1.0,99.78,49118.48,21.09,49097.39
FTNT,2025-06-24,BUY,0.0,1.0,1.0,104.32,49097.39,20.8,49680.29
FTNT,2025-07-03,SELL,1.0,0.0,-1.0,102.68,48621.45,20.69,48600.75
FTNT,2025-07-07,BUY,0.0,1.0,1.0,105.6,48600.75,20.52,49035.69
FTNT,2025-07-14,SELL,1.0,0.0,-1.0,99.36,45550.58,19.58,45531.0
FTNT,2025-07-15,BUY,0.0,0.1,0.1,103.41,4553.1,3.49,45613.89
FTNT,2025-07-16,BUY,0.1,1.0,0.9,104.93,41052.5,17.36,44949.06
FTNT,2025-08-01,SELL,1.0,0.0,-1.0,99.38,43423.9,18.66,43405.24
FTNT,2025-08-04,BUY,0.0,0.1,0.1,97.82,4340.52,3.43,43454.71
FTNT,2025-08-05,BUY,0.1,0.2,0.1,98.45,4345.47,3.43,43244.74
FTNT,2025-08-06,BUY,0.2,0.3,0.1,96.99,4324.47,3.42,43291.65
FTNT,2025-08-07,BUY,0.3,0.4,0.1,74.3,4329.17,3.46,39526.78
FTNT,2025-08-08,BUY,0.4,0.5,0.1,76.11,3952.68,3.33,39289.43
FTNT,2025-10-02,BUY,0.5,1.0,0.5,85.25,21059.9,9.5,42658.61
FTNT,2025-11-10,SELL,1.0,0.0,-1.0,82.3,40778.35,18.63,40759.72
FTNT,2025-11-11,BUY,0.0,0.1,0.1,82.28,4075.97,3.36,40824.72
FTNT,2025-11-12,BUY,0.1,1.0,0.9,83.35,36742.25,16.71,40064.38
FTNT,2025-11-14,SELL,1.0,0.0,-1.0,80.14,39521.23,18.22,39503.02
FTNT,2025-11-20,BUY,0.0,0.1,0.1,80.5,3950.3,3.32,39417.13
FTNT,2025-11-21,BUY,0.1,0.2,0.1,77.8,3941.71,3.32,39496.97
FTNT,2025-11-24,BUY,0.2,0.3,0.1,78.89,3949.7,3.33,39630.31
FTNT,2025-12-02,BUY,0.3,0.4,0.1,82.51,3993.7,3.33,40151.65
FTNT,2025-12-03,BUY,0.4,0.5,0.1,82.21,4015.17,3.34,40105.93
FTNT,2025-12-05,BUY,0.5,1.0,0.5,85.54,20345.44,9.17,41509.96
FTNT,2025-12-10,SELL,1.0,0.0,-1.0,82.9,39878.48,18.17,39860.31
FTNT,2025-12-11,BUY,0.0,0.1,0.1,81.6,3986.03,3.33,39899.47
FTNT,2026-01-02,BUY,0.1,0.2,0.1,79.97,3975.28,3.33,39597.77
FTNT,2026-01-05,BUY,0.2,0.3,0.1,78.51,3959.78,3.33,39604.29
FTNT,2026-01-06,BUY,0.3,0.4,0.1,77.73,3960.43,3.33,39702.97
FTNT,2026-01-07,BUY,0.4,0.5,0.1,78.61,3970.3,3.33,40098.7
FTNT,2026-01-26,BUY,0.5,1.0,0.5,81.65,20280.82,9.29,41262.57
FTNT,2026-02-24,SELL,1.0,0.0,-1.0,75.37,37508.53,17.67,37490.86
FTNT,2026-02-25,BUY,0.0,0.1,0.1,74.49,3749.09,3.27,37594.65
FTNT,2026-02-26,BUY,0.1,0.2,0.1,77.32,3759.47,3.26,37771.27
FTNT,2026-03-04,BUY,0.2,1.0,0.8,81.04,30373.24,13.95,38744.09
FTNT,2026-03-26,SELL,1.0,0.0,-1.0,78.29,36930.02,17.16,36912.86
FTNT,2026-04-01,BUY,0.0,1.0,1.0,81.77,36912.86,16.9,36638.78
FTNT,2026-04-13,SELL,1.0,0.0,-1.0,76.95,34641.23,16.2,34625.03
FTNT,2026-04-14,BUY,0.0,0.1,0.1,79.06,3462.5,3.16,34620.18
FTNT,2026-04-15,BUY,0.1,0.2,0.1,78.82,3462.02,3.16,34699.6
FTNT,2026-04-16,BUY,0.2,0.3,0.1,79.98,3469.96,3.16,35055.83
FTNT,2026-04-17,BUY,0.3,1.0,0.7,83.95,24539.08,11.13,34823.09
