symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
NXPI,2025-01-02,BUY,0.0,0.5,0.5,203.99,25000.0,9.86,49584.71
NXPI,2025-01-24,BUY,0.5,1.0,0.5,210.6466,25620.39,10.04,49716.76
NXPI,2025-01-28,SELL,1.0,0.0,-1.0,208.2623,50101.01,18.13,50082.87
NXPI,2025-02-05,BUY,0.0,0.1,0.1,196.3505,5008.29,3.57,50348.41
NXPI,2025-02-07,BUY,0.1,1.0,0.9,209.6929,45389.55,16.41,49508.19
NXPI,2025-02-11,SELL,1.0,0.0,-1.0,202.7347,48844.29,17.76,48826.53
NXPI,2025-02-13,BUY,0.0,1.0,1.0,213.3327,48826.53,17.6,48764.74
NXPI,2025-03-12,SELL,1.0,0.0,-1.0,202.4913,45725.15,16.63,45708.52
NXPI,2025-03-20,BUY,0.0,0.1,0.1,199.566,4570.85,3.43,45600.11
NXPI,2025-03-21,BUY,0.1,0.2,0.1,195.7714,4560.01,3.43,45506.94
NXPI,2025-03-24,BUY,0.2,0.3,0.1,201.7762,4550.69,3.42,46207.55
NXPI,2025-03-25,BUY,0.3,0.4,0.1,209.199,4620.76,3.44,46225.44
NXPI,2025-03-26,BUY,0.4,0.5,0.1,206.3922,4622.54,3.44,45610.98
NXPI,2025-05-12,BUY,0.5,1.0,0.5,200.3679,22200.62,8.98,47865.72
NXPI,2025-08-04,SELL,1.0,0.0,-1.0,206.9614,48860.97,17.7,48843.27
NXPI,2025-08-05,BUY,0.0,0.1,0.1,209.8501,4884.33,3.53,48759.52
NXPI,2025-08-06,BUY,0.1,0.2,0.1,203.8271,4875.95,3.52,48636.37
NXPI,2025-08-07,BUY,0.2,0.3,0.1,205.1143,4863.64,3.52,48634.89
NXPI,2025-08-08,BUY,0.3,0.4,0.1,202.8643,4863.49,3.52,48749.28
NXPI,2025-08-11,BUY,0.4,0.5,0.1,203.4833,4874.93,3.52,48510.38
NXPI,2025-08-13,BUY,0.5,1.0,0.5,216.9145,25126.4,9.88,52626.23
NXPI,2025-09-11,SELL,1.0,0.0,-1.0,217.6613,50118.51,18.01,50100.51
NXPI,2025-09-12,BUY,0.0,0.1,0.1,218.7715,5010.05,3.56,49998.2
NXPI,2025-09-15,BUY,0.1,0.2,0.1,212.4342,4999.82,3.56,50016.89
NXPI,2025-09-16,BUY,0.2,0.3,0.1,216.4626,5001.69,3.56,50130.81
NXPI,2025-09-17,BUY,0.3,0.4,0.1,217.8256,5013.08,3.56,50301.35
NXPI,2025-09-18,BUY,0.4,0.5,0.1,222.8596,5030.14,3.57,50819.99
NXPI,2025-09-19,BUY,0.5,1.0,0.5,225.7221,25410.0,9.95,50268.08
NXPI,2025-10-13,SELL,1.0,0.0,-1.0,208.8729,46093.63,16.67,46076.96
NXPI,2025-10-15,BUY,0.0,0.1,0.1,216.9175,4607.7,3.44,46098.29
NXPI,2025-10-16,BUY,0.1,0.2,0.1,216.5325,4609.83,3.44,46103.31
NXPI,2025-10-17,BUY,0.2,0.3,0.1,213.9168,4610.33,3.44,45904.74
NXPI,2025-10-20,BUY,0.3,0.4,0.1,213.9168,4590.47,3.43,46366.95
NXPI,2025-10-21,BUY,0.4,0.5,0.1,216.5029,4636.69,3.45,46629.94
NXPI,2025-12-03,BUY,0.5,1.0,0.5,215.0223,23004.28,9.21,48583.7
NXPI,2026-02-09,SELL,1.0,0.0,-1.0,219.5222,48080.42,17.25,48063.17
NXPI,2026-02-10,BUY,0.0,1.0,1.0,225.6694,48063.17,17.17,49675.06
NXPI,2026-03-03,SELL,1.0,0.0,-1.0,216.6172,47218.16,16.98,47201.18
NXPI,2026-03-06,BUY,0.0,0.1,0.1,200.8329,4720.12,3.48,46998.85
NXPI,2026-03-09,BUY,0.1,0.2,0.1,198.4435,4699.88,3.47,47160.79
NXPI,2026-03-10,BUY,0.2,0.3,0.1,202.4689,4716.08,3.47,47003.89
NXPI,2026-03-11,BUY,0.3,0.4,0.1,203.0142,4700.39,3.47,46711.63
NXPI,2026-03-12,BUY,0.4,0.5,0.1,194.4776,4671.16,3.46,45686.53
NXPI,2026-04-17,BUY,0.5,1.0,0.5,215.0406,24278.39,9.61,49069.04
NXPI,2026-06-30,SELL,1.0,0.0,-1.0,277.19,62819.64,21.77,62797.87
NXPI,2026-07-01,BUY,0.0,0.1,0.1,275.83,6279.79,3.94,62754.0
NXPI,2026-07-02,BUY,0.1,0.2,0.1,281.53,6275.4,3.94,62491.5
NXPI,2026-07-06,BUY,0.2,0.3,0.1,282.58,6249.15,3.93,62982.53
NXPI,2026-07-07,BUY,0.3,0.4,0.1,269.2,6298.25,3.95,62332.51
NXPI,2026-07-08,BUY,0.4,0.5,0.1,271.79,6233.25,3.93,63551.67
