symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
TMUS,2025-01-02,BUY,0.0,0.5,0.5,216.545,25000.0,9.84,49692.04
TMUS,2025-01-30,BUY,0.5,1.0,0.5,233.1431,25748.2,10.05,51333.55
TMUS,2025-04-08,SELL,1.0,0.0,-1.0,246.7328,54215.17,19.1,54196.07
TMUS,2025-04-15,BUY,0.0,1.0,1.0,258.624,54196.07,18.96,55013.46
TMUS,2025-04-23,SELL,1.0,0.0,-1.0,248.3854,53268.39,18.75,53249.65
TMUS,2025-04-25,BUY,0.0,1.0,1.0,237.7753,53249.65,18.86,47094.69
TMUS,2025-04-29,SELL,1.0,0.0,-1.0,231.4776,47908.77,17.04,47891.73
TMUS,2025-04-30,BUY,0.0,0.1,0.1,239.3203,4789.17,3.49,47993.92
TMUS,2025-05-01,BUY,0.1,0.2,0.1,239.8484,4799.39,3.49,47992.84
TMUS,2025-05-02,BUY,0.2,0.3,0.1,242.254,4799.28,3.49,48098.73
TMUS,2025-05-05,BUY,0.3,0.4,0.1,243.3004,4809.87,3.49,48050.39
TMUS,2025-05-06,BUY,0.4,0.5,0.1,242.0389,4805.04,3.49,48580.98
TMUS,2025-07-02,BUY,0.5,1.0,0.5,235.5611,23763.81,9.42,46710.28
TMUS,2025-07-09,SELL,1.0,0.0,-1.0,230.5849,46424.62,16.53,46408.09
TMUS,2025-07-10,BUY,0.0,0.1,0.1,227.2183,4640.81,3.44,46321.32
TMUS,2025-07-11,BUY,0.1,0.2,0.1,224.1561,4632.13,3.44,46302.06
TMUS,2025-07-14,BUY,0.2,0.3,0.1,223.4788,4630.21,3.44,46322.42
TMUS,2025-07-15,BUY,0.3,0.4,0.1,222.4777,4632.24,3.44,46145.66
TMUS,2025-07-16,BUY,0.4,0.5,0.1,222.3108,4614.57,3.44,46419.38
TMUS,2025-07-25,BUY,0.5,1.0,0.5,243.6684,24145.81,9.53,47514.34
TMUS,2025-09-12,SELL,1.0,0.0,-1.0,236.48,47286.02,16.78,47269.24
TMUS,2025-09-15,BUY,0.0,0.1,0.1,237.7605,4726.92,3.47,47227.02
TMUS,2025-09-16,BUY,0.1,0.2,0.1,236.2732,4722.7,3.47,47140.08
TMUS,2025-09-17,BUY,0.2,0.3,0.1,235.3079,4714.01,3.46,47245.35
TMUS,2025-09-18,BUY,0.3,0.4,0.1,233.9585,4724.53,3.47,47193.78
TMUS,2025-09-19,BUY,0.4,0.5,0.1,235.239,4719.38,3.47,47125.11
TMUS,2026-02-05,BUY,0.5,1.0,0.5,200.6117,21795.62,8.85,43598.26
TMUS,2026-04-06,SELL,1.0,0.0,-1.0,199.3981,43867.32,16.0,43851.32
TMUS,2026-04-07,BUY,0.0,0.1,0.1,196.4839,4385.13,3.37,43890.91
TMUS,2026-04-08,BUY,0.1,0.2,0.1,199.3086,4389.09,3.37,43760.08
TMUS,2026-04-09,BUY,0.2,0.3,0.1,196.8121,4376.01,3.37,43750.76
TMUS,2026-04-10,BUY,0.3,0.4,0.1,196.8121,4375.08,3.37,43585.61
TMUS,2026-04-13,BUY,0.4,0.5,0.1,194.8627,4358.56,3.36,43217.45
TMUS,2026-07-13,BUY,0.5,1.0,0.5,190.0,21458.43,8.77,43095.64
TMUS,2026-07-27,SELL,1.0,0.0,-1.0,180.99,41097.83,15.26,41082.58
TMUS,2026-08-05,BUY,0.0,0.1,0.1,175.2,4108.26,3.29,40991.89
TMUS,2026-08-06,BUY,0.1,0.2,0.1,177.4,4099.19,3.29,41293.57
