,equity
2025-01-02,49821.029150500006
2025-01-03,49906.190813
2025-01-06,49760.943438
2025-01-07,49900.50413080001
2025-01-08,50014.56113080001
2025-01-10,49820.096130800004
2025-01-13,49883.024261900006
2025-01-14,49883.024261900006
2025-01-15,49883.024261900006
2025-01-16,49883.024261900006
2025-01-17,49883.024261900006
2025-01-21,49883.024261900006
2025-01-22,49883.024261900006
2025-01-23,49883.024261900006
2025-01-24,49883.024261900006
2025-01-27,50106.42517690001
2025-01-28,50196.93064440001
2025-01-29,49627.6716384
2025-01-30,49922.87163840001
2025-01-31,49863.831638400006
2025-02-03,49226.69163840001
2025-02-04,48977.587610400005
2025-02-05,48977.587610400005
2025-02-06,48117.2231064
2025-02-07,48036.1031064
2025-02-10,48569.6231064
2025-02-11,48447.9431064
2025-02-12,47783.383106400004
2025-02-13,48034.0231064
2025-02-14,46450.1031064
2025-02-18,46686.459474400006
2025-02-19,46786.81947440001
2025-02-20,46884.059474400005
2025-02-21,46879.379474400004
2025-02-24,47445.6594744
2025-02-25,47485.665558400004
2025-02-26,47485.665558400004
2025-02-27,47485.665558400004
2025-02-28,47485.665558400004
2025-03-03,47485.665558400004
2025-03-04,47485.665558400004
2025-03-05,47485.665558400004
2025-03-06,47485.665558400004
2025-03-07,47485.665558400004
2025-03-10,47485.665558400004
2025-03-11,47485.665558400004
2025-03-12,47485.665558400004
2025-03-13,47485.665558400004
2025-03-14,47485.665558400004
2025-03-17,47485.665558400004
2025-03-18,47485.665558400004
2025-03-19,47485.665558400004
2025-03-20,47485.665558400004
2025-03-21,47485.665558400004
2025-03-24,47485.665558400004
2025-03-25,47485.665558400004
2025-03-26,47485.665558400004
2025-03-27,47485.665558400004
2025-03-28,47485.665558400004
2025-03-31,47485.665558400004
2025-04-01,47485.665558400004
2025-04-02,47485.665558400004
2025-04-03,47485.665558400004
2025-04-04,47485.665558400004
2025-04-07,47485.665558400004
2025-04-08,47485.665558400004
2025-04-09,47485.665558400004
2025-04-10,47485.665558400004
2025-04-11,47485.665558400004
2025-04-14,47485.665558400004
2025-04-15,47485.665558400004
2025-04-16,47485.665558400004
2025-04-17,47485.665558400004
2025-04-21,47485.665558400004
2025-04-22,47485.665558400004
2025-04-23,47485.665558400004
2025-04-24,47485.665558400004
2025-04-25,47485.665558400004
2025-04-28,47485.665558400004
2025-04-29,47485.665558400004
2025-04-30,47485.665558400004
2025-05-01,47485.665558400004
